code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
001227.SZ,2025-03-26,2.35,2.37,2.34,2.35,508490.39,119766486.28,1.0,1.207,sz,none,baostock,2026-03-26 21:47:53.107712,2026-03-26 21:47:53.107713
001227.SZ,2025-03-27,2.35,2.37,2.34,2.35,505896.97,119017445.8,1.0,1.2009,sz,none,baostock,2026-03-26 21:47:53.107751,2026-03-26 21:47:53.107751
001227.SZ,2025-03-28,2.35,2.35,2.32,2.32,529399.19,123500633.23,1.0,1.2567,sz,none,baostock,2026-03-26 21:47:53.107763,2026-03-26 21:47:53.107763
001227.SZ,2025-03-31,2.33,2.35,2.31,2.32,701171.48,163467373.84,1.0,1.6644,sz,none,baostock,2026-03-26 21:47:53.107773,2026-03-26 21:47:53.107773
001227.SZ,2025-04-01,2.32,2.33,2.31,2.32,426141.05,98890330.79,1.0,1.0115,sz,none,baostock,2026-03-26 21:47:53.107783,2026-03-26 21:47:53.107783
001227.SZ,2025-04-02,2.32,2.36,2.32,2.35,812186.09,190393892.26,1.0,1.9279,sz,none,baostock,2026-03-26 21:47:53.107792,2026-03-26 21:47:53.107792
001227.SZ,2025-04-03,2.35,2.38,2.34,2.37,708114.98,167102949.56,1.0,1.6809,sz,none,baostock,2026-03-26 21:47:53.107800,2026-03-26 21:47:53.107800
001227.SZ,2025-04-07,2.33,2.33,2.14,2.17,1308524.01,294180482.34,1.0,3.1061,sz,none,baostock,2026-03-26 21:47:53.107808,2026-03-26 21:47:53.107808
001227.SZ,2025-04-08,2.19,2.24,2.19,2.22,754652.0,167729229.0,1.0,1.7913,sz,none,baostock,2026-03-26 21:47:53.107816,2026-03-26 21:47:53.107816
001227.SZ,2025-04-09,2.21,2.25,2.18,2.24,642491.49,142169760.8,1.0,1.5251,sz,none,baostock,2026-03-26 21:47:53.107824,2026-03-26 21:47:53.107824
001227.SZ,2025-04-10,2.25,2.28,2.24,2.26,707041.87,159742741.75,1.0,1.6783,sz,none,baostock,2026-03-26 21:47:53.107832,2026-03-26 21:47:53.107832
001227.SZ,2025-04-11,2.25,2.26,2.23,2.24,452372.61,101403458.02,1.0,1.0738,sz,none,baostock,2026-03-26 21:47:53.107840,2026-03-26 21:47:53.107840
001227.SZ,2025-04-14,2.25,2.26,2.24,2.25,390908.83,88002213.75,1.0,0.9279,sz,none,baostock,2026-03-26 21:47:53.107848,2026-03-26 21:47:53.107848
001227.SZ,2025-04-15,2.25,2.26,2.24,2.25,305300.0,68753843.0,1.0,0.7247,sz,none,baostock,2026-03-26 21:47:53.107855,2026-03-26 21:47:53.107856
001227.SZ,2025-04-16,2.25,2.27,2.24,2.26,495755.0,111875471.0,1.0,1.1768,sz,none,baostock,2026-03-26 21:47:53.107863,2026-03-26 21:47:53.107863
001227.SZ,2025-04-17,2.26,2.28,2.25,2.26,545016.1,123419569.72,1.0,1.2937,sz,none,baostock,2026-03-26 21:47:53.107871,2026-03-26 21:47:53.107871
001227.SZ,2025-04-18,2.26,2.27,2.25,2.26,321088.21,72654498.46,1.0,0.7622,sz,none,baostock,2026-03-26 21:47:53.107878,2026-03-26 21:47:53.107878
001227.SZ,2025-04-21,2.26,2.28,2.26,2.27,395985.61,89816340.86,1.0,0.94,sz,none,baostock,2026-03-26 21:47:53.107886,2026-03-26 21:47:53.107886
001227.SZ,2025-04-22,2.26,2.29,2.26,2.28,469171.9,106829068.47,1.0,1.1137,sz,none,baostock,2026-03-26 21:47:53.107894,2026-03-26 21:47:53.107894
001227.SZ,2025-04-23,2.28,2.29,2.27,2.27,320085.0,72938792.0,1.0,0.7598,sz,none,baostock,2026-03-26 21:47:53.107902,2026-03-26 21:47:53.107902
001227.SZ,2025-04-24,2.27,2.29,2.27,2.28,378861.41,86418913.48,1.0,0.8993,sz,none,baostock,2026-03-26 21:47:53.107909,2026-03-26 21:47:53.107909
001227.SZ,2025-04-25,2.28,2.31,2.28,2.31,581368.79,133567756.4,1.0,1.38,sz,none,baostock,2026-03-26 21:47:53.107917,2026-03-26 21:47:53.107917
001227.SZ,2025-04-28,2.31,2.34,2.3,2.32,666391.93,154525167.98,1.0,1.5818,sz,none,baostock,2026-03-26 21:47:53.107924,2026-03-26 21:47:53.107924
001227.SZ,2025-04-29,2.32,2.33,2.3,2.3,550921.72,127329972.32,1.0,1.3077,sz,none,baostock,2026-03-26 21:47:53.107932,2026-03-26 21:47:53.107932
001227.SZ,2025-04-30,2.31,2.31,2.27,2.27,464373.0,106135342.0,1.0,1.1023,sz,none,baostock,2026-03-26 21:47:53.107939,2026-03-26 21:47:53.107939
