code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000990.SZ,2025-03-26,7.79,7.87,7.77,7.79,155252.0,121358161.0,1.0,1.2775,sz,none,baostock,2026-03-26 21:43:36.586704,2026-03-26 21:43:36.586705
000990.SZ,2025-03-27,7.76,7.9,7.73,7.78,163797.99,127898743.23,1.0,1.3479,sz,none,baostock,2026-03-26 21:43:36.586740,2026-03-26 21:43:36.586740
000990.SZ,2025-03-28,7.76,7.79,7.53,7.55,157044.0,119813984.0,1.0,1.2923,sz,none,baostock,2026-03-26 21:43:36.587007,2026-03-26 21:43:36.587008
000990.SZ,2025-03-31,7.47,7.53,7.3,7.36,135302.0,100064605.8,1.0,1.1134,sz,none,baostock,2026-03-26 21:43:36.587028,2026-03-26 21:43:36.587028
000990.SZ,2025-04-01,7.37,7.6,7.37,7.57,136783.31,102860419.31,1.0,1.1256,sz,none,baostock,2026-03-26 21:43:36.587040,2026-03-26 21:43:36.587040
000990.SZ,2025-04-02,7.56,7.58,7.48,7.51,77817.0,58626406.0,1.0,0.6403,sz,none,baostock,2026-03-26 21:43:36.587051,2026-03-26 21:43:36.587051
000990.SZ,2025-04-03,7.47,7.62,7.46,7.59,93184.04,70375640.78,1.0,0.7668,sz,none,baostock,2026-03-26 21:43:36.587060,2026-03-26 21:43:36.587060
000990.SZ,2025-04-07,7.34,7.34,6.83,6.83,273567.76,191190167.14,1.0,2.2511,sz,none,baostock,2026-03-26 21:43:36.587068,2026-03-26 21:43:36.587068
000990.SZ,2025-04-08,6.85,7.11,6.85,7.07,183707.74,129015604.7,1.0,1.5117,sz,none,baostock,2026-03-26 21:43:36.587076,2026-03-26 21:43:36.587076
000990.SZ,2025-04-09,6.99,7.12,6.74,7.08,149755.56,104154988.36,1.0,1.2323,sz,none,baostock,2026-03-26 21:43:36.587085,2026-03-26 21:43:36.587085
000990.SZ,2025-04-10,7.18,7.43,7.13,7.31,200813.01,145961570.34,1.0,1.6525,sz,none,baostock,2026-03-26 21:43:36.587093,2026-03-26 21:43:36.587093
000990.SZ,2025-04-11,7.16,7.29,7.16,7.19,125132.0,90294192.0,1.0,1.0297,sz,none,baostock,2026-03-26 21:43:36.587101,2026-03-26 21:43:36.587101
000990.SZ,2025-04-14,7.25,7.29,7.21,7.25,86646.01,62772021.24,1.0,0.713,sz,none,baostock,2026-03-26 21:43:36.587109,2026-03-26 21:43:36.587109
000990.SZ,2025-04-15,7.26,7.38,7.18,7.29,101006.0,73562841.0,1.0,0.8312,sz,none,baostock,2026-03-26 21:43:36.587117,2026-03-26 21:43:36.587117
000990.SZ,2025-04-16,7.25,7.27,7.12,7.19,76378.22,54884647.97,1.0,0.6285,sz,none,baostock,2026-03-26 21:43:36.587125,2026-03-26 21:43:36.587125
000990.SZ,2025-04-17,7.18,7.3,7.12,7.25,86950.0,63038637.0,1.0,0.7155,sz,none,baostock,2026-03-26 21:43:36.587133,2026-03-26 21:43:36.587133
