code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000880.SZ,2025-03-26,30.5,32.28,30.46,31.27,269069.64,839585650.4,1.0,16.5926,sz,none,baostock,2026-03-26 21:26:51.051176,2026-03-26 21:26:51.051177
000880.SZ,2025-03-27,30.98,32.2,30.11,30.2,249524.8,780360086.12,1.0,15.3874,sz,none,baostock,2026-03-26 21:26:51.051212,2026-03-26 21:26:51.051213
000880.SZ,2025-03-28,30.25,31.0,29.44,29.58,199336.58,597840915.46,1.0,12.2924,sz,none,baostock,2026-03-26 21:26:51.051225,2026-03-26 21:26:51.051225
000880.SZ,2025-03-31,29.28,32.54,28.25,32.54,367443.36,1122917239.82,1.0,22.659,sz,none,baostock,2026-03-26 21:26:51.051235,2026-03-26 21:26:51.051235
000880.SZ,2025-04-01,33.29,35.29,33.29,33.59,436533.67,1488431474.08,1.0,26.9196,sz,none,baostock,2026-03-26 21:26:51.051244,2026-03-26 21:26:51.051244
000880.SZ,2025-04-02,34.25,36.24,33.29,36.0,506490.75,1793005945.4,1.0,31.2336,sz,none,baostock,2026-03-26 21:26:51.051252,2026-03-26 21:26:51.051252
000880.SZ,2025-04-03,34.4,38.8,33.0,36.7,572904.25,2025821979.68,1.0,35.3291,sz,none,baostock,2026-03-26 21:26:51.051260,2026-03-26 21:26:51.051260
000880.SZ,2025-04-07,36.0,38.8,33.89,37.2,593165.13,2177783184.36,1.0,36.5786,sz,none,baostock,2026-03-26 21:26:51.051268,2026-03-26 21:26:51.051268
000880.SZ,2025-04-08,36.83,38.0,35.48,36.45,432646.62,1578960746.35,1.0,26.6799,sz,none,baostock,2026-03-26 21:26:51.051276,2026-03-26 21:26:51.051276
000880.SZ,2025-04-09,34.33,37.26,32.81,35.5,473828.83,1653121843.05,1.0,29.2195,sz,none,baostock,2026-03-26 21:26:51.051284,2026-03-26 21:26:51.051284
000880.SZ,2025-04-10,35.9,39.05,35.53,39.05,579085.92,2206367631.92,1.0,35.7103,sz,none,baostock,2026-03-26 21:26:51.051291,2026-03-26 21:26:51.051292
000880.SZ,2025-04-11,38.0,39.5,37.33,37.69,429880.93,1642468481.59,1.0,26.5094,sz,none,baostock,2026-03-26 21:26:51.051299,2026-03-26 21:26:51.051299
