code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002582.SZ,2025-03-26,9.8,10.08,9.71,9.97,264497.82,262406854.41,1.0,7.6873,sz,none,baostock,2026-03-26 23:59:46.684390,2026-03-26 23:59:46.684391
002582.SZ,2025-03-27,9.94,10.05,9.77,9.81,219024.89,215752482.09,1.0,6.3657,sz,none,baostock,2026-03-26 23:59:46.684427,2026-03-26 23:59:46.684427
002582.SZ,2025-03-28,9.74,9.75,9.11,9.44,375825.87,356497422.01,1.0,10.923,sz,none,baostock,2026-03-26 23:59:46.684440,2026-03-26 23:59:46.684440
002582.SZ,2025-03-31,9.21,9.22,8.85,8.92,382829.0,344264967.0,1.0,11.1265,sz,none,baostock,2026-03-26 23:59:46.684451,2026-03-26 23:59:46.684451
002582.SZ,2025-04-01,8.9,9.1,8.9,9.0,219763.83,197835467.15,1.0,6.3872,sz,none,baostock,2026-03-26 23:59:46.684460,2026-03-26 23:59:46.684461
002582.SZ,2025-04-02,9.0,9.9,8.9,9.9,531484.09,511673140.31,1.0,15.447,sz,none,baostock,2026-03-26 23:59:46.684469,2026-03-26 23:59:46.684469
002582.SZ,2025-04-03,9.85,10.51,9.72,10.27,859780.63,876454171.13,1.0,24.9886,sz,none,baostock,2026-03-26 23:59:46.684477,2026-03-26 23:59:46.684478
002582.SZ,2025-04-07,9.6,10.09,9.24,9.24,533439.0,510231417.0,1.0,15.5038,sz,none,baostock,2026-03-26 23:59:46.684486,2026-03-26 23:59:46.684486
002582.SZ,2025-04-08,9.03,9.98,8.9,9.92,767322.61,739252398.95,1.0,22.3014,sz,none,baostock,2026-03-26 23:59:46.684493,2026-03-26 23:59:46.684493
002582.SZ,2025-04-09,9.7,10.5,8.93,10.01,781847.76,755108583.9,1.0,22.7236,sz,none,baostock,2026-03-26 23:59:46.684501,2026-03-26 23:59:46.684501
002582.SZ,2025-04-10,9.91,10.98,9.7,10.53,981116.82,1021954530.35,1.0,28.5151,sz,none,baostock,2026-03-26 23:59:46.684509,2026-03-26 23:59:46.684509
002582.SZ,2025-04-11,10.38,10.84,10.21,10.23,729169.02,765104897.39,1.0,21.1925,sz,none,baostock,2026-03-26 23:59:46.684517,2026-03-26 23:59:46.684517
002582.SZ,2025-04-14,10.3,10.72,10.23,10.59,594946.89,627944809.17,1.0,17.2915,sz,none,baostock,2026-03-26 23:59:46.684525,2026-03-26 23:59:46.684525
002582.SZ,2025-04-15,10.54,11.31,10.41,11.08,877119.94,954938320.04,1.0,25.4926,sz,none,baostock,2026-03-26 23:59:46.684533,2026-03-26 23:59:46.684533
002582.SZ,2025-04-16,10.9,11.39,10.75,11.08,814651.04,907482672.08,1.0,23.677,sz,none,baostock,2026-03-26 23:59:46.684541,2026-03-26 23:59:46.684542
002582.SZ,2025-04-17,10.94,11.26,10.59,11.0,605407.07,664941883.61,1.0,17.5955,sz,none,baostock,2026-03-26 23:59:46.684549,2026-03-26 23:59:46.684549
002582.SZ,2025-04-18,11.0,11.03,10.48,10.54,434783.91,463784571.18,1.0,12.6365,sz,none,baostock,2026-03-26 23:59:46.684557,2026-03-26 23:59:46.684557
002582.SZ,2025-04-21,10.52,11.59,10.4,11.59,633941.98,708898029.26,1.0,18.4248,sz,none,baostock,2026-03-26 23:59:46.684565,2026-03-26 23:59:46.684565
