code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002730.SZ,2025-03-27,16.78,16.82,16.36,16.61,128784.4,213683590.0,1.0,3.7218,sz,none,baostock,2026-03-27 00:12:29.264072,2026-03-27 00:12:29.264073
002730.SZ,2025-03-28,16.61,16.7,16.25,16.27,101975.5,167094435.3,1.0,2.947,sz,none,baostock,2026-03-27 00:12:29.264135,2026-03-27 00:12:29.264135
002730.SZ,2025-03-31,16.11,16.12,15.44,16.07,143357.4,225978538.2,1.0,4.1429,sz,none,baostock,2026-03-27 00:12:29.264159,2026-03-27 00:12:29.264159
002730.SZ,2025-04-01,16.01,16.27,15.9,15.99,81721.0,131248689.0,1.0,2.3617,sz,none,baostock,2026-03-27 00:12:29.264173,2026-03-27 00:12:29.264173
002730.SZ,2025-04-02,15.95,16.1,15.85,15.97,58624.0,93733586.0,1.0,1.6942,sz,none,baostock,2026-03-27 00:12:29.264181,2026-03-27 00:12:29.264182
002730.SZ,2025-04-03,15.73,15.96,15.45,15.55,83024.9,130016723.1,1.0,2.3994,sz,none,baostock,2026-03-27 00:12:29.264203,2026-03-27 00:12:29.264203
002730.SZ,2025-04-07,14.0,14.49,14.0,14.0,44965.0,63342583.0,1.0,1.2995,sz,none,baostock,2026-03-27 00:12:29.264212,2026-03-27 00:12:29.264212
002730.SZ,2025-04-08,13.09,13.71,12.6,12.84,195651.4,252928172.2,1.0,5.6542,sz,none,baostock,2026-03-27 00:12:29.264220,2026-03-27 00:12:29.264220
002730.SZ,2025-04-09,12.59,13.5,11.56,13.38,210194.0,267069351.0,1.0,6.0744,sz,none,baostock,2026-03-27 00:12:29.264243,2026-03-27 00:12:29.264243
002730.SZ,2025-04-10,13.63,14.26,13.62,13.99,183232.0,256957526.0,1.0,5.2953,sz,none,baostock,2026-03-27 00:12:29.264252,2026-03-27 00:12:29.264252
002730.SZ,2025-04-11,14.3,15.39,14.3,15.39,134312.0,202275113.0,1.0,3.8815,sz,none,baostock,2026-03-27 00:12:29.264260,2026-03-27 00:12:29.264260
002730.SZ,2025-04-14,15.69,15.97,15.26,15.42,366934.4,571894368.2,1.0,10.6041,sz,none,baostock,2026-03-27 00:12:29.264270,2026-03-27 00:12:29.264270
002730.SZ,2025-04-15,15.5,15.67,14.89,15.02,195132.4,295398076.6,1.0,5.6392,sz,none,baostock,2026-03-27 00:12:29.264291,2026-03-27 00:12:29.264291
002730.SZ,2025-04-16,14.99,15.0,14.3,14.51,141081.0,205901263.0,1.0,4.0771,sz,none,baostock,2026-03-27 00:12:29.264299,2026-03-27 00:12:29.264300
002730.SZ,2025-04-17,14.4,14.74,14.38,14.46,97161.4,141492984.0,1.0,2.8079,sz,none,baostock,2026-03-27 00:12:29.264308,2026-03-27 00:12:29.264309
002730.SZ,2025-04-18,14.6,14.6,14.31,14.41,82311.31,118876200.23,1.0,2.3787,sz,none,baostock,2026-03-27 00:12:29.264317,2026-03-27 00:12:29.264317
002730.SZ,2025-04-21,14.6,14.74,14.33,14.73,105894.0,154831609.0,1.0,3.0603,sz,none,baostock,2026-03-27 00:12:29.264325,2026-03-27 00:12:29.264325
