code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000802.SZ,2025-03-26,4.78,4.85,4.78,4.84,86791.74,41901211.46,1.0,1.2131,sz,none,baostock,2026-03-26 21:18:40.433501,2026-03-26 21:18:40.433503
000802.SZ,2025-03-27,4.81,4.85,4.77,4.79,89357.41,42857355.39,1.0,1.2489,sz,none,baostock,2026-03-26 21:18:40.433547,2026-03-26 21:18:40.433547
000802.SZ,2025-03-28,4.78,4.85,4.7,4.84,180131.27,86295579.41,1.0,2.5177,sz,none,baostock,2026-03-26 21:18:40.433560,2026-03-26 21:18:40.433560
000802.SZ,2025-03-31,4.8,4.8,4.6,4.65,169626.37,78960542.52,1.0,2.3709,sz,none,baostock,2026-03-26 21:18:40.433571,2026-03-26 21:18:40.433571
000802.SZ,2025-04-01,4.65,4.71,4.62,4.66,108907.13,50807337.94,1.0,1.5222,sz,none,baostock,2026-03-26 21:18:40.433581,2026-03-26 21:18:40.433581
000802.SZ,2025-04-02,4.65,4.7,4.61,4.61,86690.0,40273748.0,1.0,1.2117,sz,none,baostock,2026-03-26 21:18:40.433590,2026-03-26 21:18:40.433590
000802.SZ,2025-04-03,4.6,4.66,4.57,4.63,95858.02,44299466.47,1.0,1.3398,sz,none,baostock,2026-03-26 21:18:40.433599,2026-03-26 21:18:40.433599
000802.SZ,2025-04-07,4.46,4.46,4.17,4.17,171707.0,72246352.0,1.0,2.3999,sz,none,baostock,2026-03-26 21:18:40.433608,2026-03-26 21:18:40.433608
000802.SZ,2025-04-08,4.05,4.15,3.89,4.11,176841.13,71578349.44,1.0,2.4717,sz,none,baostock,2026-03-26 21:18:40.433616,2026-03-26 21:18:40.433617
000802.SZ,2025-04-09,4.01,4.23,3.76,4.22,208568.04,84361692.9,1.0,2.9151,sz,none,baostock,2026-03-26 21:18:40.433625,2026-03-26 21:18:40.433625
000802.SZ,2025-04-10,4.27,4.41,4.25,4.34,205426.02,89146935.7,1.0,2.8712,sz,none,baostock,2026-03-26 21:18:40.433634,2026-03-26 21:18:40.433634
000802.SZ,2025-04-11,4.44,4.77,4.44,4.64,563939.5,265101262.5,1.0,7.8821,sz,none,baostock,2026-03-26 21:18:40.433655,2026-03-26 21:18:40.433657
000802.SZ,2025-04-14,4.54,4.62,4.5,4.52,426061.0,194165374.0,1.0,5.955,sz,none,baostock,2026-03-26 21:18:40.433706,2026-03-26 21:18:40.433706
000802.SZ,2025-04-15,4.52,4.56,4.39,4.4,211801.0,94121043.0,1.0,2.9603,sz,none,baostock,2026-03-26 21:18:40.433723,2026-03-26 21:18:40.433723
000802.SZ,2025-04-16,4.4,4.4,4.23,4.28,186786.0,80307966.0,1.0,2.6107,sz,none,baostock,2026-03-26 21:18:40.433736,2026-03-26 21:18:40.433736
000802.SZ,2025-04-17,4.24,4.39,4.22,4.27,137035.0,58788636.0,1.0,1.9153,sz,none,baostock,2026-03-26 21:18:40.433746,2026-03-26 21:18:40.433747
000802.SZ,2025-04-18,4.27,4.29,4.16,4.2,120661.02,50836879.52,1.0,1.6865,sz,none,baostock,2026-03-26 21:18:40.433757,2026-03-26 21:18:40.433757
000802.SZ,2025-04-21,4.2,4.32,4.16,4.31,168486.15,72113678.86,1.0,2.3549,sz,none,baostock,2026-03-26 21:18:40.433767,2026-03-26 21:18:40.433767
000802.SZ,2025-04-22,4.28,4.35,4.23,4.28,130845.53,55876967.96,1.0,1.8288,sz,none,baostock,2026-03-26 21:18:40.433777,2026-03-26 21:18:40.433777
000802.SZ,2025-04-23,4.28,4.33,4.22,4.24,123147.0,52566036.0,1.0,1.7212,sz,none,baostock,2026-03-26 21:18:40.433786,2026-03-26 21:18:40.433786
000802.SZ,2025-04-24,4.23,4.24,4.12,4.16,108347.82,45183846.3,1.0,1.5144,sz,none,baostock,2026-03-26 21:18:40.433795,2026-03-26 21:18:40.433795
000802.SZ,2025-04-25,4.16,4.24,4.16,4.2,93849.62,39499246.32,1.0,1.3117,sz,none,baostock,2026-03-26 21:18:40.433803,2026-03-26 21:18:40.433804
000802.SZ,2025-04-28,4.21,4.23,4.13,4.14,76864.0,31973388.0,1.0,1.0743,sz,none,baostock,2026-03-26 21:18:40.433812,2026-03-26 21:18:40.433812
000802.SZ,2025-04-29,4.13,4.26,4.12,4.23,122629.0,51817303.0,1.0,1.714,sz,none,baostock,2026-03-26 21:18:40.433821,2026-03-26 21:18:40.433821
000802.SZ,2025-04-30,4.22,4.27,4.21,4.25,88164.0,37530689.0,1.0,1.2323,sz,none,baostock,2026-03-26 21:18:40.433830,2026-03-26 21:18:40.433830
000802.SZ,2025-05-06,4.32,4.38,4.27,4.38,131568.9,57011919.72,1.0,1.8389,sz,none,baostock,2026-03-26 21:18:40.433838,2026-03-26 21:18:40.433839
000802.SZ,2025-05-07,4.42,4.44,4.31,4.35,125501.0,54681572.0,1.0,1.7541,sz,none,baostock,2026-03-26 21:18:40.433847,2026-03-26 21:18:40.433847
000802.SZ,2025-05-08,4.34,4.5,4.33,4.48,201981.0,89744193.0,1.0,2.8231,sz,none,baostock,2026-03-26 21:18:40.433856,2026-03-26 21:18:40.433856
000802.SZ,2025-05-09,4.48,4.5,4.37,4.37,125431.0,55144457.0,1.0,1.7531,sz,none,baostock,2026-03-26 21:18:40.433864,2026-03-26 21:18:40.433864
000802.SZ,2025-05-12,4.4,4.41,4.33,4.4,91149.0,39879676.0,1.0,1.274,sz,none,baostock,2026-03-26 21:18:40.433873,2026-03-26 21:18:40.433873
000802.SZ,2025-05-13,4.44,4.47,4.36,4.38,101715.0,44890934.0,1.0,1.4217,sz,none,baostock,2026-03-26 21:18:40.433881,2026-03-26 21:18:40.433881
000802.SZ,2025-05-14,4.36,4.42,4.34,4.41,93052.0,40718287.0,1.0,1.3006,sz,none,baostock,2026-03-26 21:18:40.433890,2026-03-26 21:18:40.433890
000802.SZ,2025-05-15,4.4,4.41,4.35,4.36,66036.0,28888074.0,1.0,0.923,sz,none,baostock,2026-03-26 21:18:40.433898,2026-03-26 21:18:40.433899
000802.SZ,2025-05-16,4.36,4.42,4.35,4.38,84621.93,37172770.13,1.0,1.1828,sz,none,baostock,2026-03-26 21:18:40.433907,2026-03-26 21:18:40.433907
