code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002134.SZ,2025-03-26,22.86,23.92,22.71,23.74,101745.75,237476345.0,1.0,4.1385,sz,none,baostock,2026-03-26 22:31:16.511690,2026-03-26 22:31:16.511691
002134.SZ,2025-03-27,23.86,24.12,22.3,22.72,131867.0,310538008.56,1.0,5.3637,sz,none,baostock,2026-03-26 22:31:16.511728,2026-03-26 22:31:16.511728
002134.SZ,2025-03-28,22.71,22.93,20.45,20.55,223988.04,471565937.48,1.0,9.1108,sz,none,baostock,2026-03-26 22:31:16.511740,2026-03-26 22:31:16.511740
002134.SZ,2025-03-31,20.0,20.48,18.5,19.77,186634.73,362909653.51,1.0,7.5914,sz,none,baostock,2026-03-26 22:31:16.511751,2026-03-26 22:31:16.511751
002134.SZ,2025-04-01,19.89,20.05,19.48,19.55,59014.56,116131231.44,1.0,2.4004,sz,none,baostock,2026-03-26 22:31:16.511760,2026-03-26 22:31:16.511761
002134.SZ,2025-04-02,19.72,19.72,18.97,19.05,59961.01,115619190.52,1.0,2.4389,sz,none,baostock,2026-03-26 22:31:16.511769,2026-03-26 22:31:16.511769
002134.SZ,2025-04-03,18.9,19.29,18.55,18.77,53454.0,100556965.49,1.0,2.1743,sz,none,baostock,2026-03-26 22:31:16.511778,2026-03-26 22:31:16.511778
002134.SZ,2025-04-07,16.91,17.5,16.89,16.89,28974.0,49160074.0,1.0,1.1785,sz,none,baostock,2026-03-26 22:31:16.511786,2026-03-26 22:31:16.511786
002134.SZ,2025-04-08,15.56,16.57,15.2,15.2,98858.0,152911549.22,1.0,4.0211,sz,none,baostock,2026-03-26 22:31:16.511794,2026-03-26 22:31:16.511794
002134.SZ,2025-04-09,15.0,15.47,13.68,15.22,184411.51,267000252.45,1.0,7.501,sz,none,baostock,2026-03-26 22:31:16.511802,2026-03-26 22:31:16.511802
002134.SZ,2025-04-10,15.53,16.46,15.53,15.93,122652.59,197022404.75,1.0,4.9889,sz,none,baostock,2026-03-26 22:31:16.511810,2026-03-26 22:31:16.511810
002134.SZ,2025-04-11,15.93,17.09,15.67,16.71,120576.09,198041457.18,1.0,4.9045,sz,none,baostock,2026-03-26 22:31:16.511818,2026-03-26 22:31:16.511818
002134.SZ,2025-04-14,17.29,18.0,16.89,17.91,119412.46,210006057.9,1.0,4.8571,sz,none,baostock,2026-03-26 22:31:16.511826,2026-03-26 22:31:16.511826
002134.SZ,2025-04-15,18.15,18.15,17.45,17.99,66520.01,117877728.57,1.0,2.7057,sz,none,baostock,2026-03-26 22:31:16.511833,2026-03-26 22:31:16.511834
002134.SZ,2025-04-16,17.84,18.52,17.39,17.68,62698.01,112423308.55,1.0,2.5503,sz,none,baostock,2026-03-26 22:31:16.511842,2026-03-26 22:31:16.511842
002134.SZ,2025-04-17,17.43,18.14,17.38,17.68,48674.46,86745689.64,1.0,1.9798,sz,none,baostock,2026-03-26 22:31:16.511850,2026-03-26 22:31:16.511850
002134.SZ,2025-04-18,17.67,18.3,17.44,17.69,61087.0,108999967.0,1.0,2.4847,sz,none,baostock,2026-03-26 22:31:16.511858,2026-03-26 22:31:16.511858
002134.SZ,2025-04-21,17.54,18.4,17.41,18.4,50523.01,90554253.67,1.0,2.055,sz,none,baostock,2026-03-26 22:31:16.511866,2026-03-26 22:31:16.511866
002134.SZ,2025-04-22,18.27,18.5,17.85,18.04,59932.0,108307149.0,1.0,2.4377,sz,none,baostock,2026-03-26 22:31:16.511874,2026-03-26 22:31:16.511874
002134.SZ,2025-04-23,17.9,18.21,17.61,17.7,64921.0,116250436.0,1.0,2.6407,sz,none,baostock,2026-03-26 22:31:16.511881,2026-03-26 22:31:16.511882
002134.SZ,2025-04-24,17.66,17.85,17.01,17.26,69548.01,120707503.28,1.0,2.8289,sz,none,baostock,2026-03-26 22:31:16.511889,2026-03-26 22:31:16.511889
002134.SZ,2025-04-25,17.09,18.99,17.09,18.99,112288.0,207511369.0,1.0,4.5673,sz,none,baostock,2026-03-26 22:31:16.511897,2026-03-26 22:31:16.511897
002134.SZ,2025-04-28,18.8,18.8,17.33,17.77,127757.51,229417972.85,1.0,5.1966,sz,none,baostock,2026-03-26 22:31:16.511905,2026-03-26 22:31:16.511905
002134.SZ,2025-04-29,17.56,18.2,17.56,17.76,46597.5,83152636.5,1.0,1.8954,sz,none,baostock,2026-03-26 22:31:16.511913,2026-03-26 22:31:16.511913
002134.SZ,2025-04-30,17.71,17.99,17.6,17.68,45178.0,80193876.0,1.0,1.8376,sz,none,baostock,2026-03-26 22:31:16.511920,2026-03-26 22:31:16.511920
002134.SZ,2025-05-06,17.8,18.49,17.8,18.23,54677.01,99740936.22,1.0,2.224,sz,none,baostock,2026-03-26 22:31:16.511928,2026-03-26 22:31:16.511928
002134.SZ,2025-05-07,18.51,18.97,18.44,18.6,66189.0,123328605.0,1.0,2.6923,sz,none,baostock,2026-03-26 22:31:16.511936,2026-03-26 22:31:16.511936
002134.SZ,2025-05-08,18.6,19.34,18.5,19.24,72927.0,139158488.0,1.0,2.9663,sz,none,baostock,2026-03-26 22:31:16.511943,2026-03-26 22:31:16.511943
002134.SZ,2025-05-09,19.22,19.24,18.53,18.78,51790.0,97156814.0,1.0,2.1066,sz,none,baostock,2026-03-26 22:31:16.511951,2026-03-26 22:31:16.511952
002134.SZ,2025-05-12,19.06,19.21,18.84,19.08,46605.01,88957249.05,1.0,1.8957,sz,none,baostock,2026-03-26 22:31:16.511959,2026-03-26 22:31:16.511959
002134.SZ,2025-05-13,19.27,19.5,18.45,18.72,54261.09,102083507.9,1.0,2.2071,sz,none,baostock,2026-03-26 22:31:16.511966,2026-03-26 22:31:16.511967
002134.SZ,2025-05-14,18.7,18.99,18.25,18.43,73267.0,136496530.11,1.0,2.9802,sz,none,baostock,2026-03-26 22:31:16.511974,2026-03-26 22:31:16.511974
