code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002631.SZ,2025-03-27,4.48,4.48,4.37,4.39,124451.88,55015396.32,1.0,1.5682,sz,none,baostock,2026-03-27 00:09:50.858165,2026-03-27 00:09:50.858166
002631.SZ,2025-03-28,4.39,4.83,4.29,4.83,631344.68,297669178.24,1.0,7.9557,sz,none,baostock,2026-03-27 00:09:50.858204,2026-03-27 00:09:50.858204
002631.SZ,2025-03-31,4.63,4.78,4.6,4.62,718196.84,335243354.05,1.0,9.0502,sz,none,baostock,2026-03-27 00:09:50.858218,2026-03-27 00:09:50.858218
002631.SZ,2025-04-01,4.8,5.03,4.65,4.68,567606.02,269647123.23,1.0,7.1525,sz,none,baostock,2026-03-27 00:09:50.858229,2026-03-27 00:09:50.858229
002631.SZ,2025-04-02,4.68,4.71,4.52,4.6,337774.74,154879418.64,1.0,4.2564,sz,none,baostock,2026-03-27 00:09:50.858239,2026-03-27 00:09:50.858239
002631.SZ,2025-04-03,4.54,4.76,4.48,4.7,454594.41,210226765.83,1.0,5.7285,sz,none,baostock,2026-03-27 00:09:50.858247,2026-03-27 00:09:50.858248
002631.SZ,2025-04-07,4.49,5.17,4.36,4.89,1170829.31,572008414.2,1.0,14.7539,sz,none,baostock,2026-03-27 00:09:50.858257,2026-03-27 00:09:50.858257
002631.SZ,2025-04-08,4.71,5.37,4.7,5.15,1177519.99,593055518.69,1.0,14.8382,sz,none,baostock,2026-03-27 00:09:50.858265,2026-03-27 00:09:50.858265
002631.SZ,2025-04-09,4.88,5.11,4.64,4.99,1008252.63,483611445.67,1.0,12.7052,sz,none,baostock,2026-03-27 00:09:50.858274,2026-03-27 00:09:50.858274
002631.SZ,2025-04-10,4.9,5.38,4.9,5.06,869503.1,446577317.34,1.0,10.9568,sz,none,baostock,2026-03-27 00:09:50.858284,2026-03-27 00:09:50.858284
002631.SZ,2025-04-11,4.96,5.34,4.96,5.1,825106.54,426543252.99,1.0,10.3974,sz,none,baostock,2026-03-27 00:09:50.858293,2026-03-27 00:09:50.858293
002631.SZ,2025-04-14,5.2,5.29,4.98,5.03,696864.46,356145702.75,1.0,8.7814,sz,none,baostock,2026-03-27 00:09:50.858302,2026-03-27 00:09:50.858302
002631.SZ,2025-04-15,4.99,5.17,4.91,5.0,464783.01,233938685.02,1.0,5.8568,sz,none,baostock,2026-03-27 00:09:50.858311,2026-03-27 00:09:50.858311
002631.SZ,2025-04-16,4.96,4.97,4.5,4.58,624078.24,291495258.64,1.0,7.8642,sz,none,baostock,2026-03-27 00:09:50.858319,2026-03-27 00:09:50.858319
002631.SZ,2025-04-17,4.54,5.04,4.54,5.04,354252.64,177365661.56,1.0,4.464,sz,none,baostock,2026-03-27 00:09:50.858328,2026-03-27 00:09:50.858328
002631.SZ,2025-04-18,5.0,5.03,4.78,4.8,622120.61,302367886.08,1.0,7.8395,sz,none,baostock,2026-03-27 00:09:50.858336,2026-03-27 00:09:50.858337
002631.SZ,2025-04-21,4.75,4.83,4.64,4.79,371620.21,176364577.54,1.0,4.6829,sz,none,baostock,2026-03-27 00:09:50.858345,2026-03-27 00:09:50.858345
002631.SZ,2025-04-22,4.79,4.83,4.65,4.78,369695.55,174794015.85,1.0,4.6586,sz,none,baostock,2026-03-27 00:09:50.858353,2026-03-27 00:09:50.858353
002631.SZ,2025-04-23,4.77,4.79,4.66,4.69,318029.8,149388618.5,1.0,4.0076,sz,none,baostock,2026-03-27 00:09:50.858362,2026-03-27 00:09:50.858362
002631.SZ,2025-04-24,4.68,4.7,4.49,4.51,332832.8,152006122.26,1.0,4.1941,sz,none,baostock,2026-03-27 00:09:50.858370,2026-03-27 00:09:50.858370
