date,open,close,high,low,volume,amount
2024-09-09,5.32,5.27,5.32,5.24,30614,16738924.0
2024-09-10,5.25,5.27,5.29,5.2,35365,19195628.13
2024-09-11,5.23,5.21,5.26,5.19,25954,14027342.05
2024-09-12,5.2,5.23,5.28,5.2,24710,13427864.85
2024-09-13,5.25,5.21,5.26,5.2,22368,12112111.0
2024-09-18,5.23,5.21,5.23,5.15,26057,14006821.49
2024-09-19,5.21,5.31,5.33,5.21,38101,20871912.02
2024-09-20,5.3,5.32,5.33,5.28,28678,15768794.36
2024-09-23,5.32,5.37,5.38,5.3,32362,17892800.55
2024-09-24,5.37,5.5,5.51,5.37,65084,36654655.89
2024-09-25,5.56,5.57,5.65,5.53,84025,48621370.67
2024-09-26,5.56,5.69,5.72,5.54,97007,56503273.0
2024-09-27,5.74,5.84,5.89,5.72,143788,86156344.35
2024-09-30,5.98,6.27,6.33,5.92,277019,175008238.27
2024-10-08,6.84,6.51,6.89,6.27,322708,218290124.44
2024-10-09,6.39,6.01,6.39,6.01,185494,117860256.45
2024-10-10,6.03,6.08,6.19,5.97,122233,76728877.8
2024-10-11,6.09,6.06,6.15,6.0,103319,64585834.9
2024-10-14,6.08,6.19,6.19,6.08,120923,76499818.65
2024-10-15,6.17,6.41,6.63,6.15,293757,194964291.44
2024-10-16,6.41,6.26,6.51,6.24,179685,117901924.96
2024-10-17,6.24,6.01,6.26,5.99,178436,112138916.0
2024-10-18,6.04,6.08,6.16,5.95,148254,92419749.18
2024-10-21,6.13,6.06,6.16,6.04,103578,64430935.78
2024-10-22,6.07,6.14,6.16,6.06,103979,64970879.25
2024-10-23,6.14,6.14,6.21,6.11,90545,56973605.0
2024-10-24,6.13,6.14,6.17,6.09,56792,35621841.99
2024-10-25,6.14,6.2,6.21,6.11,92992,58759806.19
2024-10-28,6.2,6.3,6.31,6.17,133899,85639508.0
2024-10-29,6.3,6.58,6.94,6.14,505227,340665758.03
2024-10-30,6.41,6.43,6.71,6.31,374521,246165488.55
2024-10-31,6.38,6.42,6.52,6.34,208643,136815166.8
2024-11-01,6.43,6.31,6.43,6.25,142532,92191759.31
2024-11-04,6.31,6.36,6.37,6.26,91413,59050077.26
2024-11-05,6.35,6.45,6.52,6.32,158625,104163806.64
2024-11-06,6.42,6.44,6.5,6.38,142194,93601300.56
2024-11-07,6.4,6.6,6.61,6.37,204033,136372922.4
2024-11-08,6.62,6.65,6.7,6.48,221657,149378776.94
2024-11-11,6.6,6.66,6.69,6.57,139942,94727318.98
2024-11-12,6.66,6.63,6.8,6.58,231148,158235808.78
2024-11-13,6.59,6.6,6.7,6.51,118145,79539884.25
2024-11-14,6.56,6.39,6.59,6.38,152235,100515558.0
2024-11-15,6.37,6.31,6.47,6.29,96136,62801377.0
2024-11-18,6.36,6.36,6.5,6.32,137087,89943911.2
2024-11-19,6.38,6.42,6.43,6.28,84699,55036204.44
2024-11-20,6.39,6.55,6.59,6.37,165873,110176352.66
2024-11-21,6.51,6.51,6.54,6.45,92376,61288656.25
2024-11-22,6.48,6.3,6.56,6.29,108842,71566846.89
2024-11-25,6.31,6.41,6.47,6.26,97006,63247097.63
2024-11-26,6.4,6.43,6.61,6.38,101637,67140776.55
2024-11-27,6.41,6.44,6.44,6.24,90667,58736635.0
2024-11-28,6.4,6.5,6.54,6.4,111427,73900455.14
2024-11-29,6.49,6.54,6.58,6.48,102565,68506056.0
2024-12-02,6.57,6.65,6.66,6.54,139323,94252576.59
2024-12-03,6.67,6.81,6.95,6.61,293651,202939875.48
2024-12-04,6.72,6.58,6.74,6.55,184492,125282220.0
2024-12-05,6.58,6.57,6.59,6.52,93273,62378329.0
2024-12-06,6.57,6.66,6.66,6.55,92743,62625326.98
2024-12-09,6.66,6.64,6.7,6.57,82430,55882931.63
2024-12-10,6.77,6.6,6.8,6.59,137453,93523480.37
2024-12-11,6.61,6.71,6.76,6.57,115595,78864187.64
2024-12-12,6.74,6.78,6.8,6.71,140391,96896931.68
2024-12-13,6.78,6.59,6.78,6.59,110125,75114592.95
2024-12-16,6.65,6.77,6.89,6.64,242236,168326358.74
2024-12-17,6.82,6.5,6.84,6.48,177374,119689245.15
2024-12-18,6.54,6.46,6.57,6.44,86888,57773669.0
2024-12-19,6.41,6.43,6.46,6.36,85187,55759874.33
2024-12-20,6.42,6.44,6.49,6.4,59666,39334229.11
2024-12-23,6.43,6.25,6.48,6.23,109391,70717847.0
2024-12-24,6.25,6.34,6.36,6.25,68966,44444045.0
2024-12-25,6.32,6.27,6.35,6.2,62339,39881423.0
2024-12-26,6.26,6.28,6.31,6.25,43317,27852674.0
2024-12-27,6.27,6.45,6.54,6.25,115227,75875351.58
2024-12-30,6.38,6.37,6.49,6.34,63405,41303768.0
2024-12-31,6.48,7.02,7.02,6.45,602845,424229542.98
2025-01-02,6.89,6.7,7.3,6.66,768701,544275134.68
2025-01-03,6.82,6.69,7.06,6.55,588014,404697979.86
2025-01-06,6.6,7.01,7.04,6.32,660655,456919685.45
2025-01-07,6.86,6.98,6.98,6.67,473405,328956058.37
2025-01-08,6.88,7.24,7.69,6.85,1079843,814794132.94
2025-01-09,7.13,7.42,7.53,6.95,793772,580727698.27
2025-01-10,7.23,6.88,7.35,6.76,568056,408107460.06
2025-01-13,6.69,7.1,7.57,6.69,466874,338454489.92
2025-01-14,7.09,7.27,7.32,6.97,489725,358561459.91
2025-01-15,7.2,7.38,7.66,7.15,587763,445281339.68
2025-01-16,7.25,7.19,7.39,7.08,389928,287107132.28
2025-01-17,7.24,7.35,7.63,6.95,525622,390281973.7
2025-01-20,7.24,7.23,7.4,7.16,383725,284755884.88
2025-01-21,7.19,7.0,7.23,6.98,309408,222805109.09
2025-01-22,6.96,6.87,7.12,6.87,221667,157771134.59
2025-01-23,6.91,6.8,7.03,6.78,247378,175146769.83
2025-01-24,6.86,7.06,7.21,6.75,337585,242539098.15
2025-01-27,7.06,7.04,7.3,6.99,265950,193644603.0
2025-02-05,7.05,6.86,7.11,6.81,240296,169293355.98
2025-02-06,6.86,6.82,6.87,6.67,237659,163823319.46
2025-02-07,6.78,6.86,6.93,6.76,239912,167726737.0
2025-02-10,6.84,6.88,6.93,6.79,205619,143572739.81
2025-02-11,6.86,7.1,7.12,6.78,408068,291650491.36
2025-02-12,7.09,7.0,7.09,6.94,232047,165413587.0
2025-02-13,6.99,6.95,7.05,6.91,162220,115298844.0
2025-02-14,6.9,6.82,6.92,6.79,180286,125749463.97
2025-02-17,6.82,6.84,6.89,6.72,157992,109471953.88
2025-02-18,6.83,6.63,6.85,6.61,186015,127752575.33
2025-02-19,6.6,6.64,6.66,6.59,135049,91326277.56
2025-02-20,6.64,6.7,6.71,6.57,125399,85159446.79
2025-02-21,6.66,6.66,6.77,6.64,121589,83029492.25
2025-02-24,6.67,6.7,6.76,6.64,112540,77004834.66
2025-02-25,6.69,6.63,6.76,6.61,97649,66530914.38
2025-02-26,6.62,6.67,6.7,6.61,112497,76446258.59
2025-02-27,6.66,6.73,6.74,6.64,133092,91027417.42
2025-02-28,6.75,6.81,7.0,6.72,308733,216946740.01
2025-03-03,6.79,6.88,6.93,6.78,174914,122513021.0
2025-03-04,6.89,6.95,6.99,6.8,173014,122185207.44
2025-03-05,6.94,7.01,7.05,6.84,179605,127223686.0
2025-03-06,7.01,7.12,7.2,6.97,275387,199451853.65
2025-03-07,7.08,7.03,7.2,6.97,201825,145727593.01
2025-03-10,7.25,7.75,7.75,7.25,445819,344676862.85
2025-03-18,8.54,8.54,8.54,8.54,26491,22994188.0
2025-03-19,9.41,8.46,9.41,8.46,1724459,1606509843.57
2025-03-20,8.26,7.91,8.36,7.85,984680,804571171.25
2025-03-21,7.99,7.81,8.09,7.79,634919,512137924.25
2025-03-24,7.86,7.78,7.94,7.61,448252,353812567.04
2025-03-25,7.77,7.59,7.78,7.54,303483,235265989.67
2025-03-26,7.61,7.62,7.71,7.56,272628,211710348.79
2025-03-27,7.57,7.53,7.68,7.44,233842,179566638.58
2025-03-28,7.54,7.4,7.57,7.38,185175,140573888.57
2025-03-31,7.36,7.42,7.44,7.26,168736,126584345.9
2025-04-01,7.42,7.58,7.63,7.42,231769,178284339.0
2025-04-02,7.58,7.95,7.99,7.52,562128,446689835.42
2025-04-03,7.74,7.82,7.88,7.67,334863,265141221.63
2025-04-07,7.22,7.02,7.39,7.02,245202,178146374.0
2025-04-08,6.85,6.84,7.08,6.67,325708,227398736.63
2025-04-09,6.76,7.54,7.54,6.32,514907,368091819.09
2025-04-10,7.53,7.93,8.31,7.41,925209,753913695.69
2025-04-11,7.89,7.7,8.08,7.66,656661,523546677.51
2025-04-14,7.84,7.86,8.06,7.76,544780,438675504.49
2025-04-15,7.85,7.63,7.87,7.6,262932,205723373.0
2025-04-16,7.63,8.05,8.16,7.57,708706,571333886.16
2025-04-17,7.97,7.86,8.01,7.74,412667,330499175.78
2025-04-18,7.94,7.75,8.03,7.74,295589,235884054.85
2025-04-21,7.63,7.64,7.68,7.48,304284,235188003.7
2025-04-22,7.71,7.76,7.88,7.69,299640,237360265.29
