date,open,close,high,low,volume,amount
2024-09-02,2.77,2.64,2.83,2.62,746141,201593192.36
2024-09-03,2.58,2.69,2.85,2.54,806439,218932281.19
2024-09-04,2.69,2.59,2.7,2.57,582200,152278584.2
2024-09-05,2.56,2.6,2.69,2.54,554432,144491218.84
2024-09-06,2.59,2.5,2.61,2.47,497374,124840653.32
2024-09-09,2.5,2.49,2.5,2.42,317098,78260285.44
2024-09-10,2.49,2.54,2.56,2.44,529240,133017955.94
2024-09-11,2.5,2.47,2.51,2.43,314649,77442842.76
2024-09-12,2.47,2.51,2.54,2.47,343821,86007978.85
2024-09-13,2.5,2.46,2.6,2.45,436966,109971517.99
2024-09-18,2.46,2.58,2.64,2.45,585330,149341696.0
2024-09-19,2.57,2.6,2.68,2.5,699043,180739645.0
2024-09-20,2.59,2.62,2.72,2.56,645678,170440133.95
2024-09-23,2.69,2.88,2.88,2.61,737402,204064993.64
2024-09-24,2.97,2.9,2.97,2.79,1318475,378820394.02
2024-09-25,2.9,2.87,2.97,2.83,1026790,297824365.86
2024-09-26,2.85,2.92,2.93,2.82,795939,230902976.0
2024-09-27,2.94,3.03,3.1,2.92,997023,299194064.34
2024-09-30,3.11,3.31,3.32,3.03,1220325,391563473.2
2024-10-08,3.64,3.64,3.64,3.32,1344979,477447317.96
2024-10-09,3.6,3.28,3.63,3.28,1074784,368006565.6
2024-10-10,3.25,3.21,3.39,3.12,738560,239683983.84
2024-10-11,3.19,3.06,3.23,3.01,443426,137960824.2
2024-10-14,3.08,3.19,3.2,3.05,484878,151982994.0
2024-10-15,3.16,3.07,3.19,3.07,467401,146445722.69
2024-10-16,3.02,3.09,3.11,2.99,323749,99489654.18
2024-10-17,3.11,3.13,3.35,3.11,718433,230051281.85
2024-10-18,3.15,3.44,3.44,3.15,614081,208132818.93
2024-10-21,3.78,3.78,3.78,3.67,912881,342941800.85
2024-10-22,4.16,4.16,4.16,4.02,768548,318904905.24
2024-10-23,4.57,3.97,4.58,3.89,3281729,1410463971.21
2024-10-24,3.63,4.37,4.37,3.63,1886974,768198931.61
2024-10-25,4.81,4.81,4.81,4.81,216606,104187380.18
2024-10-28,5.29,5.29,5.29,5.29,90349,47794504.62
2024-10-29,5.82,5.82,5.82,5.82,139538,81210923.94
2024-10-30,6.4,6.4,6.4,6.4,186991,119673932.8
2024-10-31,7.04,7.04,7.04,7.04,134914,94979322.24
2024-11-01,7.74,7.74,7.74,7.58,4249730,3288005942.22
2024-11-04,7.0,6.97,7.47,6.97,4235914,2994188888.21
2024-11-05,6.98,6.98,7.35,6.34,4028388,2804203231.29
2024-11-06,6.78,6.36,6.98,6.29,2870516,1902586828.22
2024-11-07,6.24,6.38,6.73,5.72,3302906,2027904940.92
2024-11-08,6.19,6.41,6.67,6.09,2374286,1521446121.91
2024-11-11,6.21,6.07,6.39,6.06,1700285,1045340936.36
2024-11-12,6.01,5.88,6.14,5.81,1429738,850114693.13
2024-11-13,5.86,5.79,5.92,5.6,1204311,690882412.49
2024-11-14,5.75,5.95,6.02,5.66,1546744,908527285.25
2024-11-15,5.8,5.36,5.87,5.36,1489488,827500985.72
2024-11-18,5.23,4.95,5.35,4.93,1441140,730834187.68
2024-11-19,4.92,5.17,5.28,4.92,1189898,602769237.21
2024-11-20,5.19,5.35,5.52,5.19,1377825,735274956.76
2024-11-21,5.35,5.55,5.86,5.29,1884266,1050250855.58
2024-11-22,5.46,5.05,5.46,5.05,1387721,727057530.8
2024-11-25,5.01,4.98,5.19,4.86,889255,439946679.14
2024-11-26,4.98,4.89,5.05,4.89,565284,279958619.56
2024-11-27,4.86,4.97,4.98,4.71,719247,349389898.76
2024-11-28,5.17,5.11,5.38,5.09,1266984,660166808.0
2024-11-29,5.02,5.03,5.1,4.88,985631,490812044.0
2024-12-02,5.01,5.25,5.35,4.94,1134376,585904312.95
2024-12-03,5.27,5.32,5.43,5.13,1204896,633654211.18
2024-12-04,5.34,5.1,5.45,5.07,988309,516735102.94
2024-12-05,5.05,5.22,5.25,5.02,738893,380829284.59
2024-12-06,5.21,5.2,5.24,5.08,674561,349166499.44
2024-12-09,5.16,5.09,5.25,5.05,592013,303220234.1
2024-12-10,5.24,5.28,5.5,5.2,1241363,659790995.74
2024-12-11,5.22,5.42,5.44,5.16,1021542,548217100.22
2024-12-12,5.4,5.57,5.64,5.31,1558859,859286473.35
2024-12-13,5.47,5.2,5.48,5.2,1324273,703131845.5
2024-12-16,5.17,5.07,5.18,5.06,770828,393513530.55
2024-12-17,5.05,4.86,5.06,4.85,620588,304975371.82
2024-12-18,4.85,4.97,5.07,4.8,534911,264676445.96
2024-12-19,4.89,5.47,5.47,4.84,1255300,658054904.0
2024-12-20,5.5,5.59,5.8,5.33,2655288,1482606979.1
2024-12-23,5.48,5.34,5.79,5.32,1670581,927679005.25
2024-12-24,5.29,5.22,5.4,5.1,1183620,620140581.13
2024-12-25,5.21,5.17,5.49,5.0,1402254,733202073.1
2024-12-26,5.07,5.22,5.35,5.05,1088591,561775078.16
2024-12-27,5.13,5.52,5.74,5.1,3156119,1776588280.52
2025-01-14,6.07,6.07,6.07,6.07,100403,60944614.93
2025-01-15,6.68,6.19,6.68,5.74,4321106,2707128175.68
2025-01-16,5.9,6.81,6.81,5.8,3904422,2465157768.61
