fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
600761.SH,202510,20250930,1.26,10.63,8.6386796931,6.4809825012,0,0,41.0301323176
600761.SH,202508,20250630,0.89,7.43,9.5893256784,4.701281631,0,0,40.4777102553
600761.SH,202504,20250331,0.36,3.03,8.4862084155,1.8497741369,0,0,43.2406488476
600761.SH,202504,20241231,1.59,14.04,8.658728886,8.0973636188,0,0,43.4615074192
600761.SH,202410,20240930,1.53,13.34,9.7245550093,7.2871407983,0,0,42.1768074594
600761.SH,202408,20240630,1.08,9.68,10.3073513191,5.1234705912,0,0,42.9185617502
600761.SH,202404,20240331,0.53,4.58,10.2944409223,2.4546825129,0,0,50.6220108146
600761.SH,202404,20231231,1.78,17.77,8.6077112215,9.1803048821,0,0,50.1375765046
600761.SH,202310,20230930,1.33,13.47,8.3460012137,6.8510691142,0,0,52.3157256346
600761.SH,202308,20230630,0.89,9.27,8.3301453814,4.6317713346,0,0,52.8348434546
600761.SH,202304,20230331,0.36,3.81,6.8029346315,1.8589634059,0,0,51.9498577248
600761.SH,202304,20221231,1.23,14.79,6.5296501984,7.7446477565,0,0,50.0632576068
600761.SH,202210,20220930,0.93,11.18,6.4653425432,6.5888188494,0,0,43.1331810754
600761.SH,202208,20220630,0.58,7.16,5.9618793851,4.0089347351,0,0,46.7199053945
600761.SH,202204,20220331,0.26,3.28,5.250566028,1.7224212942,0,0,47.5055616737
600761.SH,202203,20211231,0.86,10.97,5.0933285464,7.3361867128,0,0,44.939017528
600761.SH,202110,20210930,0.69,9.1,5.3030716259,6.0193210598,0,0,43.4467251718
600761.SH,202108,20210630,0.51,6.72,5.7687052947,4.4974138157,0,0,42.5975374511
600761.SH,202104,20210331,0.24,3.23,5.9232943308,2.0710304096,0,0,39.481955136
600761.SH,202103,20201231,0.99,14.06,6.519687923,9.423799684,0,0,38.7522602042
600761.SH,202010,20200930,0.8,11.36,7.3782264964,7.6937144099,0,0,39.8103655878
600761.SH,202008,20200630,0.54,7.79,8.413749644,5.4104672715,0,0,38.7787156011
600761.SH,202004,20200331,0.1001,1.48,4.8324364718,1.1290153318,0,0,34.2550693574
600761.SH,202003,20191231,0.88,13.63,7.6701506427,10.1082913156,0,0,32.2087941615
600761.SH,201910,20190930,0.65,10.22,7.6110228245,7.4463608053,0,0,34.1730776167
600761.SH,201908,20190630,0.47,7.36,8.1345563083,5.430951466,0,0,33.8749655229
600761.SH,201904,20190331,0.1913,3.04,6.7679337562,2.2100394602,0,0,35.3027695136
600761.SH,201903,20181231,0.79,12.25,7.3624640266,9.6300303484,0,0,33.6429344721
