fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
603658.SH,20250519,20250526,12.6,0,0,0.032052912745
603658.SH,20240529,20240605,10.5208,0,0,0.020568523949
603658.SH,20230605,20230612,8.0,0,0,0.014738393515
603658.SH,20220613,20220620,7.2,0,0,0.015533980583
603658.SH,20210521,20210527,8.5,3,3,0.007127284924
603658.SH,20200604,20200611,9.0,0,0,0.005609224057
603658.SH,20190426,20190508,8.0,0,0,0.012223071047
603658.SH,20180427,20180508,7.2,0,0,0.010442349529
603658.SH,20170907,20170913,3.6,0,0,0.007651434644
603658.SH,20170406,20170413,6.5,0,0,0.014518650882
