fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601000.SH,20250524,20250530,2.0,0,0,0.046948356808
601000.SH,20240516,20240523,2.0,0,0,0.046511627907
601000.SH,20230516,20230522,2.0,0,0,0.05291005291
601000.SH,20220511,20220517,2.0,0,0,0.06993006993
601000.SH,20211120,20211126,1.5,0,0,0.055350553506
601000.SH,20210511,20210518,2.0,0,0,0.06968641115
601000.SH,20200603,20200610,0.9,0,0,0.039647577093
601000.SH,20190518,20190524,0.7,0,0,0.024822695035
601000.SH,20180511,20180517,0.8,3,0,0.017621145374
601000.SH,20170519,20170525,1.0,0,0,0.017921146953
601000.SH,20160513,20160519,1.5,8,8,0.018987341772
601000.SH,20150923,20150930,1.0,0,0,0.013404825737
601000.SH,20140509,20140515,0.5,0,0,0.01138952164
601000.SH,20130517,20130523,0.5,0,0,0.015527950311
601000.SH,20120904,20120910,0.0,8,8,0.0
601000.SH,20120420,20120426,0.8,0,0,0.011730205279
601000.SH,20110418,20110422,1.2,0,0,0.015209125475
