fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
603919.SH,20260204,20260210,2.0,0,0,0.008620689655
603919.SH,20250515,20250522,5.0,0,0,0.025799793602
603919.SH,20240516,20240522,3.89,0,0,0.017250554324
603919.SH,20230516,20230523,3.0,0,0,0.011574074074
603919.SH,20220602,20220609,2.2,0,0,0.006596701649
603919.SH,20210508,20210514,2.4,0,0,0.005479452055
603919.SH,20200514,20200520,2.42,3,3,0.015963060686
603919.SH,20190412,20190419,2.42,0,0,0.015143929912
603919.SH,20180602,20180608,2.4,0,0,0.012176560122
603919.SH,20170527,20170606,2.4,3,3,0.009987515605
603919.SH,20260321,,3.0,0,0,0.017301038062
603919.SH,20260321,,0.0,0,0,0.0
