fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
000688.SZ,202603,20251231,0.9672,22.97,31.9275074655,13.2178840938,0,0,69.5465532189
000688.SZ,202510,20250930,0.406,13.97,26.1896740524,5.0888956353,0,0,58.8179105795
000688.SZ,202508,20250630,0.4694,16.01,47.9471968516,5.9545885627,0,0,57.0583267306
000688.SZ,202504,20250331,0.5513,18.55,115.3679406125,7.2088587633,0,0,52.9718447605
000688.SZ,202503,20241231,0.412,10.65,20.0627425491,7.9010018048,0,0,55.9283770871
000688.SZ,202410,20240930,0.0475,1.72,4.4537834619,0.6874462814,0,0,62.6059631364
000688.SZ,202408,20240630,0.0392,1.43,5.6373885529,0.4896736486,0,0,62.9456568608
000688.SZ,202404,20240331,0.003,0.11,0.5002948424,0.0170820204,0,0,62.2545543857
000688.SZ,202404,20231231,0.0572,20.01,2.4756450098,0.3585427519,0,0,62.5166684891
000688.SZ,202310,20230930,-0.0025,-0.09,-2.9341037922,-0.3009506286,0,0,59.9918755652
000688.SZ,202308,20230630,0.0032,0.12,-1.7637754124,-0.1226249288,0,0,59.175108958
000688.SZ,202304,20230331,0.0155,0.61,2.9534148899,0.1070756693,0,0,58.3863339696
000688.SZ,202304,20221231,0.1692,6.85,10.0486531774,2.3500490364,0,0,58.4290928898
000688.SZ,202210,20220930,0.1449,5.93,10.57870897,2.0842810217,0,0,50.4512755686
000688.SZ,202208,20220630,0.1156,4.76,11.7562184792,1.7889596619,0,0,46.861541256
000688.SZ,202204,20220331,0.0391,1.64,8.8473373161,0.5562936889,0,0,45.0784374881
000688.SZ,202203,20211231,0.1894,8.3,10.9883870097,4.1575145329,0,0,45.1402285098
000688.SZ,202110,20210930,0.1411,6.19,19.4036739186,3.3931461914,0,0,43.295828645
000688.SZ,202108,20210630,0.1106,4.88,23.3988742768,2.8126219611,0,0,42.5282108285
000688.SZ,202104,20210331,0.0453,2.03,22.7864593759,1.1512293952,0,0,42.8280509901
000688.SZ,202104,20201231,0.1343,6.49,16.214519826,4.7214744046,0,0,32.2349635706
000688.SZ,202010,20200930,0.0798,-5.03,14.7657982178,2.8126099784,0,0,33.5901163842
000688.SZ,202008,20200630,0.0448,2.27,13.0175410907,1.8413526944,0,0,17.9984198196
000688.SZ,202004,20200331,0.024,1.23,13.6174607808,0.9940501784,0,0,17.6092556285
000688.SZ,202004,20191231,0.1538,7.69,16.7422050096,6.46058347,0,0,20.0243605791
000688.SZ,201910,20190930,0.1683,8.67,23.6491926871,7.2630961778,0,0,17.590625668
000688.SZ,201908,20190630,0.1362,6.4,27.7347249499,5.7910686686,0,0,17.7898285751
000688.SZ,201904,20190331,0.1014,4.81,36.741808188,4.3860996396,0,0,8.4009260039
000688.SZ,201904,20181231,0.3561,17.6,32.8933304166,16.1263166614,0,0,10.7639801303
000688.SZ,201810,20180930,0.2701,13.24,34.1034713452,12.441088945,0,0,6.9622528105
000688.SZ,201807,20180630,0.2252,11.15,36.9994377405,10.2455106824,0,0,10.8021181192
000688.SZ,201804,20180331,0.0972,4.96,35.0743843257,4.5008255938,0,0,7.454408551
000688.SZ,201804,20171231,0.3626,21.04,33.0895160437,18.9412200651,0,0,7.7885041073
000688.SZ,201710,20170930,0.3123,18.43,38.1968111468,16.633303756,0,0,7.0692250504
000688.SZ,201708,20170630,0.2123,12.88,37.7733416181,11.5643138291,0,0,8.3516881031
000688.SZ,201704,20170331,0.0764,4.85,37.3667677829,4.3544866728,0,0,7.722686582
000688.SZ,201704,20161231,0.206,14.47,20.8870098507,12.0001873299,0,0,9.467366172
000688.SZ,201610,20160930,0.1338,9.71,19.2853993055,7.919540449,0,0,11.0899820168
000688.SZ,201608,20160630,0.0539,4.03,12.4072912549,3.2177225148,0,0,13.93068846
000688.SZ,201604,20160331,0.0089,0.68,5.8081374057,0.5141245317,0,0,18.6798438035
000688.SZ,201604,20151231,0.2536,21.4,26.4023885556,16.1569528598,0,0,22.2466433709
000688.SZ,201510,20150930,0.1034,9.3,19.9462388541,6.9394966645,0,0,23.9808464385
000688.SZ,201508,20150630,0.0836,7.58,23.6469040238,5.8182756856,0,0,19.5261980566
000688.SZ,201504,20150331,0.0122,1.41,10.8040229199,0.8544628013,0,0,23.274497387
000688.SZ,201504,20141231,0.2837,27.86,32.6880924082,22.9253648809,0,0,26.5746691296
000688.SZ,201410,20140930,0.1502,16.25,28.8612033126,12.7526411895,0,0,24.3648711066
000688.SZ,201408,20140630,0.0822,9.19,26.3188558194,7.1445374646,0,0,26.2532466038
000688.SZ,201404,20140331,0.0233,2.61,28.222247049,2.3054784353,0,0,11.0281939961
000688.SZ,201401,20131231,0.2482,33.81,42.017261431,24.9974564803,0,0,14.7246605961
000688.SZ,201310,20130930,0.172,24.81,42.0497613023,18.3581096308,0,0,14.525441318
000688.SZ,201308,20130630,0.1129,16.79,41.4849874554,11.5770135347,0,0,27.04258944
000688.SZ,201304,20130331,0.0233,3.7232,29.149203227,2.4930064747,0,0,30.6113201745
000688.SZ,201401,20121231,0.2043,,36.3952856708,42.0340917318,0,0,35.2864566523
000688.SZ,201210,20120930,0.1299,,34.5801185388,807.7407321166,0,0,823.6394110855
000688.SZ,201207,20120630,0.0923,,36.128816126,534.4896478159,0,0,657.0540913699
000688.SZ,201204,20120331,0.04,,31.5228801506,219.06048875,0,0,583.0372217353
000688.SZ,201204,20111231,0.0047,,13.4130389123,13.2290374303,0,0,376.8276422063
000688.SZ,201110,20110930,-0.0118,,,-231.430244105,0,0,5231.9760291709
000688.SZ,201108,20110630,-0.0087,,,-156.2804133609,0,0,4129.095297793
000688.SZ,201104,20110331,-0.0031,,,-50.1588432293,0,0,3228.8464229151
000688.SZ,201104,20101231,-0.0541,,,-728.5112107665,0,0,2969.7587432348
000688.SZ,201010,20100930,-0.0401,,,-606.1107266096,0,0,3643.2372558972
000688.SZ,201008,20100630,-0.0166,,,-203.6723435344,0,0,1948.9054784268
000688.SZ,201004,20100331,-0.0045,,,-19.7511280434,0,0,373.383011618
000688.SZ,201104,20091231,-0.033,,,-317.4485252846,0,0,5808.222526218
000688.SZ,201010,20090930,-0.0114,,,-72.3031759433,0,0,2435.3459135632
000688.SZ,201008,20090630,-0.0075,,,-47.0239975547,0,0,2379.8598189967
000688.SZ,201004,20090331,-0.0041,,,-25.3002140911,0,0,2275.2045514532
000688.SZ,201003,20081231,-0.03,,,-325.6756858012,0,0,3753.1806157943
000688.SZ,200810,20080930,-0.0383,,,-320.4576701048,0,0,2800.0619505058
000688.SZ,200908,20080630,-0.04,,,-526.6826789381,0,0,5693.2126321594
000688.SZ,200804,20080331,-0.0041,,,-21.6867189236,0,0,1584.8658723214
000688.SZ,200902,20071231,3.0703,,7260.0284234737,647.6819542949,0,0,12402.2302737411
000688.SZ,200810,20070930,-0.1277,,-399.3864969609,-16.4256476258,0,0,763.6004524978
000688.SZ,200807,20070630,-0.08,,-323.4638185502,-10.0718045273,0,0,785.3007877386
000688.SZ,200804,20070331,-0.0393,,-312.8373176796,-5.1858095949,0,0,791.3796577274
000688.SZ,200804,20061231,-1.3696,,-2122.7392493316,-83.1523972469,0,0,477.8861365084
000688.SZ,200710,20060930,-0.05,,-96.59879396,-2.2156180568,0,0,238.0908071177
000688.SZ,200708,20060630,-0.08,,-276.2258617974,-4.13932069,0,0,241.1130380012
000688.SZ,200704,20060331,-0.07,,-558.1733668179,-2.8644340238,0,0,202.8721724815
000688.SZ,200704,20051231,-4.4104,,-249.9402985185,-96.1699120383,0,0,200.2437839736
000688.SZ,200610,20050930,,,-46.8686943238,-15.2245416922,0,0,76.8374539963
000688.SZ,200608,20050630,-0.3294,-17.75,-19.0981905026,-5.7407878067,0,0,68.640609392
000688.SZ,200605,20050331,,,-9.592242796,-1.474004299,0,0,70.2108887787
000688.SZ,200605,20041231,-0.7925,-32.85,-16.3585432153,-10.9153526372,0,0,68.7133806683
000688.SZ,200510,20040930,,,-1.5230486494,-0.7069877589,0,0,60.0455696407
000688.SZ,200508,20040630,0.0143,0.5,0.9410648319,0.2941922628,0,0,61.4623930286
000688.SZ,200504,20040331,,,1.4260496577,0.2059402237,0,0,61.9846302417
000688.SZ,200504,20031231,0.0289,1.02,0.7380959994,0.4368867249,0,0,62.4823693553
000688.SZ,200410,20030930,,,1.0166930911,0.4212834259,0,0,56.2127521168
000688.SZ,200408,20030630,0.022,0.78,1.5176825227,0.3825634507,0,0,56.0175961101
000688.SZ,200404,20030331,,,1.3622141792,0.1585744364,0,0,54.0002900099
000688.SZ,200404,20021231,0.044,2.0,1.4119496743,0.7379992593,0,0,52.7087732342
000688.SZ,200310,20020930,,,4.1542708808,1.2511853448,0,0,47.3139507832
000688.SZ,200308,20020630,0.024,0.87,3.4951615641,0.6344548445,0,0,45.2042488148
000688.SZ,200204,20020331,,,2.2838828403,0.1834500203,0,0,43.1572192002
000688.SZ,200304,20011231,0.082,3.11,4.9885506503,0.7094238284,0,0,41.9671429146
000688.SZ,200208,20010630,0.157,7.31,81.1304729228,3.5611453027,0,0,43.2517019365
000688.SZ,200204,20001231,0.41,18.98,90.6552916433,7.3184493931,0,0,63.6077922551
000688.SZ,200108,20000630,,,115.6277719644,4.4822377692,0,0,58.4823389571
000688.SZ,200103,19991231,,,25.1645338151,5.3374726639,0,0,54.9755309304
000688.SZ,200008,19990630,,,26.8210533326,3.0203137641,0,0,46.2593030396
000688.SZ,200003,19981231,0.36,15.0,25.2678509828,5.68511243,0,0,47.9222202262
000688.SZ,199808,19980630,,,24.5780786947,2.7641378802,0,0,58.3317056392
000688.SZ,199803,19971231,0.3,,28.3490804425,8.5354674833,0,0,53.2642633501
000688.SZ,199708,19970630,,,41.3321998602,6.531129584,0,0,41.9240567841
000688.SZ,199704,19961231,,,23.5118594345,9.0772713817,0,0,37.2216442935
000688.SZ,199701,19951231,,,24.065900471,4.8795897485,0,0,54.1905715246
000688.SZ,199701,19941231,,,24.5296361644,5.7502902548,0,0,56.0394777032
000688.SZ,199701,19931231,,,27.1713838382,18.829336037,0,0,46.8131119479
