fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
001333.SZ,202510,20250930,0.62,4.63,6.619098123,2.9599478228,0,0,38.8087691103
001333.SZ,202508,20250630,0.39,2.95,6.4460901949,1.95974905,0,0,35.2758650284
001333.SZ,202504,20250331,0.2,1.51,6.4835470913,0.9989233953,0,0,33.9576626596
001333.SZ,202503,20241231,1.14,9.0,8.4919369569,6.1252641582,0,0,33.5545028224
001333.SZ,202410,20240930,0.75,5.96,7.6476623717,4.0579269566,0,0,34.0326451003
001333.SZ,202408,20240630,0.5,4.0,7.8232145567,2.7694513714,0,0,33.0730502719
001333.SZ,202404,20240331,0.21,1.66,7.4364877635,1.1416954165,0,0,32.8051363001
001333.SZ,202404,20231231,0.82,6.77,7.1107398512,4.6953737004,0,0,29.7683644315
001333.SZ,202310,20230930,0.7166,5.81,8.2695485314,4.0678881775,0,0,31.1823832153
001333.SZ,202308,20230630,0.43,3.56,8.3228497468,2.52359443,0,0,29.1664505692
001333.SZ,202304,20230331,0.19,1.58,8.1474459267,1.1391725527,0,0,24.495389789
001333.SZ,202304,20221231,1.38,18.9,9.7392124877,7.3269325865,0,0,31.0497815846
001333.SZ,202212,20220930,1.1131,15.55,10.3400500429,7.2645125706,0,0,52.6268772036
001333.SZ,202210,20220630,0.75,10.81,10.768207203,5.0084795648,0,0,53.3394246709
001333.SZ,202304,20220331,0.28,4.08,8.6690080024,,0,0,
001333.SZ,202210,20211231,1.69,0.29,12.3814803811,14.0291154501,0,0,54.0331362474
001333.SZ,202212,20210930,1.33,23.89,13.2401598208,,0,0,
001333.SZ,202201,20210630,0.94,17.55,14.4960098815,8.3866306797,0,0,54.0136670441
001333.SZ,202108,20210331,0.41,7.98,16.4108070931,4.0177457451,0,0,49.4295886461
001333.SZ,202108,20201231,1.12,25.69,12.7879369341,12.3303934742,0,0,49.8750498826
001333.SZ,202005,20191231,1.05,32.6,12.4321388839,12.4828990124,0,0,54.5146949284
001333.SZ,202005,20181231,0.48,18.81,6.0758769997,6.6861999905,0,0,63.8846362703
001333.SZ,202005,20171231,0.34,18.11,5.0651993976,10.3359626606,0,0,65.0984333997
