fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
601717.SH,202510,20250930,2.075,16.01,12.0493490013,7.6754652813,0,0,50.2166801501
601717.SH,202508,20250630,1.427,10.95,12.858596744,5.2461132522,0,0,53.9473573182
601717.SH,202504,20250331,0.612,4.84,11.4554539649,2.3207281401,0,0,51.8122537351
601717.SH,202503,20241231,2.212,18.34,11.3967191739,8.6342600642,0,0,53.1654946072
601717.SH,202410,20240930,1.721,14.28,11.9092169168,6.7574443002,0,0,51.7347528381
601717.SH,202408,20240630,1.219,10.08,12.3128328325,4.72911737,0,0,54.3569224431
601717.SH,202404,20240331,0.588,4.99,12.1371958162,2.3812262124,0,0,53.3317017368
601717.SH,202403,20231231,1.853,17.15,9.5314863895,7.4224217573,0,0,55.5026007451
601717.SH,202310,20230930,1.4,13.1,9.6914734271,5.6905183835,0,0,56.7031546369
601717.SH,202308,20230630,0.956,8.97,9.9278225201,3.930273277,0,0,58.8228193509
601717.SH,202304,20230331,0.446,4.3,9.4023800414,1.9133168536,0,0,57.6742644719
601717.SH,202303,20221231,1.446,15.74,8.2071526976,6.4929743968,0,0,57.9282469025
601717.SH,202210,20220930,1.125,12.46,8.5201530429,5.1625439431,0,0,57.129443513
601717.SH,202208,20220630,0.843,9.33,9.7820244128,3.990655711,0,0,58.140530374
601717.SH,202204,20220331,0.39,4.5,8.7847640532,1.9283436175,0,0,55.9645008988
601717.SH,202203,20211231,1.114,14.06,7.0705205158,5.8834475908,0,0,57.2937813533
601717.SH,202110,20210930,0.905,11.52,7.6983284911,4.865985643,0,0,57.6525555186
601717.SH,202108,20210630,0.694,8.83,8.5361036166,3.7646443444,0,0,57.1184952699
601717.SH,202104,20210331,0.321,4.19,7.8763971103,1.7447650629,0,0,59.1038696479
601717.SH,202103,20201231,0.715,9.79,5.2012490383,4.3476163295,0,0,58.3743912454
601717.SH,202010,20200930,0.7,9.57,6.8445284877,4.2504513564,0,0,56.800492955
601717.SH,202008,20200630,0.655,8.9,9.7936797429,4.0049322208,0,0,54.3924131085
601717.SH,202004,20200331,0.232,3.25,7.1101801482,1.4402735966,0,0,53.5344199151
601717.SH,202003,20191231,0.6,8.78,4.4317869906,3.9715729062,0,0,55.7687735264
601717.SH,201910,20190930,0.612,8.91,5.9899619269,4.0016262901,0,0,54.6340937249
601717.SH,201908,20190630,0.42,6.18,6.1848425747,2.7793823063,0,0,55.752103181
601717.SH,201904,20190331,0.218,3.25,6.4196412696,1.4588417624,0,0,55.3283460258
601717.SH,201903,20181231,0.48,7.48,3.6095537654,4.0085323995,0,0,55.6140654637
601717.SH,201810,20180930,0.4,6.16,4.1202426399,3.3966196187,0,0,55.1637674983
601717.SH,201808,20180630,0.26,4.14,4.102686156,2.2639607619,0,0,55.7728103459
601717.SH,201804,20180331,0.088,1.41,7.1394153441,0.9082513404,0,0,42.1087843784
601717.SH,201803,20171231,0.167,2.72,4.5068255312,2.2015080683,0,0,39.569004488
601717.SH,201710,20170930,0.19,3.06,6.6093107153,2.4702490719,0,0,31.276141892
601717.SH,201708,20170630,0.1,1.6,5.3944621392,1.2457277538,0,0,31.0365792169
601717.SH,201704,20170331,0.04,0.71,8.4190427402,0.5597110681,0,0,24.1479456573
601717.SH,201703,20161231,0.038,0.64,1.0100061616,0.3079364942,0,0,16.933829177
601717.SH,201610,20160930,0.08,1.33,4.1663679914,0.9540535098,0,0,18.9480152566
601717.SH,201608,20160630,0.03,0.44,1.6160245807,0.2380413286,0,0,19.3519608059
601717.SH,201604,20160331,0.01,0.21,1.1746258329,0.0958600803,0,0,19.6287071368
601717.SH,201603,20151231,0.03,0.45,0.2351969944,0.0875115214,0,0,20.1763893732
601717.SH,201510,20150930,0.03,0.47,0.5554404509,0.1602298982,0,0,23.0342791419
601717.SH,201508,20150630,0.04,0.62,1.8045686208,0.3427249605,0,0,21.214041218
601717.SH,201504,20150331,0.02,0.42,2.7765416929,0.277912966,0,0,21.1704251454
601717.SH,201503,20141231,0.13,2.16,3.1567329312,1.5574535255,0,0,21.3941593144
601717.SH,201410,20140930,0.16,2.73,5.6068232237,2.0355897672,0,0,24.3764040129
601717.SH,201408,20140630,0.15,2.57,7.7840669276,1.9246686988,0,0,26.2690332825
601717.SH,201404,20140331,0.09,1.46,8.1321991503,1.0784821206,0,0,24.3346580391
601717.SH,201403,20131231,0.53,9.27,10.3904260145,6.5313375514,0,0,23.3674590423
601717.SH,201310,20130930,0.43,7.47,11.7143724729,5.2000073838,0,0,27.6079721937
601717.SH,201308,20130630,0.33,5.68,14.0064921928,4.093989767,0,0,26.8927452403
601717.SH,201304,20130331,0.24,4.1,19.032194893,2.8886166269,0,0,26.4047158787
601717.SH,201303,20121231,1.12,23.54,15.7991446119,13.8408654628,0,0,28.0204245204
601717.SH,201210,20120930,0.86,18.71,16.7463368663,11.2525122705,0,0,36.2210021856
601717.SH,201208,20120630,0.58,12.95,17.5287985783,7.6876490978,0,0,38.5702841901
601717.SH,201204,20120331,0.3,6.88,19.1872789415,4.0733398646,0,0,36.9297799063
601717.SH,201202,20111231,0.85,21.66,15.0525840156,12.541929753,0,0,40.4232783175
601717.SH,201110,20110930,0.63,16.11,14.582471857,9.3527097959,0,0,42.6570193822
601717.SH,201108,20110630,0.39,10.37,14.8094029454,5.8594388441,0,0,42.6585540114
601717.SH,201104,20110331,0.21,5.6,15.984114229,3.1003241427,0,0,42.5379703932
601717.SH,201103,20101231,1.43,29.36,13.2224138807,12.9581914053,0,0,43.0565695288
601717.SH,201010,20100930,1.05,26.2,13.4300352415,9.5276476616,0,0,42.0954902494
601717.SH,201008,20100630,0.8,26.61,14.3598919852,8.9968615168,0,0,63.324590089
601717.SH,201104,20100331,0.35,,13.404648956,,0,0,
601717.SH,201103,20091231,1.13,52.8,12.5332799825,15.2361778007,0,0,67.1860936095
601717.SH,201010,20090930,0.9,,12.6482780957,,0,0,
601717.SH,201008,20090630,0.48,26.58,11.2802434173,,0,0,
601717.SH,201007,20081231,0.86,111.84,13.1561987797,15.8160536217,0,0,75.8902889971
601717.SH,201007,20071231,0.36,69.55,9.570485178,18.3788829148,0,0,81.5501714347
