fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000913.SZ,20250905,20250912,5.0,0,0,0.026455026455
000913.SZ,20250521,20250529,4.0,0,0,0.025873221216
000913.SZ,20241024,20241031,3.8,0,0,0.021372328459
000913.SZ,20240517,20240523,4.0,0,0,0.019910403186
000913.SZ,20230707,20230713,2.4,0,0,0.013498312711
000913.SZ,20200605,20200612,4.4,0,0,0.03963963964
000913.SZ,20170612,20170620,1.0,0,0,0.00625
000913.SZ,20130621,20130627,1.0,0,0,0.021881838074
000913.SZ,20090513,20090519,0.4,0,0,0.008130081301
000913.SZ,20050617,20050624,1.5,0,0,0.047923322684
000913.SZ,20040519,20040527,4.5,0,0,0.084269662921
000913.SZ,20030603,20030611,1.0,0,0,0.01647446458
000913.SZ,20020614,20020621,1.0,6,4,0.008474576271
000913.SZ,20010404,20010411,1.2,0,0,0.007741935484
000913.SZ,20000517,20000526,1.0,0,0,0.007102272727
