fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000705.SZ,20250621,20250627,0.6,0,0.0,0.007177033493
000705.SZ,20240531,20240607,0.6,0,0.0,0.008391608392
000705.SZ,20230802,20230808,0.6,0,0.0,0.007462686567
000705.SZ,20220609,20220615,0.6,0,0.0,0.007389162562
000705.SZ,20210722,20210728,0.7,0,0.0,0.009985734665
000705.SZ,20200730,20200806,0.6,0,0.0,0.007481296758
000705.SZ,20190612,20190619,0.3,0,0.0,0.004444444444
000705.SZ,20170609,20170615,0.2,0,0.0,0.001986097319
000705.SZ,20160722,20160728,0.25,0,0.0,0.001758087201
000705.SZ,20140820,20140827,0.0,10,10.0,0.0
000705.SZ,20130524,20130530,0.5,0,0.0,0.003353454058
000705.SZ,20100521,20100528,0.7,0,0.0,0.007056451613
000705.SZ,20090618,20090626,0.5,0,0.0,0.006024096386
000705.SZ,20080813,20080819,0.4,0,0.0,0.008385744235
000705.SZ,20070616,20070622,0.4,0,0.0,0.004566210046
000705.SZ,20060420,20060427,1.0,0,0.0,0.024875621891
000705.SZ,20020816,20020823,0.5,0,0.0,0.005186721992
000705.SZ,20010704,20010712,1.0,0,0.0,0.006968641115
000705.SZ,19990610,19990621,1.5,0,0.0,0.012897678418
000705.SZ,19970728,19970801,0.0,8,5.8,0.0
