fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
001325.SZ,202512,20250930,2.08,9.44,11.605202999,6.0551323332,0,0,33.7016637824
001325.SZ,202511,20250630,1.26,5.83,11.3791432459,3.6806104209,0,0,35.6783120864
001325.SZ,202507,20241231,2.63,13.47,11.4642184511,8.6228672465,0,0,38.0927488124
001325.SZ,202512,20240930,1.96,,11.7992033099,,0,0,
001325.SZ,202412,20240630,1.3,6.89,12.4894788826,4.4762083702,0,0,36.5881418915
001325.SZ,202406,20231231,3.02,18.22,15.5631280417,11.153630374,0,0,33.3137300315
001325.SZ,202312,20230630,1.34,8.52,15.1137380368,5.1180403373,0,0,35.8713894163
001325.SZ,202306,20221231,2.36,16.96,11.0177046084,9.6170828321,0,0,44.0648039786
001325.SZ,202207,20211231,1.57,13.12,8.8955335712,7.5380790534,0,0,42.227310366
001325.SZ,202201,20210630,0.63,5.4,8.2659949899,3.088395581,0,0,43.586910779
001325.SZ,202201,20201231,2.17,21.53,15.9706879084,12.6886623998,0,0,42.9332963299
001325.SZ,202201,20191231,1.71,21.18,14.0986540695,12.9119503613,0,0,39.280735917
001325.SZ,202201,20181231,0.97,15.34,9.2809624726,16.6039113649,0,0,41.7134256103
