fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601880.SH,20250715,20250722,0.239,0,0,0.015222929936
601880.SH,20240711,20240717,0.191,0,0,0.015039370079
601880.SH,20230628,20230705,0.174,0,0,0.011082802548
601880.SH,20220713,20220720,0.27,0,0,0.015789473684
601880.SH,20210701,20210707,0.3,0,0,0.017543859649
601880.SH,20200717,20200723,0.21,0,0,0.010096153846
601880.SH,20190717,20190723,0.19,0,0,0.009223300971
601880.SH,20180718,20180725,0.23,0,0,0.01144278607
601880.SH,20170719,20170726,0.15,0,0,0.004966887417
601880.SH,20160726,20160801,0.75,13,10,0.012605042017
601880.SH,20150819,20150825,0.4,0,0,0.005555555556
601880.SH,20140818,20140822,0.6,0,0,0.018987341772
601880.SH,20130806,20130812,0.5,0,0,0.021834061135
601880.SH,20120807,20120813,0.6,0,0,0.020066889632
601880.SH,20110809,20110815,0.5,0,0,0.014492753623
