fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
600880.SH,20250621,20250627,0.1,0,0,0.001926782274
600880.SH,20240719,20240726,0.1,0,0,0.002915451895
600880.SH,20230719,20230727,0.12,0,0,0.002193784278
600880.SH,20220630,20220706,0.25,0,0,0.004280821918
600880.SH,20210715,20210722,0.3,0,0,0.008042895442
600880.SH,20200721,20200728,0.2,0,0,0.004597701149
600880.SH,20180713,20180720,0.1,0,0,0.002747252747
600880.SH,20170420,20170427,0.2,0,0,0.00289017341
600880.SH,20160608,20160617,0.3,0,0,0.003649635036
600880.SH,20150513,20150520,1.0,0,0,0.005847953216
600880.SH,20140325,20140331,2.0,6,6,0.011487650775
600880.SH,20130328,20130403,2.3,0,0,0.024109014675
600880.SH,20120511,20120517,1.5,0,0,0.014005602241
600880.SH,20100430,20100507,1.5,6,4,0.004826254826
600880.SH,20090312,20090318,1.5,0,0,0.01040943789
600880.SH,20080512,20080516,2.0,8,7,0.006373486297
600880.SH,20070531,20070606,2.0,0,0,0.007889546351
600880.SH,20060511,20060517,2.5,0,0,0.022381378693
600880.SH,20040403,20040408,0.75,4,1,0.003854059609
600880.SH,20030430,20030515,1.0,0,0,0.00730994152
600880.SH,20020521,20020527,1.0,0,0,0.006097560976
600880.SH,20010614,20010622,0.7,0,0,0.002338790511
600880.SH,19990902,19990909,0.0,8,6,0.0
600880.SH,19980616,19980622,1.8,0,0,0.013333333333
600880.SH,19970722,19970801,1.78,0,0,0.021040189125
600880.SH,19960613,19960619,2.0,3,0,0.016433853739
600880.SH,19951223,19951229,2.1,0,0,0.028
