fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601231.SH,20250530,20250606,2.3,0,0,0.015302727878
601231.SH,20240530,20240605,2.7,0,0,0.017940199336
601231.SH,20230524,20230530,4.3,0,0,0.030239099859
601231.SH,20220607,20220613,2.6,0,0,0.019446522064
601231.SH,20210526,20210603,5.0,0,0,0.030940594059
601231.SH,20200610,20200617,1.75,0,0,0.009128847157
601231.SH,20190521,20190527,1.64,0,0,0.013542526837
601231.SH,20180601,20180608,1.85,0,0,0.016503122212
601231.SH,20170601,20170608,1.18,0,0,0.008071135431
601231.SH,20160601,20160608,1.0,0,0,0.008613264427
601231.SH,20150616,20150623,1.94,10,10,0.00469165659
601231.SH,20140616,20140620,1.68,0,0,0.005791106515
601231.SH,20130605,20130614,1.92,0,0,0.011117544876
601231.SH,20120608,20120614,0.45,0,0,0.003637833468
