fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
601700.SH,202510,20250930,0.019,0.81,-3.0733922032,-0.8013032804,0,0,63.5885056168
601700.SH,202508,20250630,0.008,0.34,-2.4121220007,-0.4044083833,0,0,63.305077736
601700.SH,202504,20250331,-0.037,-1.6,-11.6649744489,-0.8410832616,0,0,63.8282475494
601700.SH,202504,20241231,0.08,3.41,-2.6034674492,-1.0647261714,0,0,63.6855745339
601700.SH,202410,20240930,0.075,3.17,4.6149004949,1.4731720666,0,0,62.1030153576
601700.SH,202408,20240630,0.071,3.03,6.3822377051,1.4860695368,0,0,61.6268264555
601700.SH,202404,20240331,0.056,2.4,9.8186640418,1.2216622771,0,0,61.4139730145
601700.SH,202404,20231231,0.06,2.6,2.2175035971,1.2078784346,0,0,60.5539917769
601700.SH,202310,20230930,0.035,1.52,1.7809921028,0.6419810841,0,0,59.9385189166
601700.SH,202308,20230630,0.024,1.06,2.3929196371,0.5886538418,0,0,43.8816842015
601700.SH,202304,20230331,0.01,0.43,2.2570368489,0.235220152,0,0,44.2407174251
601700.SH,202304,20221231,0.028,1.24,1.2422860548,0.6790341414,0,0,44.9988647494
601700.SH,202210,20220930,0.03,1.27,1.8303440694,0.6914184421,0,0,45.5541687452
601700.SH,202208,20220630,0.037,1.61,3.4175615868,0.8666472133,0,0,45.9712462156
601700.SH,202204,20220331,0.02,0.7,3.0849232881,0.3438996077,0,0,49.6570155941
601700.SH,202204,20211231,0.082,3.63,2.9235708893,1.8739405732,0,0,49.6418904723
601700.SH,202110,20210930,0.07,3.01,3.6061373562,1.6216530632,0,0,50.7635933196
601700.SH,202108,20210630,0.05,2.05,4.2339707961,1.1035592403,0,0,51.7146064089
601700.SH,202104,20210331,0.02,1.08,6.4259816657,0.5792581773,0,0,46.3770705961
601700.SH,202103,20201231,0.19,8.73,8.5009277748,4.7297880576,0,0,44.9058565355
601700.SH,202010,20200930,0.1,4.49,6.6419059638,2.4081021465,0,0,46.7066978903
601700.SH,202008,20200630,0.1,4.34,8.4315487306,2.3201029423,0,0,45.3913282755
601700.SH,202004,20200331,0.02,0.71,3.6865578992,0.3668300586,0,0,47.3624309288
