fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
002517.SZ,20250528,20250606,1.0,0,0,0.00583090379
002517.SZ,20240828,20240903,1.0,0,0,0.011261261261
002517.SZ,20240529,20240605,1.0,0,0,0.009259259259
002517.SZ,20230922,20230928,1.0,0,0,0.007867820614
002517.SZ,20180606,20180613,1.2,5,5,0.008941877794
002517.SZ,20170920,20170927,1.0,10,10,0.002735978112
002517.SZ,20170519,20170525,1.0,0,0,0.003256268317
002517.SZ,20120523,20120529,2.0,10,10,0.010055304173
002517.SZ,20110511,20110518,3.0,0,0,0.014218009479
