fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601988.SH,20251205,20251211,1.094,0,0,0.019026086957
601988.SH,20250421,20250425,1.216,0,0,0.020857632933
601988.SH,20250115,20250123,1.208,0,0,0.02274952919
601988.SH,20240710,20240717,2.364,0,0,0.048442622951
601988.SH,20230708,20230717,2.32,0,0,0.058145363409
601988.SH,20220708,20220715,2.21,0,0,0.068421052632
601988.SH,20210528,20210604,1.97,0,0,0.058805970149
601988.SH,20200708,20200715,1.91,0,0,0.05204359673
601988.SH,20190525,20190603,1.84,0,0,0.047422680412
601988.SH,20180706,20180713,1.76,0,0,0.046437994723
601988.SH,20170707,20170714,1.68,0,0,0.044094488189
601988.SH,20160617,20160624,1.75,0,0,0.051928783383
601988.SH,20150626,20150703,1.9,0,0,0.037924151697
601988.SH,20140620,20140627,1.96,0,0,0.070758122744
601988.SH,20130606,20130618,1.75,0,0,0.059931506849
601988.SH,20120606,20120613,1.55,0,0,0.051495016611
601988.SH,20110603,20110610,1.46,0,0,0.04371257485
601988.SH,20100531,20100604,1.4,0,0,0.036458333333
601988.SH,20090622,20090626,1.3,0,0,0.02731092437
601988.SH,20080623,20080627,1.0,0,0,0.022988505747
601988.SH,20070620,20070703,0.4,0,0,0.007920792079
