fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601888.SH,20251209,20251216,2.5,0,0,0.003147821707
601888.SH,20250613,20250620,10.5,0,0,0.017266896892
601888.SH,20240607,20240614,16.5,0,0,0.023305084746
601888.SH,20230714,20230721,8.0,0,0,0.007070260716
601888.SH,20220708,20220715,15.0,0,0,0.007159904535
601888.SH,20210611,20210622,10.0,0,0,0.003546350805
601888.SH,20200709,20200716,7.2,0,0,0.003778932452
601888.SH,20190614,20190624,5.5,0,0,0.006467544685
601888.SH,20180614,20180622,5.2,0,0,0.007677543186
601888.SH,20170609,20170616,10.0,10,10,0.017461148944
601888.SH,20160527,20160603,5.0,0,0,0.011343012704
601888.SH,20150707,20150714,4.6,0,0,0.007097670113
601888.SH,20140617,20140624,4.0,0,0,0.012406947891
601888.SH,20130516,20130522,3.5,0,0,0.010762607626
601888.SH,20120530,20120606,1.0,0,0,0.003657644477
601888.SH,20110615,20110622,1.0,0,0,0.004514672686
