fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
002124.SZ,20210514,20210520,6.0,4,4,0.049958368027
002124.SZ,20180525,20180601,1.0,5,5,0.010504201681
002124.SZ,20170523,20170602,1.25,0,0,0.015625
002124.SZ,20160510,20160517,2.0,12,12,0.007380073801
002124.SZ,20150720,20150724,0.998561,0,0,0.004065802117
002124.SZ,20140418,20140425,1.0,0,0,0.012254901961
002124.SZ,20130423,20130503,1.0,0,0,0.015060240964
002124.SZ,20120421,20120502,1.0,0,0,0.014124293785
002124.SZ,20110527,20110602,1.0,0,0,0.010460251046
002124.SZ,20100423,20100430,2.0,5,5,0.013089005236
002124.SZ,20090414,20090421,1.5,0,0,0.012165450122
002124.SZ,20080508,20080515,2.0,10,10,0.007326007326
