fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601333.SH,20250808,20250815,0.7,0,0,0.023648648649
601333.SH,20240809,20240816,0.7,0,0,0.019943019943
601333.SH,20200807,20200814,0.6,0,0,0.023166023166
601333.SH,20190806,20190812,0.6,0,0,0.019672131148
601333.SH,20180727,20180803,0.8,0,0,0.019093078759
601333.SH,20170808,20170814,0.8,0,0,0.015748031496
601333.SH,20160719,20160725,0.8,0,0,0.019464720195
601333.SH,20150717,20150727,0.5,0,0,0.008460236887
601333.SH,20140722,20140728,0.8,0,0,0.030188679245
601333.SH,20130709,20130716,0.8,0,0,0.033195020747
601333.SH,20120706,20120712,1.0,0,0,0.033222591362
601333.SH,20110617,20110623,0.9,0,0,0.022613065327
601333.SH,20100707,20100713,0.8,0,0,0.021621621622
601333.SH,20090702,20090709,0.8,0,0,0.015384615385
601333.SH,20080711,20080717,0.8,0,0,0.019464720195
601333.SH,20070713,20070719,0.8,0,0,0.010403120936
