fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000915.SZ,20251011,20251017,5.0,0,0,0.015422578655
000915.SZ,20250604,20250611,20.0,0,0,0.061747452918
000915.SZ,20240920,20240927,5.0,0,0,0.016733601071
000915.SZ,20240509,20240516,20.0,0,0,0.056641178137
000915.SZ,20230505,20230512,8.0,0,0,0.021419009371
000915.SZ,20220420,20220427,8.0,0,0,0.025518341308
000915.SZ,20210525,20210601,3.5,0,0,0.011709601874
000915.SZ,20200616,20200624,3.0,0,0,0.009082652134
000915.SZ,20190613,20190621,3.0,0,0,0.015037593985
000915.SZ,20180711,20180718,2.5,0,0,0.013462574044
000915.SZ,20170608,20170616,1.5,3,0,0.003092145949
000915.SZ,20160701,20160708,1.0,0,0,0.002765486726
000915.SZ,20150429,20150508,1.0,0,0,0.002439619419
000915.SZ,20140618,20140626,1.0,0,0,0.003877471888
000915.SZ,20130410,20130418,1.0,0,0,0.004987531172
000915.SZ,20020920,20020927,0.25,7,6,0.001479289941
000915.SZ,19990907,19990913,0.3,0,0,0.001993355482
