fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000513.SZ,20250607,20250613,11.0,0.0,0.0,0.028125799028
000513.SZ,20240628,20240708,13.5,0.0,0.0,0.035894708854
000513.SZ,20230628,20230704,16.0,0.0,0.0,0.040816326531
000513.SZ,20220525,20220531,13.0,0.0,0.0,0.039646233608
000513.SZ,20210524,20210601,12.5,0.0,0.0,0.025125628141
000513.SZ,20200529,20200604,11.500552,0.0,0.0,0.028558609387
000513.SZ,20190626,20190703,12.0,3.0,3.0,0.034642032333
000513.SZ,20180614,20180622,20.0,3.0,3.0,0.030670142616
000513.SZ,20170630,20170707,5.0,3.0,3.0,0.007497375918
000513.SZ,20160607,20160615,5.0,0.0,0.0,0.011817537225
000513.SZ,20150807,20150814,1.0,3.0,3.0,0.001439884809
000513.SZ,20140717,20140725,5.0,0.0,0.0,0.010416666667
000513.SZ,20130712,20130718,5.0,0.0,0.0,0.012889920082
000513.SZ,20120601,20120608,5.0,0.0,0.0,0.019516003123
000513.SZ,20110520,20110526,1.0,0.0,0.0,0.003411804845
000513.SZ,20100518,20100524,1.5,0.0,0.0,0.003464203233
000513.SZ,20090622,20090630,1.0,0.0,0.0,0.003676470588
000513.SZ,20080508,20080516,5.0,0.0,0.0,0.023786869648
000513.SZ,20050727,20050803,1.5,0.0,0.0,0.02688172043
000513.SZ,20040420,20040427,1.0,0.0,0.0,0.011299435028
000513.SZ,20030619,20030626,1.0,0.0,0.0,0.010917030568
000513.SZ,20020723,20020730,0.3,0.0,0.0,0.002798507463
000513.SZ,19990714,19990723,0.5,0.0,0.0,0.006329113924
000513.SZ,19970820,19970904,0.0,2.4299,2.4299,0.0
000513.SZ,19960716,19960730,2.0,0.0,0.0,0.022547914318
000513.SZ,19950701,19950711,3.0,0.0,0.0,0.07874015748
000513.SZ,19940513,19940526,0.0,3.0,0.0,0.0
000513.SZ,20260325,,14.3,0.0,0.0,0.043046357616
