fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
002346.SZ,20250605,20250613,5.0,0,0,0.035137034434
002346.SZ,20240521,20240528,2.0,0,0,0.02200220022
002346.SZ,20230628,20230704,2.0,0,0,0.016064257028
002346.SZ,20220519,20220526,2.000394,0,0,0.013824422944
002346.SZ,20210514,20210521,2.0,0,0,0.018484288355
002346.SZ,20200602,20200609,2.0,0,0,0.018779342723
002346.SZ,20190716,20190722,2.0,0,0,0.01638001638
002346.SZ,20180709,20180716,2.0,0,0,0.01452432825
002346.SZ,20170719,20170725,1.0,0,0,0.003921568627
002346.SZ,20160622,20160628,1.0,0,0,0.005235602094
002346.SZ,20150713,20150717,0.5,0,0,0.003021148036
002346.SZ,20140317,20140321,0.0,10,10,0.0
002346.SZ,20130719,20130725,1.0,0,0,0.008403361345
002346.SZ,20120714,20120720,1.5,0,0,0.010653409091
002346.SZ,20110711,20110718,1.0,0,0,0.004108463435
002346.SZ,20100618,20100625,0.35,0,0,0.002165841584
