fs_code,ann_date,report_date,eps,roe,gross_margin,netprofit_margin,current_ratio,quick_ratio,debt_to_assets
002414.SZ,201108,20110630,0.1681,2.04,46.5623229937,1.99501963,0,0,1.763740654
002414.SZ,201104,20110331,0.0085,0.1,17.2371496298,0.1017637203,0,0,1.8840091612
002414.SZ,201103,20101231,0.5465,5.72,37.1052228067,8.7110549352,0,0,2.4409067373
002414.SZ,201010,20100930,0.3,8.14,33.6249641172,4.6921282887,0,0,1.7421736284
002414.SZ,201008,20100630,0.3086,14.23,37.215352824,9.4069227315,0,0,32.2433106212
002414.SZ,201104,20100331,0.08,4.07,26.9191392725,2.7013202643,0,0,31.542385008
002414.SZ,201006,20091231,0.61,34.6,38.9454509134,22.2150664858,0,0,35.7186741134
002414.SZ,201010,20090930,0.32,,34.2868678152,,0,0,
002414.SZ,201008,20090630,0.3,17.21,38.1515101012,11.7515469526,0,0,36.4272927323
002414.SZ,201007,20090331,0.07,,28.4179185952,,0,0,
002414.SZ,201005,20081231,0.52,40.45,30.4974510557,26.7440697309,0,0,34.8454001807
002414.SZ,201005,20071231,0.47,58.36,35.1111244111,35.8673535845,0,0,32.3949177538
002414.SZ,201001,20061231,0.67,,44.8246792591,68.42813283,0,0,47.2822366774
