fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
601998.SH,20251114,20251121,1.88,0,0,0.023067484663
601998.SH,20250703,20250710,1.722,0,0,0.01921875
601998.SH,20241204,20241211,1.825,0,0,0.024965800274
601998.SH,20240703,20240710,3.261,0,0,0.048526785714
601998.SH,20230713,20230720,3.29,0,0,0.054111842105
601998.SH,20220721,20220728,3.02,0,0,0.063847780127
601998.SH,20210722,20210729,2.54,0,0,0.051209677419
601998.SH,20200708,20200715,2.39,0,0,0.042003514938
601998.SH,20190715,20190722,2.3,0,0,0.038655462185
601998.SH,20180626,20180703,2.61,0,0,0.042233009709
601998.SH,20170717,20170724,2.15,0,0,0.030670470756
601998.SH,20160718,20160725,2.12,0,0,0.034584013051
601998.SH,20140711,20140717,2.52,0,0,0.058468677494
601998.SH,20130712,20130718,1.5,0,0,0.039267015707
601998.SH,20120713,20120719,1.45,0,0,0.03625
601998.SH,20111107,20111111,0.55,0,0,0.012276785714
601998.SH,20100716,20100722,0.88,0,0,0.015146299484
601998.SH,20090717,20090723,0.853,0,0,0.013286604361
601998.SH,20080618,20080625,0.535,0,0,0.009981343284
601998.SH,20260321,,1.93,0,0,0.023031026253
