fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000988.SZ,20250614,20250620,2.019684,0,0,0.004594367607
000988.SZ,20240604,20240612,1.5,0,0,0.005064145847
000988.SZ,20230509,20230516,1.0,0,0,0.003473428274
000988.SZ,20220609,20220616,0.8,0,0,0.003752345216
000988.SZ,20210623,20210630,0.6,0,0,0.002578427159
000988.SZ,20200703,20200710,0.6,0,0,0.002208317998
000988.SZ,20190614,20190621,0.3,0,0,0.001925545571
000988.SZ,20180613,20180621,0.3,0,0,0.002102312544
000988.SZ,20170504,20170510,0.35,0,0,0.00244926522
000988.SZ,20160603,20160614,0.35,0,0,0.001934770591
000988.SZ,20150530,20150608,0.25,0,0,0.000960430273
000988.SZ,20140513,20140520,0.1,0,0,0.001242236025
000988.SZ,20130606,20130619,0.1,0,0,0.001510574018
000988.SZ,20120709,20120713,1.5,10,10,0.010467550593
000988.SZ,20110504,20110510,1.0,0,0,0.004646840149
000988.SZ,20100519,20100526,1.0,0,0,0.00539083558
000988.SZ,20090424,20090505,0.35,0,0,0.003401360544
000988.SZ,20080422,20080429,0.12,1,0,0.001092896175
000988.SZ,20050615,20050621,0.4,0,0,0.006525285481
000988.SZ,20040331,20040406,1.0,3,2,0.006230529595
000988.SZ,20030401,20030407,1.3,10,9,0.00420984456
000988.SZ,20020817,20020823,2.0,0,0,0.007052186178
000988.SZ,20010419,20010426,3.0,0,0,0.005781460782
000988.SZ,20260326,,2.5,0,0,0.00237304224
