fs_code,ann_date,divident_date,cash_div,stock_div,stock_ratio,bonus_ratio
000404.SZ,20250702,20250710,3.0,0.0,0,0.041152263374
000404.SZ,20240618,20240626,2.5,0.0,0,0.044563279857
000404.SZ,20230608,20230616,2.0,0.0,0,0.029806259314
000404.SZ,20220608,20220616,1.5,0.0,0,0.029013539652
000404.SZ,20210610,20210618,1.0,0.0,0,0.024875621891
000404.SZ,20200522,20200527,0.2,0.0,0,0.005780346821
000404.SZ,20190525,20190531,0.2,0.0,0,0.004608294931
000404.SZ,20180606,20180613,0.26,0.0,0,0.005405405405
000404.SZ,20170505,20170512,0.4,0.0,0,0.004489337823
000404.SZ,20160624,20160701,0.8,0.0,0,0.008316008316
000404.SZ,20150514,20150521,0.6,0.0,0,0.005893909627
000404.SZ,20140612,20140619,0.3,0.0,0,0.005586592179
000404.SZ,20010629,20010709,0.9095,0.0,0,0.008612689394
000404.SZ,19980921,19980929,0.4,5.6,4,0.003012048193
000404.SZ,19980815,19980824,1.6,0.0,0,0.011869436202
