code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
600030.SH,2025-03-26,27.02,27.11,26.94,26.98,564081.0,1523533196.0,1.0,0.63,sh,none,eastmoney,2026-03-26 17:18:48.062391,2026-03-26 17:18:48.062392
600030.SH,2025-03-27,26.94,27.16,26.71,26.9,725472.0,1953678394.0,1.0,1.67,sh,none,eastmoney,2026-03-26 17:18:48.062427,2026-03-26 17:18:48.062427
600030.SH,2025-03-28,26.98,27.03,26.73,26.8,658976.0,1769583853.0,1.0,1.12,sh,none,eastmoney,2026-03-26 17:18:48.062440,2026-03-26 17:18:48.062440
600030.SH,2025-03-31,26.72,26.84,26.3,26.52,797839.0,2115699502.0,1.0,2.01,sh,none,eastmoney,2026-03-26 17:18:48.062451,2026-03-26 17:18:48.062451
600030.SH,2025-04-01,26.52,26.66,26.39,26.44,596398.0,1580113214.0,1.0,1.02,sh,none,eastmoney,2026-03-26 17:18:48.062460,2026-03-26 17:18:48.062460
600030.SH,2025-04-02,26.4,26.61,26.35,26.54,456719.0,1211260842.0,1.0,0.98,sh,none,eastmoney,2026-03-26 17:18:48.062470,2026-03-26 17:18:48.062470
600030.SH,2025-04-03,26.3,26.72,26.3,26.44,558678.0,1479533337.0,1.0,1.58,sh,none,eastmoney,2026-03-26 17:18:48.062479,2026-03-26 17:18:48.062479
600030.SH,2025-04-07,25.0,25.17,23.8,24.02,2277300.0,5537982335.0,1.0,5.18,sh,none,eastmoney,2026-03-26 17:18:48.062487,2026-03-26 17:18:48.062487
600030.SH,2025-04-08,24.11,24.59,23.88,24.5,1718956.0,4187725099.0,1.0,2.96,sh,none,eastmoney,2026-03-26 17:18:48.062495,2026-03-26 17:18:48.062495
600030.SH,2025-04-09,24.44,25.12,24.15,24.89,1423352.0,3510522520.0,1.0,3.96,sh,none,eastmoney,2026-03-26 17:18:48.062503,2026-03-26 17:18:48.062503
600030.SH,2025-04-10,25.25,25.4,24.7,25.14,1227315.0,3093831094.0,1.0,2.81,sh,none,eastmoney,2026-03-26 17:18:48.062511,2026-03-26 17:18:48.062511
600030.SH,2025-04-11,25.13,25.59,25.03,25.36,932290.0,2355030858.0,1.0,2.23,sh,none,eastmoney,2026-03-26 17:18:48.062519,2026-03-26 17:18:48.062519
600030.SH,2025-04-14,25.44,25.49,25.21,25.23,635100.0,1608059450.0,1.0,1.1,sh,none,eastmoney,2026-03-26 17:18:48.062527,2026-03-26 17:18:48.062527
600030.SH,2025-04-15,25.19,25.21,24.94,25.11,562516.0,1409537552.0,1.0,1.07,sh,none,eastmoney,2026-03-26 17:18:48.062534,2026-03-26 17:18:48.062535
600030.SH,2025-04-16,25.09,25.25,24.77,25.15,662043.0,1651630526.0,1.0,1.91,sh,none,eastmoney,2026-03-26 17:18:48.062543,2026-03-26 17:18:48.062543
600030.SH,2025-04-17,25.05,25.25,24.97,25.17,481695.0,1210732279.0,1.0,1.11,sh,none,eastmoney,2026-03-26 17:18:48.062551,2026-03-26 17:18:48.062551
600030.SH,2025-04-18,25.06,25.25,25.0,25.15,476294.0,1196730534.0,1.0,0.99,sh,none,eastmoney,2026-03-26 17:18:48.062559,2026-03-26 17:18:48.062559
600030.SH,2025-04-21,25.07,25.28,24.99,25.23,441371.0,1112592222.0,1.0,1.15,sh,none,eastmoney,2026-03-26 17:18:48.062567,2026-03-26 17:18:48.062567
600030.SH,2025-04-22,25.2,25.3,25.08,25.08,459491.0,1157699163.0,1.0,0.87,sh,none,eastmoney,2026-03-26 17:18:48.062575,2026-03-26 17:18:48.062575
600030.SH,2025-04-23,25.23,25.28,25.04,25.13,483724.0,1216639786.0,1.0,0.96,sh,none,eastmoney,2026-03-26 17:18:48.062583,2026-03-26 17:18:48.062583
600030.SH,2025-04-24,25.12,25.25,24.95,25.0,519161.0,1302315279.0,1.0,1.19,sh,none,eastmoney,2026-03-26 17:18:48.062591,2026-03-26 17:18:48.062591
600030.SH,2025-04-25,25.1,25.33,25.08,25.2,670113.0,1690527144.0,1.0,1.0,sh,none,eastmoney,2026-03-26 17:18:48.062599,2026-03-26 17:18:48.062599
600030.SH,2025-04-28,25.2,25.21,25.0,25.13,440656.0,1106437411.0,1.0,0.83,sh,none,eastmoney,2026-03-26 17:18:48.062606,2026-03-26 17:18:48.062606
600030.SH,2025-04-29,25.14,25.2,24.96,25.01,462586.0,1158492283.0,1.0,0.96,sh,none,eastmoney,2026-03-26 17:18:48.062614,2026-03-26 17:18:48.062614
600030.SH,2025-04-30,25.08,25.28,25.02,25.08,514514.0,1293711645.0,1.0,1.04,sh,none,eastmoney,2026-03-26 17:18:48.062622,2026-03-26 17:18:48.062622
600030.SH,2025-05-06,25.28,25.68,25.2,25.51,819030.0,2086441329.0,1.0,1.91,sh,none,eastmoney,2026-03-26 17:18:48.062629,2026-03-26 17:18:48.062629
600030.SH,2025-05-07,26.28,26.42,25.61,25.67,1173234.0,3040010228.0,1.0,3.18,sh,none,eastmoney,2026-03-26 17:18:48.062638,2026-03-26 17:18:48.062638
600030.SH,2025-05-08,25.64,26.2,25.55,25.86,836747.0,2170080322.0,1.0,2.53,sh,none,eastmoney,2026-03-26 17:18:48.062645,2026-03-26 17:18:48.062645
600030.SH,2025-05-09,25.8,25.88,25.54,25.55,476958.0,1223488810.0,1.0,1.31,sh,none,eastmoney,2026-03-26 17:18:48.062653,2026-03-26 17:18:48.062653
600030.SH,2025-05-12,25.78,26.38,25.65,26.3,1314582.0,3436067273.0,1.0,2.86,sh,none,eastmoney,2026-03-26 17:18:48.062661,2026-03-26 17:18:48.062661
600030.SH,2025-05-13,26.5,26.55,26.06,26.09,796426.0,2088033654.0,1.0,1.86,sh,none,eastmoney,2026-03-26 17:18:48.062668,2026-03-26 17:18:48.062669
600030.SH,2025-05-14,26.05,27.74,26.01,27.07,2739056.0,7367935399.0,1.0,6.63,sh,none,eastmoney,2026-03-26 17:18:48.062676,2026-03-26 17:18:48.062676
600030.SH,2025-05-15,26.8,27.01,26.52,26.58,994565.0,2657150207.0,1.0,1.81,sh,none,eastmoney,2026-03-26 17:18:48.062684,2026-03-26 17:18:48.062684
600030.SH,2025-05-16,26.47,26.68,26.13,26.21,714800.0,1878231801.0,1.0,2.07,sh,none,eastmoney,2026-03-26 17:18:48.062692,2026-03-26 17:18:48.062692
600030.SH,2025-05-19,26.18,26.24,26.02,26.11,492746.0,1285903214.0,1.0,0.84,sh,none,eastmoney,2026-03-26 17:18:48.062699,2026-03-26 17:18:48.062699
600030.SH,2025-05-20,26.16,26.28,26.06,26.09,505241.0,1320882683.0,1.0,0.84,sh,none,eastmoney,2026-03-26 17:18:48.062707,2026-03-26 17:18:48.062707
600030.SH,2025-05-21,26.09,26.2,26.03,26.04,536492.0,1400914012.0,1.0,0.65,sh,none,eastmoney,2026-03-26 17:18:48.062714,2026-03-26 17:18:48.062715
600030.SH,2025-05-22,26.0,26.07,25.86,25.99,443995.0,1153132884.0,1.0,0.81,sh,none,eastmoney,2026-03-26 17:18:48.062722,2026-03-26 17:18:48.062722
600030.SH,2025-05-23,25.93,26.15,25.66,25.67,664482.0,1720713753.0,1.0,1.89,sh,none,eastmoney,2026-03-26 17:18:48.062730,2026-03-26 17:18:48.062730
600030.SH,2025-05-26,25.65,25.77,25.53,25.62,450699.0,1154448356.0,1.0,0.93,sh,none,eastmoney,2026-03-26 17:18:48.062738,2026-03-26 17:18:48.062738
