date,middlePB,quantileInRecent10YearsMiddlePB,close,pe
2010-01-01,,,3772.5,
2010-01-04,,,3772.5,
2010-01-05,,,3806.74,
2010-01-06,,,3788.8,
2010-01-07,,,3713.54,
2010-01-08,,,3735.38,
2010-01-11,,,3745.84,
2010-01-12,,,3809.63,
2010-01-13,,,3716.07,
2010-01-14,,,3784.21,
2010-01-15,,,3804.15,
2010-01-18,,,3839.08,
2010-01-19,,,3843.87,
2010-01-20,,,3715.21,
2010-01-21,,,3730.97,
2010-01-22,,,3665.17,
2010-01-25,,,3617.69,
2010-01-26,,,3510.55,
2010-01-27,,,3471.12,
2010-01-28,,,3494.78,
2010-01-29,,,3504.57,
2010-02-01,,,3454.91,
2010-02-02,,,3443.36,
2010-02-03,,,3521.39,
2010-02-04,,,3526.18,
2010-02-05,,,3453.97,
2010-02-08,,,3452.08,
2010-02-09,,,3465.49,
2010-02-10,,,3512.46,
2010-02-11,,,3513.18,
2010-02-12,,,3551.14,
2010-02-22,,,3541.11,
2010-02-23,,,3529.61,
2010-02-24,,,3589.37,
2010-02-25,,,3644.42,
2010-02-26,,,3638.8,
2010-03-01,,,3685.07,
2010-03-02,,,3676.66,
2010-03-03,,,3711.34,
2010-03-04,,,3603.66,
2010-03-05,,,3614.57,
2010-03-08,,,3647.57,
2010-03-09,,,3662.14,
2010-03-10,,,3627.76,
2010-03-11,,,3617.07,
2010-03-12,,,3566.39,
2010-03-15,,,3520.15,
2010-03-16,,,3547.04,
2010-03-17,,,3630.65,
2010-03-18,,,3630.38,
2010-03-19,,,3658.56,
2010-03-22,,,3673.78,
2010-03-23,,,3646.58,
2010-03-24,,,3653.16,
2010-03-25,,,3601.7,
2010-03-26,,,3652.18,
2010-03-29,,,3720.89,
2010-03-30,,,3733.56,
2010-03-31,,,3722.86,
2010-04-01,,,3776.17,
2010-04-02,,,3791.72,
2010-04-06,,,3793.43,
2010-04-07,,,3783.85,
2010-04-08,,,3755.69,
2010-04-09,,,3799.51,
2010-04-12,,,3792.27,
2010-04-13,,,3801.3,
2010-04-14,,,3827.27,
2010-04-15,,,3804.06,
2010-04-16,,,3773.16,
2010-04-19,,,3586.87,
2010-04-20,,,3602.04,
2010-04-21,,,3687.75,
2010-04-22,,,3666.34,
2010-04-23,,,3646.31,
2010-04-26,,,3633.64,
2010-04-27,,,3552.64,
2010-04-28,,,3536.49,
2010-04-29,,,3468.15,
2010-04-30,,,3435.98,
2010-05-04,,,3400.09,
2010-05-05,,,3449.61,
2010-05-06,,,3311.33,
2010-05-07,,,3248.09,
2010-05-10,,,3240.75,
2010-05-11,,,3165.43,
2010-05-12,,,3149.0,
2010-05-13,,,3228.7,
2010-05-14,,,3222.39,
2010-05-17,,,3038.31,
2010-05-18,,,3091.45,
2010-05-19,,,3085.79,
2010-05-20,,,3038.31,
2010-05-21,,,3090.11,
2010-05-24,,,3215.12,
2010-05-25,,,3165.85,
2010-05-26,,,3169.71,
2010-05-27,,,3223.43,
2010-05-28,,,3221.74,
2010-05-31,,,3130.95,
2010-06-01,,,3087.96,
2010-06-02,,,3114.22,
2010-06-03,,,3091.48,
2010-06-04,,,3106.37,
2010-06-07,,,3067.17,
2010-06-08,,,3081.74,
2010-06-09,,,3169.27,
2010-06-10,,,3148.91,
2010-06-11,,,3148.4,
2010-06-17,,,3123.84,
2010-06-18,,,3042.93,
2010-06-21,,,3133.85,
2010-06-22,,,3145.72,
2010-06-23,,,3122.84,
2010-06-24,,,3122.77,
2010-06-25,,,3088.87,
2010-06-28,,,3055.48,
2010-06-29,,,2903.19,
2010-06-30,,,2862.78,
2010-07-01,,,2821.48,
2010-07-02,,,2819.72,
2010-07-05,,,2798.44,
2010-07-06,,,2863.21,
2010-07-07,,,2890.86,
2010-07-08,,,2882.32,
2010-07-09,,,2963.6,
2010-07-12,,,2996.35,
2010-07-13,,,2951.07,
2010-07-14,,,2974.54,
2010-07-15,,,2916.7,
2010-07-16,,,2928.33,
2010-07-19,,,2999.13,
2010-07-20,,,3072.46,
2010-07-21,,,3078.94,
2010-07-22,,,3119.91,
2010-07-23,,,3128.35,
2010-07-26,,,3157.16,
2010-07-27,,,3146.78,
