日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-19,4.63,-2.94,3855024.0,1.59,-21350375.0,-8.78,25205399.0,10.37,20381993.0,8.38,-24237017.0,-9.97
2025-09-22,4.47,-3.46,-3071259.0,-1.85,-1540237.0,-0.93,-1531022.0,-0.92,6102216.0,3.67,-3030957.0,-1.82
2025-09-23,4.37,-2.24,-6077485.0,-2.91,-2464238.0,-1.18,-3613247.0,-1.73,18893133.0,9.03,-12815648.0,-6.13
2025-09-24,4.37,0.0,776675.0,0.6,-250039.0,-0.19,1026714.0,0.79,10968748.0,8.43,-11745423.0,-9.02
2025-09-25,4.28,-2.06,-7454913.0,-7.48,4360.0,0.0,-7459273.0,-7.48,2311140.0,2.32,5143773.0,5.16
2025-09-26,4.22,-1.4,-10312725.0,-10.4,-12353242.0,-12.45,2040517.0,2.06,2307704.0,2.33,8005021.0,8.07
2025-09-29,4.3,1.9,11622574.0,8.7,-931885.0,-0.7,12554459.0,9.4,-5789128.0,-4.33,-5833446.0,-4.37
2025-09-30,4.46,3.72,550706.0,0.27,-4943800.0,-2.41,5494506.0,2.68,-5990070.0,-2.92,5439364.0,2.65
2025-10-09,4.12,-7.62,-13864204.0,-5.78,-7751509.0,-3.23,-6112695.0,-2.55,31117548.0,12.97,-17253343.0,-7.19
2025-10-10,4.07,-1.21,-10209499.0,-9.87,-1385453.0,-1.34,-8824046.0,-8.53,5288618.0,5.11,4920881.0,4.76
2025-10-13,4.07,0.0,-9376098.0,-8.14,-8601249.0,-7.47,-774849.0,-0.67,-499103.0,-0.43,9875201.0,8.57
2025-10-14,4.02,-1.23,-14646125.0,-7.15,-1708264.0,-0.83,-12937861.0,-6.32,19627688.0,9.58,-4981564.0,-2.43
2025-10-15,4.02,0.0,-14432402.0,-12.77,-15955764.0,-14.11,1523362.0,1.35,-4049403.0,-3.58,18481805.0,16.35
2025-10-16,3.91,-2.74,-15316220.0,-19.53,-5445124.0,-6.94,-9871096.0,-12.58,145356.0,0.19,15170864.0,19.34
2025-10-17,3.87,-1.02,2488240.0,3.86,0.0,0.0,2488240.0,3.86,-6074204.0,-9.44,3585964.0,5.57
2025-10-20,4.15,7.24,16065953.0,7.39,1871552.0,0.86,14194401.0,6.53,-17914337.0,-8.24,1848385.0,0.85
2025-10-21,4.07,-1.93,-15266881.0,-12.68,-6667747.0,-5.54,-8599134.0,-7.14,5042321.0,4.19,10224561.0,8.49
2025-10-22,3.98,-2.21,-21331727.0,-16.04,-3898389.0,-2.93,-17433338.0,-13.11,4800056.0,3.61,16531671.0,12.43
2025-10-23,3.98,0.0,6340933.0,3.66,-908297.0,-0.52,7249230.0,4.19,13467004.0,7.78,-19807937.0,-11.45
2025-10-24,3.87,-2.76,-29501163.0,-23.99,-16306526.0,-13.26,-13194637.0,-10.73,12938908.0,10.52,16562256.0,13.47
2025-10-27,3.85,-0.52,-21724702.0,-14.11,-7584833.0,-4.93,-14139869.0,-9.18,-4145615.0,-2.69,25870317.0,16.8
2025-10-28,3.86,0.26,364547.0,0.33,-3677743.0,-3.35,4042290.0,3.68,-4266096.0,-3.89,3901549.0,3.56
2025-10-29,3.93,1.81,9705756.0,9.38,4941272.0,4.78,4764484.0,4.6,-3889344.0,-3.76,-5816412.0,-5.62
2025-10-30,3.83,-2.54,-3568472.0,-3.9,-3847304.0,-4.2,278832.0,0.3,-6649416.0,-7.27,10217888.0,11.17
2025-10-31,3.83,0.0,-11682839.0,-16.71,-2266029.0,-3.24,-9416810.0,-13.47,3141036.0,4.49,8541803.0,12.22
2025-11-03,4.05,5.74,22672422.0,10.53,10297601.0,4.78,12374821.0,5.75,-15654042.0,-7.27,-7018380.0,-3.26
2025-11-04,3.89,-3.95,-16974281.0,-14.58,-1462899.0,-1.26,-15511382.0,-13.32,5663267.0,4.86,11311014.0,9.71
2025-11-05,3.94,1.29,-6616597.0,-7.59,1667321.0,1.91,-8283918.0,-9.51,-1349528.0,-1.55,7966125.0,9.14
2025-11-06,3.87,-1.78,-64196.0,-0.07,599859.0,0.65,-664055.0,-0.72,822609.0,0.89,-758413.0,-0.82
2025-11-07,3.87,0.0,-3270166.0,-4.56,669552.0,0.93,-3939718.0,-5.49,1024998.0,1.43,2245168.0,3.13
2025-11-10,3.94,1.81,-20452804.0,-16.09,-12551349.0,-9.88,-7901455.0,-6.22,6361800.0,5.01,14091004.0,11.09
2025-11-11,3.95,0.25,-10425060.0,-11.36,-5912730.0,-6.44,-4512330.0,-4.92,3386940.0,3.69,7038121.0,7.67
2025-11-12,3.88,-1.77,-14390750.0,-18.88,-8688070.0,-11.4,-5702680.0,-7.48,8625734.0,11.32,5765016.0,7.56
2025-11-13,3.88,0.0,-15256115.0,-17.21,-443884.0,-0.5,-14812231.0,-16.71,154544.0,0.17,15101571.0,17.03
2025-11-14,3.88,0.0,-18440967.0,-20.51,5007629.0,5.57,-23448596.0,-26.08,6677180.0,7.43,11763787.0,13.08
2025-11-17,4.06,4.64,12104701.0,5.21,22186839.0,9.55,-10082138.0,-4.34,-9271603.0,-3.99,-2833098.0,-1.22
2025-11-18,3.81,-6.16,-8349675.0,-3.64,-9816999.0,-4.28,1467324.0,0.64,13116142.0,5.71,-4766466.0,-2.08
2025-11-19,3.65,-4.2,-8031020.0,-7.95,-1636864.0,-1.62,-6394156.0,-6.33,2570052.0,2.54,5460968.0,5.41
2025-11-20,3.92,7.4,37758578.0,16.77,18791222.0,8.35,18967356.0,8.42,-4082746.0,-1.81,-33675832.0,-14.96
2025-11-21,3.62,-7.65,-16874112.0,-12.13,-13540024.0,-9.74,-3334088.0,-2.4,7312363.0,5.26,9561749.0,6.88
2025-11-24,3.8,4.97,9465378.0,6.9,54284.0,0.04,9411094.0,6.86,1360954.0,0.99,-10826331.0,-7.89
2025-11-25,3.85,1.32,-2604816.0,-2.35,3386460.0,3.06,-5991276.0,-5.41,-10825634.0,-9.78,13430451.0,12.13
2025-11-26,3.86,0.26,-4999507.0,-5.89,-2335573.0,-2.75,-2663934.0,-3.14,5862664.0,6.91,-863157.0,-1.02
2025-11-27,3.93,1.81,21634805.0,12.15,12065422.0,6.78,9569383.0,5.37,356507.0,0.2,-21991312.0,-12.35
2025-11-28,3.97,1.02,-7718051.0,-5.46,6220529.0,4.4,-13938580.0,-9.86,-4553344.0,-3.22,12271396.0,8.68
2025-12-01,3.93,-1.01,-16896543.0,-12.72,-6552442.0,-4.93,-10344101.0,-7.79,-1676312.0,-1.26,18572855.0,13.98
2025-12-02,3.94,0.25,-13901074.0,-17.5,-4415598.0,-5.56,-9485476.0,-11.94,866403.0,1.09,13034671.0,16.41
2025-12-03,3.78,-4.06,-12856234.0,-8.79,-11839044.0,-8.09,-1017190.0,-0.7,11660736.0,7.97,1195498.0,0.82
2025-12-04,3.74,-1.06,-666457.0,-0.87,-1090402.0,-1.42,423945.0,0.55,-2425501.0,-3.16,3091958.0,4.03
2025-12-05,3.73,-0.27,-4334179.0,-7.74,0.0,0.0,-4334179.0,-7.74,1146393.0,2.05,3187786.0,5.7
2025-12-08,3.71,-0.54,1216564.0,1.64,-2930602.0,-3.96,4147166.0,5.61,2807206.0,3.79,-4023770.0,-5.44
2025-12-09,3.67,-1.08,-11029397.0,-19.95,-8070441.0,-14.59,-2958956.0,-5.35,3979832.0,7.2,7049565.0,12.75
2025-12-10,3.67,0.0,-948380.0,-2.61,1375370.0,3.78,-2323750.0,-6.39,575394.0,1.58,372986.0,1.03
2025-12-11,3.6,-1.91,-1530816.0,-4.25,111567.0,0.31,-1642383.0,-4.56,3321297.0,9.23,-1790481.0,-4.98
2025-12-12,3.57,-0.83,-3494214.0,-11.79,-1966930.0,-6.64,-1527284.0,-5.15,-75228.0,-0.25,3569442.0,12.05
2025-12-15,3.53,-1.12,-4849633.0,-13.3,-2848147.0,-7.81,-2001486.0,-5.49,750981.0,2.06,4098653.0,11.24
2025-12-16,3.42,-3.12,-10567024.0,-20.24,-4184166.0,-8.01,-6382858.0,-12.23,913205.0,1.75,9653819.0,18.49
2025-12-17,3.39,-0.88,-28643042.0,-41.84,-6226239.0,-9.09,-22416803.0,-32.75,8880267.0,12.97,19762776.0,28.87
2025-12-18,3.46,2.06,3125951.0,3.75,1416210.0,1.7,1709741.0,2.05,1706742.0,2.05,-4832693.0,-5.8
2025-12-19,3.67,6.07,12397929.0,8.84,14492979.0,10.34,-2095050.0,-1.49,-6180746.0,-4.41,-6217183.0,-4.43
2025-12-22,3.63,-1.09,-7548718.0,-11.63,-2178178.0,-3.36,-5370540.0,-8.28,-2348478.0,-3.62,9897196.0,15.25
2025-12-23,3.62,-0.28,-5073833.0,-9.74,0.0,0.0,-5073833.0,-9.74,-923600.0,-1.77,5997433.0,11.51
2025-12-24,3.6,-0.55,696742.0,1.6,-3910289.0,-8.96,4607031.0,10.55,-1249570.0,-2.86,552829.0,1.27
2025-12-25,3.63,0.83,-7320830.0,-12.75,-817199.0,-1.42,-6503631.0,-11.33,617441.0,1.08,6703389.0,11.68
2025-12-26,3.56,-1.93,-4819156.0,-9.35,-2013542.0,-3.91,-2805614.0,-5.44,-100144.0,-0.19,4919300.0,9.55
2025-12-29,3.58,0.56,-5506322.0,-11.3,-1962273.0,-4.03,-3544049.0,-7.27,-153985.0,-0.32,5660307.0,11.62
2025-12-30,3.51,-1.96,-8600739.0,-17.54,-1450124.0,-2.96,-7150615.0,-14.59,-2860018.0,-5.83,11460757.0,23.38
2025-12-31,3.53,0.57,-4407628.0,-10.53,807381.0,1.93,-5215009.0,-12.46,-3855547.0,-9.21,8263175.0,19.75
2026-01-05,3.49,-1.13,-13182812.0,-26.06,-4842050.0,-9.57,-8340762.0,-16.49,5586908.0,11.05,7595904.0,15.02
2026-01-06,3.54,1.43,-6561008.0,-10.24,2364893.0,3.69,-8925901.0,-13.93,-1460147.0,-2.28,8021155.0,12.52
2026-01-07,3.5,-1.13,-5031218.0,-8.27,-1047633.0,-1.72,-3983585.0,-6.55,-1363141.0,-2.24,6394360.0,10.51
2026-01-08,3.57,2.0,-3126492.0,-2.55,1294700.0,1.06,-4421192.0,-3.61,336572.0,0.27,2789920.0,2.28
2026-01-09,3.8,6.44,4750211.0,2.39,8812852.0,4.43,-4062641.0,-2.04,2175193.0,1.09,-6925404.0,-3.48
2026-01-12,3.83,0.79,-6018702.0,-3.67,2776524.0,1.69,-8795226.0,-5.36,2685393.0,1.64,3333309.0,2.03
2026-01-13,3.67,-4.18,-16765983.0,-15.63,-996217.0,-0.93,-15769766.0,-14.7,-4670158.0,-4.35,21436141.0,19.98
2026-01-14,3.73,1.63,10895538.0,12.65,3558000.0,4.13,7337538.0,8.52,-8726879.0,-10.14,-2168659.0,-2.52
2026-01-15,3.6,-3.49,-5202261.0,-6.69,-1778639.0,-2.29,-3423622.0,-4.4,2062952.0,2.65,3139309.0,4.04
2026-01-16,3.56,-1.11,-3143154.0,-5.2,1753646.0,2.9,-4896800.0,-8.11,866152.0,1.43,2277003.0,3.77
2026-01-19,3.6,1.12,237084.0,0.49,843504.0,1.73,-606420.0,-1.25,-1136026.0,-2.33,898942.0,1.85
2026-01-20,3.59,-0.28,-3944570.0,-8.68,-1295631.0,-2.85,-2648939.0,-5.83,2821300.0,6.21,1123271.0,2.47
2026-01-21,3.68,2.51,2772520.0,3.79,2831139.0,3.87,-58619.0,-0.08,-1188180.0,-1.62,-1584340.0,-2.16
2026-01-22,3.68,0.0,-6453810.0,-11.37,2042374.0,3.6,-8496184.0,-14.96,-2496255.0,-4.4,8950065.0,15.76
2026-01-23,3.67,-0.27,-15715983.0,-27.44,-6692038.0,-11.69,-9023945.0,-15.76,3196777.0,5.58,12519206.0,21.86
2026-01-26,3.58,-2.45,-8919684.0,-10.61,4370452.0,5.2,-13290136.0,-15.81,2727721.0,3.25,6191963.0,7.37
2026-01-27,3.52,-1.68,-11001587.0,-15.59,-5144045.0,-7.29,-5857542.0,-8.3,76283.0,0.11,10925304.0,15.48
2026-01-28,3.46,-1.7,-210708.0,-0.46,686256.0,1.5,-896964.0,-1.96,1600866.0,3.49,-1390158.0,-3.03
2026-01-29,3.44,-0.58,-1363291.0,-2.45,-2364576.0,-4.25,1001285.0,1.8,3024994.0,5.44,-1661702.0,-2.99
2026-01-30,3.41,-0.87,-9577006.0,-19.76,-3176456.0,-6.55,-6400550.0,-13.21,3877297.0,8.0,5699709.0,11.76
2026-02-02,3.42,0.29,1111924.0,2.05,1102922.0,2.03,9002.0,0.02,3299811.0,6.08,-4411735.0,-8.13
2026-02-03,3.52,2.92,1974860.0,2.97,4487532.0,6.76,-2512672.0,-3.78,475100.0,0.72,-2449960.0,-3.69
2026-02-04,3.6,2.27,9849286.0,11.98,3933496.0,4.78,5915790.0,7.19,-9079353.0,-11.04,-769933.0,-0.94
2026-02-05,3.76,4.44,14347889.0,5.87,3902975.0,1.6,10444914.0,4.27,-5388273.0,-2.2,-8959615.0,-3.66
2026-02-06,3.55,-5.59,-35134204.0,-21.59,-23705855.0,-14.57,-11428349.0,-7.02,9414143.0,5.79,25720061.0,15.81
2026-02-09,3.62,1.97,-4838839.0,-2.86,-2080795.0,-1.23,-2758044.0,-1.63,5986622.0,3.54,-1147783.0,-0.68
2026-02-10,3.62,0.0,-14163690.0,-14.13,-1508610.0,-1.5,-12655080.0,-12.62,1380645.0,1.38,12783045.0,12.75
2026-02-11,3.58,-1.1,-4357637.0,-6.96,-4975683.0,-7.95,618046.0,0.99,2814076.0,4.49,1543561.0,2.46
2026-02-12,3.54,-1.12,-1132122.0,-1.74,260159.0,0.4,-1392281.0,-2.14,-1548907.0,-2.38,2681029.0,4.12
2026-02-13,3.46,-2.26,-9129829.0,-17.0,-4545475.0,-8.46,-4584354.0,-8.54,6383568.0,11.89,2746261.0,5.11
2026-02-24,3.58,3.47,5084730.0,7.18,4355517.0,6.15,729213.0,1.03,-5258809.0,-7.43,174079.0,0.25
2026-02-25,3.7,3.35,18469768.0,9.73,11188453.0,5.89,7281315.0,3.83,-3750352.0,-1.98,-14719416.0,-7.75
2026-02-26,4.07,10.0,37387275.0,13.25,64870489.0,22.98,-27483214.0,-9.74,-17798059.0,-6.31,-19589216.0,-6.94
2026-02-27,4.28,5.16,40465202.0,5.96,22213457.0,3.27,18251745.0,2.69,-8130368.0,-1.2,-32334834.0,-4.77
2026-03-02,4.17,-2.57,-24034290.0,-5.83,-22909129.0,-5.55,-1125161.0,-0.27,8694152.0,2.11,15340138.0,3.72
2026-03-03,4.02,-3.6,-40025519.0,-11.09,-21762349.0,-6.03,-18263170.0,-5.06,16209505.0,4.49,23816014.0,6.6
2026-03-04,4.42,9.95,114147655.0,19.33,125431239.0,21.24,-11283584.0,-1.91,-57093207.0,-9.67,-57054449.0,-9.66
2026-03-05,4.32,-2.26,-63773009.0,-10.64,-50775483.0,-8.47,-12997526.0,-2.17,40622396.0,6.78,23150614.0,3.86
2026-03-06,4.41,2.08,4196409.0,1.31,25767109.0,8.07,-21570700.0,-6.76,1847721.0,0.58,-6044130.0,-1.89
2026-03-09,4.26,-3.4,-31861026.0,-13.51,-19464460.0,-8.25,-12396566.0,-5.26,6664537.0,2.83,25196489.0,10.68
2026-03-10,4.36,2.35,12346821.0,6.3,1669852.0,0.85,10676969.0,5.45,-4428143.0,-2.26,-7918678.0,-4.04
2026-03-11,4.33,-0.69,-12843483.0,-6.73,-1653375.0,-0.87,-11190108.0,-5.87,-4016214.0,-2.11,16859698.0,8.84
2026-03-12,4.12,-4.85,-37380124.0,-17.49,-12139367.0,-5.68,-25240757.0,-11.81,-409010.0,-0.19,37789134.0,17.68
2026-03-13,4.53,9.95,80737916.0,38.16,84367803.0,39.88,-3629887.0,-1.72,-42697212.0,-20.18,-38040703.0,-17.98
2026-03-16,4.68,3.31,43081334.0,6.5,12911524.0,1.95,30169810.0,4.55,5303706.0,0.8,-48385041.0,-7.3
2026-03-17,4.72,0.85,-6864832.0,-1.24,4552897.0,0.82,-11417729.0,-2.07,17445783.0,3.16,-10580950.0,-1.91
2026-03-18,4.6,-2.54,-28848475.0,-10.62,-1698370.0,-0.62,-27150105.0,-9.99,8938303.0,3.29,19910172.0,7.33
2026-03-19,4.58,-0.43,3675874.0,1.52,-5190365.0,-2.14,8866239.0,3.66,3429386.0,1.41,-7105260.0,-2.93
2026-03-20,4.61,0.66,8000864.0,2.98,-1866463.0,-0.7,9867327.0,3.67,-1136157.0,-0.42,-6864706.0,-2.56
2026-03-23,4.31,-6.51,-28209087.0,-10.76,-25069625.0,-9.56,-3139462.0,-1.2,14481424.0,5.52,13727663.0,5.24
2026-03-24,4.45,3.25,-7484459.0,-3.84,-1346970.0,-0.69,-6137489.0,-3.15,-8057473.0,-4.14,15541932.0,7.98
2026-03-25,4.47,0.45,-9755065.0,-5.2,-3983774.0,-2.12,-5771291.0,-3.07,-2802497.0,-1.49,12557562.0,6.69
2026-03-26,4.29,-4.03,-24653836.0,-16.84,-11644461.0,-7.95,-13009375.0,-8.89,5889515.0,4.02,18764321.0,12.82
