日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-19,9.2,0.55,-426201.0,-0.46,-2233644.0,-2.39,1807443.0,1.93,-172568.0,-0.18,598769.0,0.64
2025-09-22,9.02,-1.96,1537117.0,1.85,-5077965.0,-6.11,6615082.0,7.96,-1782565.0,-2.15,245448.0,0.3
2025-09-23,8.95,-0.78,-5089495.0,-5.6,-325960.0,-0.36,-4763535.0,-5.24,289593.0,0.32,4799902.0,5.28
2025-09-24,9.14,2.12,-7043252.0,-4.02,-7553399.0,-4.31,510147.0,0.29,10606261.0,6.05,-3563009.0,-2.03
2025-09-25,9.06,-0.88,8432951.0,7.45,4456360.0,3.94,3976591.0,3.52,1728020.0,1.53,-10160971.0,-8.98
2025-09-26,9.1,0.44,1272713.0,1.07,3225910.0,2.71,-1953197.0,-1.64,-7942034.0,-6.67,6669322.0,5.6
2025-09-29,9.09,-0.11,-7018339.0,-8.25,-504991.0,-0.59,-6513348.0,-7.65,-469770.0,-0.55,7488109.0,8.8
2025-09-30,9.3,2.31,3355810.0,2.81,-44807.0,-0.04,3400617.0,2.84,-1638090.0,-1.37,-1717719.0,-1.44
2025-10-09,9.13,-1.83,-11330858.0,-8.76,-4955418.0,-3.83,-6375440.0,-4.93,13045927.0,10.08,-1715069.0,-1.33
2025-10-10,9.52,4.27,9503503.0,4.68,3072531.0,1.51,6430972.0,3.17,-6470549.0,-3.19,-3032955.0,-1.49
2025-10-13,9.85,3.47,19326573.0,6.25,338712.0,0.11,18987861.0,6.14,8370318.0,2.71,-27696890.0,-8.95
2025-10-14,9.79,-0.61,-25800056.0,-11.37,315331.0,0.14,-26115387.0,-11.51,-9872972.0,-4.35,35673029.0,15.73
2025-10-15,9.42,-3.78,-22223415.0,-15.55,-6580880.0,-4.61,-15642535.0,-10.95,2780709.0,1.95,19442706.0,13.61
2025-10-16,10.05,6.69,66179943.0,16.83,50215174.0,12.77,15964769.0,4.06,16975497.0,4.32,-83155441.0,-21.14
2025-10-17,9.76,-2.89,-7020583.0,-2.56,-18729071.0,-6.82,11708488.0,4.27,-16793580.0,-6.12,23814162.0,8.68
2025-10-20,9.71,-0.51,-9997055.0,-7.04,-4415801.0,-3.11,-5581254.0,-3.93,1902930.0,1.34,8094125.0,5.7
2025-10-21,10.03,3.3,467420.0,0.25,-1371359.0,-0.72,1838779.0,0.96,-4479473.0,-2.35,4012054.0,2.11
2025-10-22,10.27,2.39,18419257.0,7.16,11843845.0,4.6,6575412.0,2.56,-5297392.0,-2.06,-13121864.0,-5.1
2025-10-23,11.3,10.03,36486061.0,32.86,49702010.0,44.76,-13215949.0,-11.9,-17526322.0,-15.78,-18959738.0,-17.07
2025-10-24,10.35,-8.41,2291360.0,0.47,-17576620.0,-3.64,19867980.0,4.11,40544705.0,8.39,-42836065.0,-8.86
2025-10-27,10.05,-2.9,-4213614.0,-1.75,2673443.0,1.11,-6887057.0,-2.86,-4852666.0,-2.02,9066281.0,3.76
2025-10-28,11.06,10.05,57369993.0,14.87,54164143.0,14.04,3205850.0,0.83,-18373704.0,-4.76,-38996289.0,-10.11
2025-10-29,11.17,0.99,-7638263.0,-1.5,-5857384.0,-1.15,-1780879.0,-0.35,-14365699.0,-2.83,22003963.0,4.33
