日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-11-20,11.85,0.42,139516864.0,7.16,146550784.0,7.52,-7033920.0,-0.36,-140751984.0,-7.22,1235120.0,0.06
2025-11-21,11.69,-1.35,-126847888.0,-7.37,-57451856.0,-3.34,-69396032.0,-4.03,3172016.0,0.18,123675856.0,7.18
2025-11-24,11.6,-0.77,90381443.0,6.94,134848723.0,10.35,-44467280.0,-3.41,-34906240.0,-2.68,-55475200.0,-4.26
2025-11-25,11.8,1.72,159077834.0,13.21,152144618.0,12.64,6933216.0,0.58,-135495992.0,-11.25,-23581839.0,-1.96
2025-11-26,11.69,-0.93,-69667724.0,-7.23,-101402949.0,-10.53,31735225.0,3.3,35785270.0,3.72,33882453.0,3.52
2025-11-27,11.71,0.17,37532800.0,3.19,60698112.0,5.15,-23165312.0,-1.97,-3568675.0,-0.3,-33964125.0,-2.88
2025-11-28,11.61,-0.85,30633310.0,2.98,29349169.0,2.86,1284141.0,0.12,1112229.0,0.11,-31745532.0,-3.09
2025-12-01,11.69,0.69,-19745312.0,-1.64,-34420624.0,-2.86,14675312.0,1.22,-18026176.0,-1.5,37771469.0,3.13
2025-12-02,11.64,-0.43,-126894559.0,-14.18,-161243551.0,-18.02,34348992.0,3.84,66445453.0,7.43,60449115.0,6.76
2025-12-03,11.55,-0.77,-112219929.0,-10.21,-144544745.0,-13.15,32324816.0,2.94,53180672.0,4.84,59039247.0,5.37
2025-12-04,11.49,-0.52,30190832.0,2.96,-21717713.0,-2.13,51908545.0,5.09,56528058.0,5.55,-86718886.0,-8.51
2025-12-05,11.53,0.35,-83695948.0,-8.19,-55530444.0,-5.43,-28165504.0,-2.76,50881599.0,4.98,32814353.0,3.21
2025-12-08,11.52,-0.09,-40985228.0,-4.15,-81410722.0,-8.24,40425494.0,4.09,18249640.0,1.85,22735591.0,2.3
2025-12-09,11.43,-0.78,-117205435.0,-13.91,-110053896.0,-13.06,-7151539.0,-0.85,105180878.0,12.48,12024566.0,1.43
2025-12-10,11.33,-0.87,-171636485.0,-14.5,-167728149.0,-14.17,-3908336.0,-0.33,105768720.0,8.93,65867749.0,5.56
2025-12-11,11.37,0.35,10072281.0,0.96,-31770695.0,-3.03,41842976.0,3.99,-66372222.0,-6.32,56299944.0,5.36
2025-12-12,11.35,-0.18,205716512.0,15.15,27769888.0,2.05,177946624.0,13.11,-171352928.0,-12.62,-34363584.0,-2.53
2025-12-15,11.51,1.41,104025110.0,9.63,206727780.0,19.13,-102702670.0,-9.5,-94645428.0,-8.76,-9379677.0,-0.87
2025-12-16,11.48,-0.26,20490962.0,2.76,63700221.0,8.57,-43209259.0,-5.81,-35282254.0,-4.75,14791291.0,1.99
2025-12-17,11.53,0.44,104199085.0,12.91,138343468.0,17.14,-34144383.0,-4.23,-77532738.0,-9.61,-26666349.0,-3.3
2025-12-18,11.64,0.95,27113731.0,2.96,-14323690.0,-1.56,41437421.0,4.52,-35077690.0,-3.83,7963958.0,0.87
2025-12-19,11.62,-0.17,38175692.0,5.06,37920922.0,5.02,254770.0,0.03,7311923.0,0.97,-45487615.0,-6.02
2025-12-22,11.52,-0.86,44356783.0,5.17,14850963.0,1.73,29505820.0,3.44,-3991996.0,-0.47,-40364787.0,-4.71
2025-12-23,11.56,0.35,87236705.0,11.33,40076209.0,5.2,47160496.0,6.12,-13444595.0,-1.75,-73792106.0,-9.58
2025-12-24,11.54,-0.17,-51495127.0,-8.84,-64167409.0,-11.02,12672282.0,2.18,47199430.0,8.1,4295697.0,0.74
2025-12-25,11.56,0.17,51473516.0,8.12,67393421.0,10.63,-15919905.0,-2.51,-19359591.0,-3.05,-32113924.0,-5.07
2025-12-26,11.54,-0.17,29276465.0,5.81,3126728.0,0.62,26149737.0,5.19,10833939.0,2.15,-40110403.0,-7.96
2025-12-29,11.56,0.17,3091305.0,0.41,-47306041.0,-6.32,50397346.0,6.73,35170289.0,4.7,-38261592.0,-5.11
2025-12-30,11.48,-0.69,-94813906.0,-14.16,-103415267.0,-15.45,8601361.0,1.28,57434200.0,8.58,37379706.0,5.58
2025-12-31,11.41,-0.61,-34011313.0,-5.04,-37341019.0,-5.53,3329706.0,0.49,24465486.0,3.62,9545827.0,1.41
2026-01-05,11.5,0.79,160490585.0,15.99,135594921.0,13.51,24895664.0,2.48,-122647172.0,-12.22,-37843421.0,-3.77
2026-01-06,11.67,1.48,208587232.0,13.79,261241584.0,17.27,-52654352.0,-3.48,-143145349.0,-9.46,-65441887.0,-4.33
2026-01-07,11.64,-0.26,27892144.0,2.47,37622864.0,3.33,-9730720.0,-0.86,-39537561.0,-3.5,11645414.0,1.03
2026-01-08,11.51,-1.12,-25327660.0,-2.0,61837696.0,4.87,-87165356.0,-6.87,36566032.0,2.88,-11238380.0,-0.89
2026-01-09,11.46,-0.43,-83312632.0,-7.39,-37410912.0,-3.32,-45901720.0,-4.07,73436069.0,6.51,9876562.0,0.88
2026-01-12,11.48,0.17,-25008838.0,-2.55,-55653241.0,-5.68,30644403.0,3.13,46090027.0,4.7,-21081187.0,-2.15
2026-01-13,11.47,-0.09,139394105.0,11.43,99587097.0,8.16,39807008.0,3.26,-29191888.0,-2.39,-110202196.0,-9.03
2026-01-14,11.36,-0.96,-153639649.0,-10.56,-150561201.0,-10.35,-3078448.0,-0.21,85817568.0,5.9,67822080.0,4.66
2026-01-15,11.31,-0.44,-12124765.0,-1.21,13187828.0,1.32,-25312593.0,-2.52,34841776.0,3.48,-22717002.0,-2.27
2026-01-16,11.19,-1.06,-139107460.0,-11.06,-194400786.0,-15.46,55293326.0,4.4,43207056.0,3.44,95900395.0,7.62
2026-01-19,11.12,-0.63,3764896.0,0.42,-42415731.0,-4.73,46180627.0,5.15,17759654.0,1.98,-21524550.0,-2.4
2026-01-20,11.16,0.36,4880127.0,0.57,-30320944.0,-3.52,35201071.0,4.09,5169527.0,0.6,-10049654.0,-1.17
2026-01-21,11.07,-0.81,12003066.0,1.2,12606692.0,1.26,-603626.0,-0.06,-30638800.0,-3.06,18635738.0,1.86
2026-01-22,11.07,0.0,11266421.0,1.29,32634660.0,3.73,-21368239.0,-2.44,-40959434.0,-4.69,29693012.0,3.4
2026-01-23,10.99,-0.72,-161157696.0,-13.16,-98319088.0,-8.03,-62838608.0,-5.13,31023920.0,2.53,130133799.0,10.62
2026-01-26,10.96,-0.27,4592717.0,0.38,-62394899.0,-5.14,66987616.0,5.51,-31278080.0,-2.57,26685363.0,2.2
2026-01-27,10.94,-0.18,-3214351.0,-0.33,-6238607.0,-0.64,3024256.0,0.31,-14804320.0,-1.51,18018678.0,1.84
2026-01-28,10.84,-0.91,-189130016.0,-12.05,-208551648.0,-13.28,19421632.0,1.24,38028928.0,2.42,151101071.0,9.62
2026-01-29,10.96,1.11,-112702320.0,-5.63,-116689536.0,-5.83,3987216.0,0.2,64448336.0,3.22,48253984.0,2.41
2026-01-30,10.83,-1.19,-44319052.0,-3.72,-67334812.0,-5.65,23015760.0,1.93,11811696.0,0.99,32507373.0,2.73
2026-02-02,10.86,0.28,25611264.0,1.91,26018784.0,1.95,-407520.0,-0.03,11897744.0,0.89,-37508994.0,-2.8
2026-02-03,10.84,-0.18,2040254.0,0.23,19517335.0,2.24,-17477081.0,-2.0,-30459660.0,-3.49,28419404.0,3.26
2026-02-04,10.97,1.2,57081558.0,7.51,49811726.0,6.55,7269832.0,0.96,-45675695.0,-6.01,-11405863.0,-1.5
2026-02-05,11.09,1.09,152282080.0,11.7,171164704.0,13.16,-18882624.0,-1.45,-90640242.0,-6.97,-61641842.0,-4.74
2026-02-06,11.05,-0.36,-2213553.0,-0.28,-2001138.0,-0.25,-212415.0,-0.03,9927710.0,1.24,-7714158.0,-0.96
2026-02-09,11.07,0.18,-9641257.0,-1.41,-38550870.0,-5.63,28909613.0,4.22,1422968.0,0.21,8218289.0,1.2
2026-02-10,11.06,-0.09,-30256166.0,-4.56,-90067297.0,-13.56,59811131.0,9.01,22158074.0,3.34,8098092.0,1.22
2026-02-11,11.07,0.09,-41193887.0,-8.64,-23666923.0,-4.96,-17526964.0,-3.68,14340404.0,3.01,26853482.0,5.63
2026-02-12,10.96,-0.99,-54587470.0,-7.29,-35811301.0,-4.79,-18776169.0,-2.51,15260708.0,2.04,39326762.0,5.26
2026-02-13,10.91,-0.46,-16540628.0,-2.72,-53496678.0,-8.81,36956050.0,6.08,-7667371.0,-1.26,24207999.0,3.98
2026-02-24,10.91,0.0,33780912.0,5.14,88578208.0,13.47,-54797296.0,-8.33,-23948612.0,-3.64,-9832300.0,-1.5
2026-02-25,10.86,-0.46,-204951840.0,-17.72,-223050176.0,-19.28,18098336.0,1.56,99667064.0,8.62,105284780.0,9.1
2026-02-26,10.87,0.09,1486175.0,0.19,85490122.0,11.06,-84003947.0,-10.87,-1223808.0,-0.16,-262367.0,-0.03
2026-02-27,10.9,0.28,-26381103.0,-3.96,-6248995.0,-0.94,-20132108.0,-3.02,20391813.0,3.06,5989290.0,0.9
2026-03-02,10.85,-0.46,-22753098.0,-2.5,-67022578.0,-7.38,44269480.0,4.87,18050325.0,1.99,4702773.0,0.52
2026-03-03,10.88,0.28,-16053513.0,-1.43,54825697.0,4.9,-70879210.0,-6.33,-4207392.0,-0.38,20260913.0,1.81
2026-03-04,10.71,-1.56,-78604772.0,-6.73,-9035988.0,-0.77,-69568784.0,-5.96,18618160.0,1.59,59986619.0,5.14
2026-03-05,10.81,0.93,27981458.0,3.64,55225980.0,7.19,-27244522.0,-3.54,-15706572.0,-2.04,-12274886.0,-1.6
2026-03-06,10.82,0.09,-9984738.0,-1.94,-16047368.0,-3.12,6062630.0,1.18,-19742394.0,-3.84,29727131.0,5.78
2026-03-09,10.76,-0.55,22224560.0,2.47,-32073500.0,-3.56,54298060.0,6.03,27457962.0,3.05,-49682522.0,-5.52
2026-03-10,10.81,0.46,58084741.0,6.83,14382477.0,1.69,43702264.0,5.14,41172997.0,4.84,-99257745.0,-11.67
2026-03-11,10.89,0.74,21459269.0,2.75,46561085.0,5.96,-25101816.0,-3.21,-54643797.0,-7.0,33184528.0,4.25
