fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
002351.SZ,20251031,20250930,2056433107.180000,0,330644545.130000,0,0,0
002351.SZ,20250829,20250630,1352674256.250000,0,222901542.340000,0,0,0
002351.SZ,20250425,20250331,658439949.790000,0,115878045.120000,0,0,0
002351.SZ,20250329,20241231,2943318533.060000,0,496660223.190000,0,0,0
002351.SZ,20251031,20240930,2145728876.560000,0,377926636.060000,0,0,0
002351.SZ,20250829,20240630,1379603318.450000,0,245180062.600000,0,0,0
002351.SZ,20250425,20240331,679056643.530000,0,123458884.080000,0,0,0
002351.SZ,20250329,20231231,2693635815.140000,0,459418499.960000,0,0,0
002351.SZ,20241025,20230930,1862211314.590000,0,308459488.910000,0,0,0
002351.SZ,20240822,20230630,1188754292.010000,0,193866426.840000,0,0,0
002351.SZ,20240426,20230331,542904191.620000,0,83215851.660000,0,0,0
002351.SZ,20240426,20221231,2214399101.410000,0,266839595.740000,0,0,0
002351.SZ,20231026,20220930,1531964194.050000,0,187736442.550000,0,0,0
002351.SZ,20230823,20220630,995410627.060000,0,115928117.050000,0,0,0
002351.SZ,20230425,20220331,478345897.290000,0,59485931.710000,0,0,0
002351.SZ,20230329,20211231,2303667858.710000,0,327380088.120000,0,0,0
002351.SZ,20221026,20210930,1666474884.050000,0,264242724.730000,0,0,0
002351.SZ,20220817,20210630,1128311817.080000,0,214016260.020000,0,0,0
002351.SZ,20220428,20210331,525878927.700000,0,80816449.240000,0,0,0
002351.SZ,20220428,20201231,1934181462.090000,0,291136105.230000,0,0,0
002351.SZ,20211029,20200930,1269581082.180000,0,196495892.210000,0,0,0
002351.SZ,20210818,20200630,749058669.760000,0,116014511.310000,0,0,0
002351.SZ,20210428,20200331,307088630.710000,0,50996929.440000,0,0,0
002351.SZ,20210428,20191231,1243145579.530000,0,122014513.370000,0,0,0
002351.SZ,20201030,20190930,788077095.510000,0,78849266.620000,0,0,0
002351.SZ,20200819,20190630,512528717.370000,0,59132037.270000,0,0,0
002351.SZ,20200429,20190331,222642180.210000,0,27839790.270000,0,0,0
002351.SZ,20200429,20181231,880866312.970000,0,45970912.140000,0,0,0
002351.SZ,20191023,20180930,605586683.890000,0,51581226.610000,0,0,0
002351.SZ,20190809,20180630,431033080.440000,0,40203835.540000,0,0,0
002351.SZ,20190427,20180331,195860961.210000,0,21309649.800000,0,0,0
002351.SZ,20190427,20171231,900790383.600000,0,114739352.390000,0,0,0
002351.SZ,20181026,20170930,636985148.310000,0,103218258.600000,0,0,0
002351.SZ,20180823,20170630,425492657.020000,0,72377294.830000,0,0,0
002351.SZ,20180426,20170331,209341084.740000,0,38016448.020000,0,0,0
002351.SZ,20180426,20161231,726172574.600000,0,82186716.280000,0,0,0
002351.SZ,20171025,20160930,476685339.040000,0,58306050.720000,0,0,0
002351.SZ,20170822,20160630,314914038.250000,0,45546585.640000,0,0,0
002351.SZ,20170427,20160331,152627733.580000,0,25746650.670000,0,0,0
002351.SZ,20170427,20151231,661471341.910000,0,97354628.990000,0,0,0
002351.SZ,20161025,20150930,462366919.390000,0,75874563.240000,0,0,0
002351.SZ,20160823,20150630,311158542.600000,0,52203903.480000,0,0,0
002351.SZ,20160426,20150331,147973791.180000,0,25426243.070000,0,0,0
002351.SZ,20160426,20141231,681418080.270000,0,91147370.770000,0,0,0
002351.SZ,20151028,20140930,507107565.640000,0,70895031.390000,0,0,0
002351.SZ,20150825,20140630,336157711.640000,0,48037705.580000,0,0,0
002351.SZ,20150422,20140331,175069050.560000,0,22491097.900000,0,0,0
002351.SZ,20150422,20131231,734310075.220000,0,84781289.940000,0,0,0
002351.SZ,20141028,20130930,554748344.820000,0,70200682.740000,0,0,0
002351.SZ,20140827,20130630,367882685.590000,0,49573856.850000,0,0,0
002351.SZ,20140426,20130331,194546737.390000,0,27849473.780000,0,0,0
002351.SZ,20140329,20121231,792961679.360000,0,97388521.540000,0,0,0
002351.SZ,20131029,20120930,582879683.050000,0,73789167.360000,0,0,0
002351.SZ,20130817,20120630,379756576.330000,0,47749119.540000,0,0,0
002351.SZ,20130423,20120331,182621575.470000,0,21514551.280000,0,0,0
002351.SZ,20130330,20111231,830587303.350000,0,97839881.970000,0,0,0
002351.SZ,20121029,20110930,615727455.630000,0,78596239.610000,0,0,0
002351.SZ,20120829,20110630,413385610.950000,0,53825645.140000,0,0,0
002351.SZ,20120425,20110331,204474659.530000,0,28159838.770000,0,0,0
002351.SZ,20120321,20101231,718884289.520000,0,96792495.820000,0,0,0
002351.SZ,20111027,20100930,522678854.670000,0,78196102.160000,0,0,0
002351.SZ,20110817,20100630,346931103.780000,0,53620721.510000,0,0,0
002351.SZ,20110423,20100331,187319451.300000,0,28108018.500000,0,0,0
002351.SZ,20110326,20091231,680219353.490000,0,108510266.520000,0,0,0
002351.SZ,20101023,20090930,503289229.640000,0,81303838.740000,0,0,0
002351.SZ,20100803,20090630,337137658.630000,0,52440990.860000,0,0,0
002351.SZ,20100423,20090331,167797043.380000,0,24844503.380000,0,0,0
002351.SZ,20100326,20081231,678920427.710000,0,69586800.510000,0,0,0
002351.SZ,20100204,20080930,510668969.990000,0,47808923.880000,0,0,0
002351.SZ,20100115,20071231,606269455.550000,0,78465363.550000,0,0,0
002351.SZ,20100115,20061231,482014037.550000,0,39930430.590000,0,0,0
