fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
601398.SH,20251031,20250930,1549207000000.000000,-1978307000000.000000,190094000000.000000
601398.SH,20250830,20250630,786317000000.000000,-1177672000000.000000,536328000000.000000
601398.SH,20250430,20250331,942479000000.000000,-797534000000.000000,386082000000.000000
601398.SH,20250329,20241231,579194000000.000000,-1471468000000.000000,415683000000.000000
601398.SH,20251031,20240930,1077248000000.000000,-1129281000000.000000,339970000000.000000
601398.SH,20250830,20240630,26983000000.000000,-788118000000.000000,182804000000.000000
601398.SH,20250430,20240331,1367252000000.000000,-199921000000.000000,65894000000.000000
601398.SH,20250329,20231231,1417002000000.000000,-891852000000.000000,285444000000.000000
601398.SH,20241031,20230930,1909119000000.000000,-695857000000.000000,134063000000.000000
601398.SH,20240831,20230630,1297269000000.000000,-456821000000.000000,231872000000.000000
601398.SH,20240430,20230331,1105614000000.000000,-318788000000.000000,174073000000.000000
601398.SH,20240328,20221231,1404657000000.000000,-910621000000.000000,-64789000000.000000
601398.SH,20231028,20220930,1842551000000.000000,-678488000000.000000,-42813000000.000000
601398.SH,20230831,20220630,1410405000000.000000,-681130000000.000000,30198000000.000000
601398.SH,20230429,20220331,1207219000000.000000,-117119000000.000000,13364000000.000000
601398.SH,20230331,20211231,360882000000.000000,-674556000000.000000,-11553000000.000000
601398.SH,20221029,20210930,966450000000.000000,-430166000000.000000,-36569000000.000000
601398.SH,20220831,20210630,377546000000.000000,-216564000000.000000,40260000000.000000
601398.SH,20220430,20210331,612669000000.000000,-38230000000.000000,31433000000.000000
601398.SH,20220331,20201231,1557616000000.000000,-1135097000000.000000,-46949000000.000000
601398.SH,20211030,20200930,2020442000000.000000,-1006315000000.000000,-34988000000.000000
601398.SH,20210828,20200630,1873733000000.000000,-560389000000.000000,-96376000000.000000
601398.SH,20210430,20200331,1907890000000.000000,-310983000000.000000,-17460000000.000000
601398.SH,20210327,20191231,481240000000.000000,-662686000000.000000,112874000000.000000
601398.SH,20201031,20190930,1208221000000.000000,-477902000000.000000,168783000000.000000
601398.SH,20200831,20190630,907293000000.000000,-314067000000.000000,138375000000.000000
601398.SH,20200429,20190331,1044774000000.000000,-311311000000.000000,75528000000.000000
601398.SH,20200328,20181231,724133000000.000000,-731745000000.000000,-35924000000.000000
601398.SH,20191026,20180930,882902000000.000000,-517980000000.000000,-36473000000.000000
601398.SH,20190830,20180630,186532000000.000000,-228421000000.000000,33099000000.000000
601398.SH,20190430,20180331,62160000000.000000,-95594000000.000000,1054000000.000000
601398.SH,20190329,20171231,770864000000.000000,-489258000000.000000,81835000000.000000
601398.SH,20181031,20170930,716796000000.000000,-250073000000.000000,-35191000000.000000
601398.SH,20180831,20170630,346542000000.000000,-118910000000.000000,51344000000.000000
601398.SH,20180428,20170331,109306000000.000000,-160233000000.000000,12906000000.000000
601398.SH,20180328,20161231,239221000000.000000,-468932000000.000000,-50786000000.000000
601398.SH,20171031,20160930,283803000000.000000,-324764000000.000000,-59826000000.000000
601398.SH,20170831,20160630,297632000000.000000,-426900000000.000000,3701000000.000000
601398.SH,20170429,20160331,199614000000.000000,-198296000000.000000,882000000.000000
601398.SH,20170331,20151231,1131764000000.000000,-666961000000.000000,-36732000000.000000
601398.SH,20161029,20150930,752630000000.000000,-545144000000.000000,-97583000000.000000
601398.SH,20160831,20150630,1083849000000.000000,-379990000000.000000,14306000000.000000
601398.SH,20160429,20150331,518295000000.000000,-84617000000.000000,6260000000.000000
601398.SH,20160331,20141231,201457000000.000000,-146741000000.000000,-26344000000.000000
601398.SH,20151031,20140930,76689000000.000000,-132832000000.000000,-82834000000.000000
601398.SH,20150828,20140630,418091000000.000000,-106862000000.000000,-72704000000.000000
601398.SH,20150430,20140331,247991000000.000000,-34896000000.000000,-6417000000.000000
601398.SH,20150327,20131231,-1947000000.000000,-164161000000.000000,-65465000000.000000
601398.SH,20141030,20130930,69831000000.000000,-188712000000.000000,-72107000000.000000
601398.SH,20140829,20130630,142724000000.000000,-223329000000.000000,17170000000.000000
601398.SH,20140430,20130331,323021000000.000000,-138874000000.000000,11848000000.000000
601398.SH,20140328,20121231,533508000000.000000,-126670000000.000000,-49279000000.000000
601398.SH,20131031,20120930,883704000000.000000,-165756000000.000000,-44711000000.000000
601398.SH,20130830,20120630,821025000000.000000,-89709000000.000000,27735000000.000000
601398.SH,20130427,20120331,399732000000.000000,-56497000000.000000,6343000000.000000
601398.SH,20130328,20111231,348123000000.000000,-56733000000.000000,36005000000.000000
601398.SH,20121031,20110930,170681000000.000000,-6516000000.000000,-21248000000.000000
