fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
601969.SH,20260325,20251231,14592858460.000000,6843479780.000000,0,4580594710.000000,4294030970.000000
601969.SH,20251031,20250930,14316043190.000000,6573002920.000000,0,4617049260.000000,4096642710.000000
601969.SH,20250827,20250630,14709697410.000000,6920807360.000000,0,5160986470.000000,4308707890.000000
601969.SH,20250430,20250331,14096866110.000000,6275477270.000000,0,4589243260.000000,4019518190.000000
601969.SH,20260325,20241231,12788286510.000000,5180900730.000000,0,3600622540.000000,3546557950.000000
601969.SH,20241031,20240930,12755137330.000000,5296616690.000000,0,5410395530.000000,3979883060.000000
601969.SH,20240828,20240630,12369940180.000000,4944067950.000000,0,5008441620.000000,3799762790.000000
601969.SH,20240430,20240331,12221224980.000000,4767702390.000000,0,5000290500.000000,3675329720.000000
601969.SH,20250326,20231231,12212983340.000000,4767064270.000000,0,5073442110.000000,3630631870.000000
601969.SH,20231028,20230930,11533720410.000000,4868450000.000000,0,5606179800.000000,3525012250.000000
601969.SH,20230826,20230630,11309718890.000000,4812994300.000000,0,5360560410.000000,3362965270.000000
601969.SH,20230429,20230331,11219509670.000000,4809263910.000000,0,5727808250.000000,3623289070.000000
601969.SH,20240326,20221231,11945570670.000000,4571851530.000000,0,5928996250.000000,3349668420.000000
601969.SH,20221029,20220930,11845741780.000000,4412886040.000000,0,6541906900.000000,2964261820.000000
601969.SH,20220824,20220630,11763697760.000000,4529952210.000000,0,6505849390.000000,3140436590.000000
601969.SH,20220430,20220331,11320304540.000000,4495381770.000000,0,6048228990.000000,3031700010.000000
601969.SH,20230329,20211231,10898789200.000000,4295460370.000000,0,5474372990.000000,2860360270.000000
601969.SH,20211030,20210930,11109248820.000000,4362809400.000000,0,5477116300.000000,2833777930.000000
601969.SH,20210824,20210630,9654993250.000000,4106715290.000000,0,3939694670.000000,2688880510.000000
601969.SH,20210430,20210331,8992012680.000000,3706277630.000000,0,3727284520.000000,2520423170.000000
601969.SH,20220323,20201231,8518036720.000000,3457414680.000000,0,3416107380.000000,2495779690.000000
601969.SH,20201030,20200930,8549118520.000000,3455610730.000000,0,2908188760.000000,2322497190.000000
601969.SH,20200825,20200630,8514216730.000000,3364610090.000000,0,2749269770.000000,2168892980.000000
601969.SH,20200430,20200331,8521093030.000000,3379479850.000000,0,2724673950.000000,2149573800.000000
601969.SH,20210326,20191231,8634842420.000000,3540088560.000000,0,2778575150.000000,2331481360.000000
601969.SH,20191030,20190930,8633218350.000000,3538459820.000000,0,2840360900.000000,2574348110.000000
601969.SH,20190824,20190630,8646379000.000000,3709403430.000000,0,2708753450.000000,2715480770.000000
601969.SH,20190420,20190331,6618769942.440000,2445218554.050000,0,3228164734.210000,1753061642.130000
601969.SH,20200327,20181231,9896196560.000000,3417055390.000000,0,4079501940.000000,2361528360.000000
601969.SH,20181029,20180930,7297301574.140000,2926857603.500000,0,3969513163.830000,2234379383.070000
601969.SH,20180825,20180630,7769262961.350000,3068937233.610000,0,4525597683.120000,2629184672.910000
601969.SH,20180428,20180331,7789512828.600000,2945371463.530000,0,4494394469.310000,2488201573.700000
601969.SH,20190322,20171231,7765025571.100000,2812178907.960000,0,4464906013.190000,2363408889.500000
601969.SH,20171028,20170930,7844716963.290000,2884482073.470000,0,4343326273.110000,2498732621.290000
601969.SH,20170831,20170630,7773437045.340000,2816796674.210000,0,4259016000.080000,2278100530.630000
601969.SH,20170426,20170331,7498335427.400000,2523286691.870000,0,3689445934.950000,1905726382.730000
601969.SH,20180324,20161231,6381555053.180000,2352009614.850000,0,2477958093.830000,1930746374.500000
601969.SH,20161021,20160930,6370936235.470000,2212903010.170000,0,2788537514.600000,1815252139.010000
601969.SH,20160831,20160630,5631138657.010000,1474683372.370000,0,2022234943.090000,1273577260.830000
601969.SH,20160430,20160331,5622201883.600000,1374830843.870000,0,2153146359.040000,1171792147.570000
601969.SH,20170328,20151231,5779806480.360000,1461678037.010000,0,2371953541.930000,1254914030.580000
601969.SH,20151028,20150930,5737568403.200000,1445240805.810000,0,2932171192.980000,1241775107.230000
601969.SH,20150825,20150630,5501660997.440000,1176626205.410000,0,2739766196.450000,970606994.410000
601969.SH,20150428,20150331,6096655130.880000,1444778707.000000,0,3351547270.510000,1231835606.210000
601969.SH,20160329,20141231,6112480240.200000,1513234364.480000,0,3398580116.590000,1303513701.820000
601969.SH,20141208,20140930,4320138518.830000,1584959387.530000,0,1625908127.320000,1372631685.810000
601969.SH,20141114,20140630,4245144601.430000,1541266300.000000,0,1585429887.660000,1162132219.290000
601969.SH,20150310,20131231,4812993935.700000,1446627884.160000,0,2218829495.040000,1065532058.020000
601969.SH,20141114,20121231,4713833302.330000,1695384830.290000,0,2254073764.100000,937674322.180000
601969.SH,20141114,20111231,4709918061.530000,1362794673.760000,0,2872028000.280000,686627022.540000
601969.SH,20120424,20101231,4062339368.980000,1540093193.410000,0,2187732255.230000,856044976.230000
601969.SH,20120424,20091231,3385756951.060000,1367792370.730000,0,1583774551.730000,1041905309.140000
