fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002545.SZ,20251030,20250930,1452721513.420000,-82194934.450000,-404147634.950000
002545.SZ,20250829,20250630,935145312.230000,-478805537.560000,45866094.230000
002545.SZ,20250430,20250331,528041248.590000,-348185454.910000,-234277493.250000
002545.SZ,20250428,20241231,1147523054.350000,-690050595.360000,-296603742.460000
002545.SZ,20251030,20240930,1072928545.180000,32229611.300000,-699815562.890000
002545.SZ,20250829,20240630,802477769.650000,25211317.770000,-164206079.560000
002545.SZ,20250430,20240331,205357965.990000,190033808.350000,-91332036.120000
002545.SZ,20250428,20231231,1083148795.080000,-269221810.540000,-519424019.870000
002545.SZ,20241030,20230930,1391020965.310000,-404196818.880000,-979279173.080000
002545.SZ,20240829,20230630,627070285.280000,-175762590.170000,-880681226.000000
002545.SZ,20240427,20230331,58256460.610000,-10043077.420000,-262393366.440000
002545.SZ,20240419,20221231,323364537.500000,-343216823.140000,287626440.610000
002545.SZ,20231028,20220930,632954744.690000,-562456336.950000,-129592947.270000
002545.SZ,20230823,20220630,476115276.980000,-237460007.090000,55680625.100000
002545.SZ,20230429,20220331,79398810.700000,-51494805.170000,185590447.520000
002545.SZ,20230420,20211231,407592487.710000,285852779.840000,-290947677.250000
002545.SZ,20221028,20210930,28407971.360000,454100248.370000,-109016712.460000
002545.SZ,20220822,20210630,145155656.620000,394872131.070000,-329952991.080000
002545.SZ,20220428,20210331,-241245524.230000,511446910.990000,5046694.490000
002545.SZ,20220421,20201231,226517653.450000,30344739.600000,229461796.060000
002545.SZ,20211030,20200930,346153974.250000,-185377922.960000,216055631.910000
002545.SZ,20210812,20200630,83030659.710000,-309620256.050000,387209336.910000
002545.SZ,20210429,20200331,124414275.170000,-260725908.570000,373127860.070000
002545.SZ,20210429,20191231,412842932.170000,-355403247.190000,-66757278.210000
002545.SZ,20201028,20190930,129591808.220000,-8787655.280000,-97878556.300000
002545.SZ,20200827,20190630,275780073.330000,87984625.220000,71315904.390000
002545.SZ,20200429,20190331,15433981.320000,-20262679.140000,191337643.030000
002545.SZ,20200429,20181231,577086132.860000,-261635153.460000,-252541360.850000
002545.SZ,20191024,20180930,400754963.290000,-306153833.810000,-43554216.310000
002545.SZ,20190826,20180630,176603660.990000,-130269778.710000,-34981371.760000
002545.SZ,20190430,20180331,-76119980.140000,52275245.370000,70854382.790000
002545.SZ,20190425,20171231,239109257.970000,-211655931.720000,12713249.230000
002545.SZ,20181024,20170930,105086328.870000,-143275963.130000,-53028113.910000
002545.SZ,20180827,20170630,36280698.810000,-84679262.890000,115747239.470000
002545.SZ,20180425,20170331,-101100463.060000,46230358.060000,-50899275.220000
002545.SZ,20180425,20161231,424205204.800000,-575553435.220000,142648782.260000
002545.SZ,20171023,20160930,256239348.110000,79469282.410000,156227349.200000
002545.SZ,20170823,20160630,295699746.600000,31319740.570000,-370225504.780000
002545.SZ,20170428,20160331,183312377.330000,-9193797.020000,-251377398.030000
002545.SZ,20170428,20151231,239894088.830000,-70915208.310000,-178461509.790000
002545.SZ,20161027,20150930,155372079.270000,-86011657.930000,80011227.190000
002545.SZ,20160802,20150630,-9721.020000,-95214891.360000,-8690954.110000
002545.SZ,20160420,20150331,-67556045.350000,-113031770.850000,147433636.390000
002545.SZ,20160322,20141231,227287502.950000,-276747683.370000,-141561092.420000
002545.SZ,20151024,20140930,144516111.140000,150974978.340000,-171260828.800000
002545.SZ,20150803,20140630,-82852318.080000,-2647319.060000,268878985.630000
002545.SZ,20150425,20140331,-98309856.790000,-19583987.320000,77054736.420000
002545.SZ,20150417,20131231,192607278.160000,-1029120899.820000,449447594.470000
002545.SZ,20141021,20130930,35974822.630000,-1201786391.930000,625150627.850000
002545.SZ,20140821,20130630,78490614.690000,-1018440466.180000,475903161.170000
002545.SZ,20140426,20130331,3801776.190000,-62406636.190000,-2440250.000000
002545.SZ,20140418,20121231,-60671461.690000,-103216525.060000,41380266.130000
002545.SZ,20131025,20120930,37396683.950000,-104367026.670000,-6224992.120000
002545.SZ,20130815,20120630,-46760002.550000,-29763930.170000,22707932.790000
002545.SZ,20130426,20120331,143072278.930000,-45734380.640000,49002138.900000
002545.SZ,20130418,20111231,-346671708.300000,-192475575.420000,1389725816.410000
002545.SZ,20121026,20110930,-330799837.890000,-145076694.230000,1340668642.200000
002545.SZ,20120816,20110630,-355830044.720000,-56840387.330000,1340381847.200000
002545.SZ,20120426,20110331,-245544788.320000,-12713869.820000,1340477679.610000
002545.SZ,20120413,20101231,131604019.280000,-188680774.490000,46600497.430000
002545.SZ,20111022,20100930,11150436.740000,-79287272.830000,74089039.800000
002545.SZ,20110722,20100630,-34870057.110000,-58477106.880000,-1912901.710000
002545.SZ,20110428,20100331,-71514875.780000,-38796960.560000,-3144814.500000
002545.SZ,20110415,20091231,104369591.710000,-41959584.970000,38545629.370000
002545.SZ,20110210,20090930,4623831.160000,-25595627.630000,51968737.550000
002545.SZ,20110117,20081231,49353120.530000,-52417734.310000,17296532.100000
002545.SZ,20110117,20071231,-4331913.970000,-9440004.850000,-21128512.380000
