fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
000661.SZ,20251031,20250930,31457811401.070000,5520215441.210000,0,15405268715.270000,4005938621.650000
000661.SZ,20250830,20250630,31794851069.200000,5962342691.870000,0,15881759063.840000,4531547528.000000
000661.SZ,20250421,20250331,31696330314.920000,5133838859.720000,0,15973804458.050000,3695397234.590000
000661.SZ,20251031,20241231,31051118040.400000,4948673308.810000,0,16270250650.560000,3418900202.380000
000661.SZ,20241026,20240930,31072779833.460000,5057267136.850000,0,16837490904.400000,3439856006.020000
000661.SZ,20240816,20240630,29983680050.370000,5063132701.140000,0,16581095702.060000,3438431895.780000
000661.SZ,20240420,20240331,30650793582.360000,4823110414.110000,0,17706669361.330000,3859180685.720000
000661.SZ,20250421,20231231,30743650924.810000,5711393077.950000,0,18164855480.070000,4799096648.100000
000661.SZ,20231024,20230930,29657587175.770000,5431160009.080000,0,17622755509.780000,3931254810.920000
000661.SZ,20230824,20230630,28079801099.180000,5450768482.510000,0,16399558103.720000,3942352003.610000
000661.SZ,20230418,20230331,26774571937.990000,5080624430.210000,0,15640099390.110000,3682941919.390000
000661.SZ,20240320,20221231,26027590092.620000,5222243229.460000,0,15298788639.110000,3810612336.560000
000661.SZ,20221028,20220930,25484101826.420000,5324828996.950000,0,15485545643.290000,3694281298.930000
000661.SZ,20220826,20220630,24082514134.150000,5376330835.320000,0,14881427185.080000,3752331404.350000
000661.SZ,20220428,20220331,23368897486.240000,5357999114.490000,0,14237774496.660000,3792544878.670000
000661.SZ,20230330,20211231,22515769520.780000,5278950777.650000,0,14040811674.980000,3775332324.280000
000661.SZ,20211030,20210930,21902612183.740000,5016044058.070000,0,13998310789.100000,3297665340.430000
000661.SZ,20210814,20210630,20148021559.540000,4761662391.290000,0,13432838496.630000,3099438004.470000
000661.SZ,20210424,20210331,17772427617.600000,4555403177.650000,0,11787631638.950000,2870145597.040000
000661.SZ,20220317,20201231,16844623212.070000,4521388510.160000,0,11082322483.020000,3467519050.900000
000661.SZ,20201027,20200930,16024935345.330000,4766815839.160000,0,11063550863.570000,3891935780.200000
000661.SZ,20200820,20200630,14722823785.020000,4513446750.900000,0,10029123164.290000,3625591781.420000
000661.SZ,20200422,20200331,13920602833.910000,4540187199.140000,0,9801132742.210000,3706564174.920000
000661.SZ,20210312,20191231,12721347980.060000,3913773135.210000,0,8740527588.370000,3216912640.730000
000661.SZ,20191024,20190930,11054313499.290000,3411805121.480000,0,7336914463.940000,3221653508.290000
000661.SZ,20190813,20190630,9957959848.770000,3082326386.980000,0,6341619875.420000,2908673052.250000
000661.SZ,20190419,20190331,9827577739.500000,3460882001.890000,0,6822783484.180000,3288131266.940000
000661.SZ,20200327,20181231,9432204111.380000,3090001082.440000,0,6546191801.120000,2913743713.810000
000661.SZ,20181020,20180930,8679547073.470000,2580847810.090000,0,6060361416.160000,2407486860.380000
000661.SZ,20180822,20180630,8063653295.060000,2404534553.970000,0,5787194578.120000,2235621616.750000
000661.SZ,20180425,20180331,7802211041.720000,2412623534.280000,0,5642273611.000000,2235565508.090000
000661.SZ,20190307,20171231,7351435296.770000,2151099827.310000,0,5257266632.740000,1973682797.300000
000661.SZ,20171025,20170930,7418413664.450000,2407120676.030000,0,5468597421.530000,2224978737.320000
000661.SZ,20170818,20170630,6705592662.940000,2004784695.020000,0,4852700147.140000,1832540575.520000
000661.SZ,20170425,20170331,6649119579.990000,1982447259.020000,0,4827319954.240000,1820907758.930000
000661.SZ,20180209,20161231,6203521430.430000,1753071672.880000,0,4415049334.110000,1586157756.180000
000661.SZ,20161021,20160930,5922985655.780000,1458348130.560000,0,4244264434.920000,1292185080.720000
000661.SZ,20160811,20160630,5708329404.860000,1458689678.670000,0,4034005577.170000,1304833562.210000
000661.SZ,20160420,20160331,3950458997.160000,1478165880.410000,0,2344009190.200000,1299834884.160000
000661.SZ,20170228,20151231,3815501933.490000,1380322611.010000,0,2261668163.940000,1200745863.640000
000661.SZ,20151028,20150930,3597637711.620000,1268153883.620000,0,2162320671.680000,1086549366.560000
000661.SZ,20150820,20150630,3292539027.310000,1130804381.890000,0,1929676897.370000,971924479.850000
000661.SZ,20150422,20150331,3118189450.410000,1033299799.180000,0,1820560946.570000,898514301.010000
000661.SZ,20160311,20141231,3148423175.630000,1103812321.360000,0,1876875899.350000,970902245.820000
000661.SZ,20141023,20140930,3108563479.770000,1244459913.400000,0,1962574863.500000,1131060067.460000
000661.SZ,20140822,20140630,2966514643.380000,1216982670.150000,0,1829606211.010000,1099832706.010000
000661.SZ,20140419,20140331,2890268354.220000,1159919294.510000,0,1762682145.210000,1051317884.380000
000661.SZ,20150313,20131231,2809485685.430000,1106546852.650000,0,1676229113.130000,1003188008.320000
000661.SZ,20131022,20130930,2729235983.870000,1119210223.800000,0,1689291549.540000,1033788025.480000
000661.SZ,20130820,20130630,2447812616.550000,1016494596.870000,0,1433244122.140000,934137904.260000
000661.SZ,20130423,20130331,2399094709.580000,1041062308.480000,0,1411786330.830000,975028136.690000
000661.SZ,20140328,20121231,2314377949.940000,1010518549.560000,0,1342439233.890000,946171604.260000
000661.SZ,20121020,20120930,2222317672.680000,1073445660.310000,0,1374717004.110000,1009050367.450000
000661.SZ,20120810,20120630,2119192054.610000,1038298660.990000,0,1291055451.510000,977074385.580000
000661.SZ,20120425,20120331,2143587569.350000,1155302354.830000,0,1332248929.570000,1098331573.740000
000661.SZ,20130418,20111231,2058529370.670000,1112328213.000000,0,1250500179.090000,1057427991.660000
000661.SZ,20111026,20110930,2035150232.460000,1149035446.410000,0,1279827918.240000,1085036790.160000
000661.SZ,20110728,20110630,1846752617.340000,999563774.790000,0,1121400331.570000,922744657.810000
000661.SZ,20110420,20110331,1983534268.580000,1167124246.840000,0,1333824109.030000,1098625426.270000
000661.SZ,20120321,20101231,1761622206.540000,957699500.110000,0,1139270976.990000,878567901.390000
000661.SZ,20101020,20100930,1622467876.480000,841688261.520000,0,1023703306.450000,789024552.470000
