fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
600875.SH,20251031,20250930,54743883164.470000,0,3101781728.660000,0,0,0
600875.SH,20250829,20250630,37623627306.410000,0,2060843811.020000,0,0,0
600875.SH,20250430,20250331,16290954843.580000,0,1228030044.010000,0,0,0
600875.SH,20250430,20241231,68592735741.350000,0,3287525856.310000,0,0,0
600875.SH,20251031,20240930,47025411715.470000,0,2766448503.950000,0,0,0
600875.SH,20250829,20240630,32928476029.890000,0,1808543831.830000,0,0,0
600875.SH,20250430,20240331,14801351538.990000,0,985392571.410000,0,0,0
600875.SH,20250430,20231231,59566526583.780000,0,3643709330.760000,0,0,0
600875.SH,20241031,20230930,43920508007.720000,0,3041465619.140000,0,0,0
600875.SH,20240830,20230630,29345972781.790000,0,2096213403.890000,0,0,0
600875.SH,20240430,20230331,14432750706.820000,0,1081476346.180000,0,0,0
600875.SH,20240329,20221231,54189702709.810000,0,3013739059.840000,0,0,0
600875.SH,20231031,20220930,39660516918.760000,0,2609014689.830000,0,0,0
600875.SH,20230831,20220630,27323411535.870000,0,1865256257.750000,0,0,0
600875.SH,20230429,20220331,13818651935.100000,0,975346762.750000,0,0,0
600875.SH,20230401,20211231,46755975362.020000,0,2429223530.260000,0,0,0
600875.SH,20221029,20210930,32635134874.820000,0,1982836083.060000,0,0,0
600875.SH,20220831,20210630,22213283866.860000,0,1439743264.320000,0,0,0
600875.SH,20220430,20210331,10621877187.260000,0,684667261.020000,0,0,0
600875.SH,20220331,20201231,36238925547.370000,0,1916264130.790000,0,0,0
600875.SH,20211030,20200930,26295919094.090000,0,1427468201.240000,0,0,0
600875.SH,20210828,20200630,17220493375.800000,0,1019534473.570000,0,0,0
600875.SH,20210430,20200331,7916428774.860000,0,423000570.090000,0,0,0
600875.SH,20210331,20191231,31777585757.680000,0,1380871710.330000,0,0,0
600875.SH,20201030,20190930,22184022610.050000,0,1110363154.110000,0,0,0
600875.SH,20200828,20190630,15309891387.850000,0,786119984.700000,0,0,0
600875.SH,20200429,20190331,7585169520.380000,0,368194827.520000,0,0,0
600875.SH,20200328,20181231,29729655571.730000,0,1158265690.850000,0,0,0
600875.SH,20191030,20180930,21485308257.440000,0,937236316.770000,0,0,0
600875.SH,20190831,20180630,16134045440.790000,0,554320387.330000,0,0,0
600875.SH,20190430,20180331,6979996571.530000,0,259287178.160000,0,0,0
600875.SH,20190330,20171231,32772718802.400000,0,1079541437.800000,0,0,0
600875.SH,20181031,20170930,21485248238.870000,0,660114833.570000,0,0,0
600875.SH,20180831,20170630,15063913342.050000,0,536567783.180000,0,0,0
600875.SH,20180428,20170331,5585978309.660000,0,176183878.110000,0,0,0
600875.SH,20180330,20161231,33285723808.340000,0,-1759438400.270000,0,0,0
600875.SH,20171028,20160930,23639712787.110000,0,-1049349296.380000,0,0,0
600875.SH,20170831,20160630,18219614274.860000,0,-337209703.560000,0,0,0
600875.SH,20170429,20160331,9287202976.700000,0,16358397.680000,0,0,0
600875.SH,20170325,20151231,36017943700.320000,0,459497611.500000,0,0,0
600875.SH,20161022,20150930,26000799898.450000,0,264432343.520000,0,0,0
600875.SH,20160827,20150630,18204942335.150000,0,187537096.440000,0,0,0
600875.SH,20160430,20150331,7685559058.000000,0,115223409.430000,0,0,0
600875.SH,20160330,20141231,39036164758.110000,0,1320616720.780000,0,0,0
600875.SH,20151030,20140930,28473542683.950000,0,1128558460.550000,0,0,0
