fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
000717.SZ,20251030,20250930,20008516551.040000,12166409134.250000,0,4233803321.160000,9708626448.860000
000717.SZ,20250827,20250630,19577745548.790000,11663148017.140000,0,3536616139.960000,9374497528.250000
000717.SZ,20250424,20250331,20110067503.590000,12333237109.180000,0,3540831585.030000,9866967243.930000
000717.SZ,20251030,20241231,20330559870.980000,12422111039.360000,0,3738057414.870000,10417375690.560000
000717.SZ,20241031,20240930,19965945227.410000,11703364569.770000,0,3663569385.600000,8965685887.230000
000717.SZ,20240830,20240630,20121578999.130000,11457243028.640000,0,4127006973.270000,8843990969.370000
000717.SZ,20240429,20240331,20869688276.510000,12065546152.990000,0,4274696658.580000,9423015148.160000
000717.SZ,20250424,20231231,21302536089.690000,12189343577.640000,0,4640509694.010000,9698452607.580000
000717.SZ,20231030,20230930,21247919663.480000,12269118287.920000,0,4423040689.750000,10168809824.960000
000717.SZ,20230823,20230630,21423625635.340000,12337018152.350000,0,5082960013.540000,10210984171.130000
000717.SZ,20230429,20230331,21541721166.990000,12377541952.760000,0,5833062134.400000,10619098052.610000
000717.SZ,20240429,20221231,20214964481.730000,10989606929.710000,0,4633145771.700000,8907319175.340000
000717.SZ,20221027,20220930,21356442402.510000,11541172999.000000,0,5254980646.800000,9307046836.110000
000717.SZ,20220831,20220630,23544163615.550000,12844063866.960000,0,7400568015.920000,11163822528.390000
000717.SZ,20220429,20220331,21909505997.320000,10834355720.570000,0,6348651978.500000,9253547590.260000
000717.SZ,20230428,20211231,20595284690.710000,9641021464.230000,0,5675881847.750000,8060876745.090000
000717.SZ,20211029,20210930,22418570750.100000,11723095690.110000,0,8607390187.180000,10479413684.550000
000717.SZ,20210826,20210630,21903423980.520000,11611097109.550000,0,8294654049.830000,10340222461.970000
000717.SZ,20210429,20210331,21713441735.920000,11783583510.060000,0,8237432823.660000,10493418631.700000
