fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
000517.SZ,20251028,20250930,903505171.480000,-394297935.800000,-1177635697.190000
000517.SZ,20250830,20250630,560583084.050000,-87545092.220000,-1097448056.640000
000517.SZ,20250429,20250331,354496061.400000,6741907.620000,-569287120.770000
000517.SZ,20250429,20241231,1995294335.310000,-47394003.850000,-3862971356.520000
000517.SZ,20251028,20240930,1308893160.770000,4353632.630000,-3108314139.880000
000517.SZ,20250830,20240630,810411928.870000,5754345.470000,-1687701102.630000
000517.SZ,20250429,20240331,110519618.780000,7627919.990000,-614457139.070000
000517.SZ,20250429,20231231,2428348652.390000,170044132.300000,-6638155957.310000
000517.SZ,20241031,20230930,2462162112.730000,151430755.630000,-6032733615.380000
000517.SZ,20240828,20230630,1884546042.130000,124316088.400000,-4603632377.300000
000517.SZ,20240429,20230331,1308321937.070000,60987248.990000,-2920236314.050000
000517.SZ,20240429,20221231,10476996115.740000,3312915964.150000,-15314069987.430000
000517.SZ,20231031,20220930,9427557632.180000,228643159.520000,-10043446565.680000
000517.SZ,20230829,20220630,6302352697.120000,351629244.420000,-6544938959.260000
000517.SZ,20230429,20220331,2623184799.240000,161235851.430000,-3841442121.950000
000517.SZ,20230429,20211231,-403539349.570000,-977188022.940000,2870155390.330000
000517.SZ,20221029,20210930,-6511671264.620000,-1098560223.660000,6439116661.250000
000517.SZ,20220831,20210630,-3836778146.590000,-1405236722.910000,5119696828.200000
000517.SZ,20220430,20210331,-2536543460.820000,-2198902843.920000,3873866681.710000
000517.SZ,20220430,20201231,-10728252476.630000,856906629.640000,11061274222.570000
000517.SZ,20211027,20200930,-2860562833.120000,1353644370.500000,1385113136.800000
000517.SZ,20210828,20200630,-2824502535.390000,630352700.940000,1173752654.400000
000517.SZ,20210429,20200331,-345998902.300000,186567852.420000,-6486430.500000
000517.SZ,20210323,20191231,467792350.510000,916559089.280000,3819092907.530000
000517.SZ,20201029,20190930,-678879452.400000,931627648.080000,2711942838.590000
000517.SZ,20200827,20190630,-52812081.910000,1266877763.760000,2316829321.290000
000517.SZ,20200429,20190331,-270767454.620000,530085298.910000,2098165762.810000
000517.SZ,20200429,20181231,-2715771337.880000,530547022.030000,3087466368.870000
000517.SZ,20191029,20180930,1365348162.740000,-210037513.300000,-15687908.530000
000517.SZ,20190827,20180630,905212018.340000,-1071877679.670000,703468690.220000
000517.SZ,20190430,20180331,520570024.880000,-271470879.660000,619386484.350000
000517.SZ,20190430,20171231,-261776063.060000,-478452660.590000,774842216.360000
000517.SZ,20181031,20170930,-475411803.830000,295344965.010000,385644432.790000
000517.SZ,20180831,20170630,397314005.140000,289919380.840000,461175863.020000
000517.SZ,20180427,20170331,34558204.360000,347938278.030000,98175145.060000
000517.SZ,20180328,20161231,181538102.590000,269977683.910000,59965371.820000
000517.SZ,20171031,20160930,727103170.250000,622995813.270000,-610335927.970000
000517.SZ,20170830,20160630,480414508.680000,533833604.390000,-527076156.310000
000517.SZ,20170427,20160331,246627031.870000,308988559.610000,-23816049.320000
000517.SZ,20170427,20151231,660400494.620000,-1534128497.980000,826548866.120000
000517.SZ,20161029,20150930,86958709.480000,-999705026.810000,1067259957.980000
000517.SZ,20160830,20150630,6460389.690000,-99681437.500000,170926128.360000
000517.SZ,20160430,20150331,-300261318.610000,-184870.090000,283818701.510000
000517.SZ,20160301,20141231,-639843823.970000,97554144.560000,506141402.280000
000517.SZ,20151031,20140930,-576362233.100000,-151191469.860000,439971287.230000
000517.SZ,20150731,20140630,-443774247.650000,-182807212.670000,395347415.640000
000517.SZ,20150428,20140331,86187326.770000,-10736471.130000,259355641.120000
000517.SZ,20150428,20131231,1385930954.220000,-90820549.620000,-1301512880.370000
