fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
002162.SZ,20251025,20250930,2005799476.260000,1169501554.590000,0,670307389.010000,723303296.170000
002162.SZ,20250826,20250630,2002050030.510000,1166965102.760000,0,646796698.590000,719051981.610000
002162.SZ,20250426,20250331,2064386515.160000,1229114863.650000,0,665856538.260000,780370123.010000
002162.SZ,20251025,20241231,2057924527.480000,1214146314.580000,0,650211849.950000,759002971.150000
002162.SZ,20241026,20240930,2244158657.300000,1292292393.380000,0,819110651.830000,821315330.950000
002162.SZ,20240827,20240630,2249711264.780000,1260972335.120000,0,806754304.800000,775679519.460000
002162.SZ,20240426,20240331,2242251406.690000,1244288800.470000,0,782086859.510000,753178534.730000
002162.SZ,20250228,20231231,2358838216.900000,1345275317.260000,0,887341759.870000,845035166.040000
002162.SZ,20231028,20230930,2333047780.630000,1262330199.360000,0,871848331.420000,790366278.940000
002162.SZ,20230819,20230630,2432362399.270000,1301047322.760000,0,1002044822.390000,831294958.480000
002162.SZ,20230427,20230331,2431037643.330000,1407361703.100000,0,898448318.050000,902864858.040000
002162.SZ,20240330,20221231,2507811062.530000,1490564476.090000,0,942685963.790000,953990135.670000
002162.SZ,20221028,20220930,2616997641.390000,1404828532.520000,0,983642005.750000,906944970.640000
002162.SZ,20220815,20220630,2682525475.060000,1393029442.310000,0,1014900740.990000,958093615.510000
002162.SZ,20220427,20220331,2640273978.120000,1357806726.330000,0,960984593.510000,915869933.980000
002162.SZ,20230318,20211231,2712784671.260000,1421226858.640000,0,1068685729.290000,973859398.600000
002162.SZ,20211029,20210930,2698184437.470000,1410347077.210000,0,1102644811.270000,986370704.170000
002162.SZ,20210821,20210630,2627447175.140000,1359630369.660000,0,1041272804.200000,922488700.340000
002162.SZ,20210415,20210331,2472343154.330000,1437882348.250000,0,883739875.730000,1002087216.920000
002162.SZ,20220427,20201231,2501558406.840000,1455162438.530000,0,961174100.340000,1059495922.700000
002162.SZ,20201030,20200930,2579684756.890000,1518067027.150000,0,989168443.940000,1089905161.880000
002162.SZ,20200815,20200630,2385561615.570000,1363761128.520000,0,856546183.820000,958403565.290000
002162.SZ,20200428,20200331,2308120869.630000,1336270531.180000,0,795126808.620000,931337552.890000
002162.SZ,20210327,20191231,2340351166.840000,1347767676.460000,0,822957225.850000,936884061.630000
002162.SZ,20191030,20190930,2274763597.850000,1286228524.610000,0,740747904.480000,874174432.470000
002162.SZ,20190824,20190630,2375123018.660000,1404598784.980000,0,824503212.270000,982248658.550000
002162.SZ,20190427,20190331,2277295490.220000,1335128967.500000,0,733846143.360000,912306943.400000
002162.SZ,20200328,20181231,2276109018.650000,1325740926.150000,0,723072045.920000,890408226.180000
002162.SZ,20181027,20180930,2183125196.130000,1275329685.150000,0,754071946.210000,960401963.920000
002162.SZ,20180824,20180630,2175619528.670000,1279024581.620000,0,758578753.030000,987867337.570000
002162.SZ,20180427,20180331,2116463259.360000,1241254842.640000,0,696264135.380000,1031859490.500000
002162.SZ,20190228,20171231,2115181556.570000,1229356814.920000,0,699065329.910000,1010607473.890000
002162.SZ,20171030,20170930,2163204161.910000,1277888725.320000,0,752634555.160000,1040163057.500000
002162.SZ,20170803,20170630,2099294719.610000,1223938539.720000,0,684977734.080000,1024058510.220000
002162.SZ,20170426,20170331,2071982004.330000,1229777524.430000,0,677051142.010000,1027809570.310000
002162.SZ,20180228,20161231,2059083972.910000,1208279793.550000,0,663401410.290000,1030089709.510000
002162.SZ,20161027,20160930,2152006924.750000,1310982004.030000,0,731801851.970000,1125373520.250000
002162.SZ,20160827,20160630,2133360772.250000,1308462984.920000,0,716600025.820000,1114997574.190000
002162.SZ,20160423,20160331,2122300631.220000,1311856917.180000,0,712502236.620000,1107819346.120000
002162.SZ,20170329,20151231,2143631659.730000,1326934537.070000,0,735028740.320000,1112773031.860000
002162.SZ,20151028,20150930,2120084231.620000,1318820646.930000,0,681863894.630000,1101604042.990000
002162.SZ,20150731,20150630,2193391232.910000,1400170468.660000,0,760240674.450000,1175710526.390000
002162.SZ,20150429,20150331,2087616093.750000,1295522560.590000,0,654742684.760000,1063650124.370000
002162.SZ,20160423,20141231,2224830183.700000,1411222357.640000,0,787352741.000000,1170341742.880000
002162.SZ,20141028,20140930,2221163191.020000,1415418319.780000,0,761964112.170000,1122489983.230000
002162.SZ,20140819,20140630,2165090146.790000,1379817941.930000,0,719214897.020000,1191277451.330000
002162.SZ,20140422,20140331,2084343742.350000,1328911752.650000,0,648430886.080000,1126444848.690000
002162.SZ,20150228,20131231,2086578970.830000,1478635712.020000,0,651172902.010000,1294268808.060000
002162.SZ,20131028,20130930,1891056804.900000,1332410890.760000,0,639954125.660000,1156271174.230000
002162.SZ,20130730,20130630,1811808626.670000,1284247913.700000,0,612803526.760000,1121946053.400000
002162.SZ,20130424,20130331,1791583919.940000,1288216637.010000,0,628276128.250000,1125794743.480000
002162.SZ,20140228,20121231,1863385319.970000,1345743334.370000,0,703096413.600000,1261971440.850000
002162.SZ,20121026,20120930,1847767237.950000,1283742602.540000,0,745378232.470000,1214892602.530000
002162.SZ,20120815,20120630,1892814609.500000,1293106089.340000,0,769772115.020000,1268106089.340000
002162.SZ,20120420,20120331,1862849341.170000,1220431206.320000,0,738346453.690000,990003339.250000
002162.SZ,20130207,20111231,1941236416.600000,1216415755.240000,0,789414431.710000,930233720.440000
002162.SZ,20111020,20110930,1907469701.110000,1127476791.060000,0,807685374.400000,839596737.170000
002162.SZ,20110728,20110630,1816944354.150000,1005404151.910000,0,724163592.540000,710834206.830000
002162.SZ,20110419,20110331,1770858935.010000,913985158.660000,0,715020543.290000,559192522.390000
002162.SZ,20120329,20101231,1842663713.560000,944939903.640000,0,774915903.680000,593772023.640000
002162.SZ,20101015,20100930,1827672834.630000,946259223.960000,0,735305413.820000,569527473.960000
002162.SZ,20100729,20100630,1949193260.870000,1078485007.860000,0,869297078.040000,695513827.860000
002162.SZ,20100420,20100331,1808980471.450000,938588353.090000,0,719481781.310000,682999603.090000
002162.SZ,20110225,20091231,1691434705.230000,808251356.720000,0,583644766.320000,712260116.720000
002162.SZ,20091026,20090930,1600977435.490000,676615719.680000,0,551234237.360000,580617919.680000
002162.SZ,20090825,20090630,1634649965.560000,720321677.770000,0,596808917.120000,624300097.770000
002162.SZ,20090424,20090331,1653281539.240000,730047297.050000,0,623377002.670000,665438057.050000
002162.SZ,20100227,20081231,1672351415.880000,745293566.460000,0,652132319.700000,561357266.460000
002162.SZ,20081023,20080930,1688222181.560000,761948819.240000,0,753323993.130000,628993009.240000
002162.SZ,20080820,20080630,1694682407.140000,776334879.150000,0,835846279.100000,622365209.150000
002162.SZ,20080422,20080331,1595948153.300000,658830883.300000,0,890630315.300000,530738283.300000
002162.SZ,20090228,20071231,1477512566.470000,542291363.480000,0,851963328.140000,429800523.480000
002162.SZ,20071025,20070930,1457341485.620000,543423281.770000,0,902241058.070000,427756961.770000
002162.SZ,20070822,20070630,1093993975.690000,649287153.380000,0,555444653.900000,532008453.380000
002162.SZ,20080324,20061231,1076328787.810000,628254418.500000,0,554857830.250000,527053666.500000
002162.SZ,20070731,20051231,1049092244.760000,550481538.350000,0,482176769.640000,425705424.350000
002162.SZ,20070731,20041231,1048429542.150000,569129925.690000,0,509138682.970000,440463559.690000
