fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
000560.SZ,20251030,20250930,26380195376.840000,16920807985.010000,0,9769587285.690000,12813067753.170000
000560.SZ,20250827,20250630,26560883707.730000,17106020295.650000,0,9415907019.230000,12654437014.400000
000560.SZ,20250430,20250331,28456007052.030000,18996796601.620000,0,9809992301.220000,13562484773.670000
000560.SZ,20251030,20241231,30236585301.170000,20793387903.130000,0,10700620174.450000,15106044950.410000
000560.SZ,20241031,20240930,32479029624.650000,22911789500.980000,0,11943760438.560000,16623224366.440000
000560.SZ,20240831,20240630,32380653813.930000,22794545591.150000,0,11605091892.900000,15886444036.730000
000560.SZ,20240426,20240331,32045708161.330000,22461921701.720000,0,11089593913.920000,15900060349.070000
000560.SZ,20250410,20231231,32376590053.580000,22819948662.950000,0,11801061942.230000,16569290715.860000
000560.SZ,20231031,20230930,34293528795.680000,23939139206.060000,0,13124605965.990000,15156946582.630000
000560.SZ,20230825,20230630,33125296772.820000,22764748479.900000,0,12609864862.970000,15275679368.520000
000560.SZ,20230428,20230331,32825207956.150000,22378237003.320000,0,12551347896.440000,17277269469.080000
000560.SZ,20240426,20221231,32540484408.160000,22149891399.000000,0,12569448806.090000,16301907373.940000
000560.SZ,20221028,20220930,33312094019.310000,22848052293.050000,0,13033376729.340000,16042855189.370000
000560.SZ,20220826,20220630,33042432212.460000,22725810976.560000,0,12710516624.290000,15911873504.730000
000560.SZ,20220429,20220331,33637334009.950000,23150365514.030000,0,12587061295.900000,15252745092.730000
000560.SZ,20230428,20211231,32963511406.730000,22252591902.170000,0,12878446146.900000,15490393069.590000
000560.SZ,20211029,20210930,22588509967.540000,11564762125.620000,0,9220318478.690000,8692332797.960000
000560.SZ,20210827,20210630,23033707427.220000,12106386384.910000,0,9721454100.600000,9178289815.930000
000560.SZ,20210428,20210331,22941919384.730000,12384936361.790000,0,10224520020.520000,9142228688.750000
000560.SZ,20220429,20201231,20123743078.130000,9739921654.940000,0,9635379780.110000,8021284653.810000
