fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002715.SZ,20251028,20250930,45849882.090000,-63438674.100000,24762669.620000
002715.SZ,20250827,20250630,28712612.280000,-25566668.130000,21081658.760000
002715.SZ,20250425,20250331,31807957.200000,-2399401.240000,-1312915.760000
002715.SZ,20250328,20241231,60215808.380000,-59595543.290000,-26877314.490000
002715.SZ,20251028,20240930,37950780.040000,-41647189.100000,-9804717.600000
002715.SZ,20250827,20240630,25931126.120000,-26854454.720000,-14134639.720000
002715.SZ,20250425,20240331,10862604.550000,-7542575.440000,-4460044.540000
002715.SZ,20250328,20231231,65484206.420000,-54650994.080000,7467675.150000
002715.SZ,20241030,20230930,59214177.600000,-43383858.140000,-9509610.680000
002715.SZ,20240828,20230630,15091262.270000,-26396556.120000,1950224.460000
002715.SZ,20240427,20230331,17525648.810000,-15012954.160000,-901468.780000
002715.SZ,20240330,20221231,5953000.230000,-112364274.690000,69564135.480000
002715.SZ,20231031,20220930,-27015703.870000,-92818198.900000,65982885.340000
002715.SZ,20230831,20220630,-17504068.510000,-73925144.770000,68975073.370000
002715.SZ,20230429,20220331,733913.760000,-53039408.470000,72601298.110000
002715.SZ,20230321,20211231,40890787.760000,-50761066.980000,17284635.320000
002715.SZ,20221028,20210930,3554627.570000,-30351374.280000,20237519.190000
002715.SZ,20220825,20210630,6934601.860000,-17020696.540000,28158756.280000
002715.SZ,20220423,20210331,-13069995.380000,-9831728.130000,31990314.460000
002715.SZ,20220331,20201231,60705926.060000,-31293320.040000,-22807531.500000
002715.SZ,20211030,20200930,21024890.190000,-17567957.870000,-31980871.810000
002715.SZ,20210825,20200630,2901212.670000,-12439908.440000,-26947438.000000
002715.SZ,20210427,20200331,387686.740000,-6206125.620000,-13623297.390000
002715.SZ,20210313,20191231,37280470.870000,-30433115.760000,6168644.300000
002715.SZ,20201027,20190930,62515288.020000,-21399027.020000,-51386515.500000
002715.SZ,20200827,20190630,33158325.200000,-12773751.480000,-31217447.010000
002715.SZ,20200423,20190331,13956907.170000,-3886249.770000,-24265148.880000
002715.SZ,20200331,20181231,34037464.140000,-33442646.370000,-34479212.810000
002715.SZ,20191024,20180930,27034519.740000,-25793193.310000,22965267.070000
002715.SZ,20190731,20180630,794076.170000,-18084925.680000,-20385858.760000
002715.SZ,20190430,20180331,3970095.220000,-6510649.590000,-11769561.570000
002715.SZ,20190430,20171231,32334839.420000,-11192922.740000,-13312940.470000
002715.SZ,20181024,20170930,25892815.830000,-4475324.410000,-5148523.910000
002715.SZ,20180824,20170630,6389478.770000,2548217.810000,-4198823.150000
002715.SZ,20180425,20170331,22114353.050000,-3430998.280000,-1098265.890000
002715.SZ,20180425,20161231,68569073.610000,-29401334.150000,-57061347.060000
002715.SZ,20171028,20160930,37056137.150000,-11136145.320000,-50910174.680000
002715.SZ,20170830,20160630,14543859.170000,-3586257.320000,-47907157.880000
002715.SZ,20170428,20160331,14143507.910000,-8153464.570000,-36512634.980000
002715.SZ,20170428,20151231,-7499505.650000,-40124657.760000,56158208.250000
002715.SZ,20161028,20150930,-4740373.770000,-26580464.830000,30507873.180000
002715.SZ,20160831,20150630,-7034566.040000,-6917927.430000,35889923.340000
002715.SZ,20160430,20150331,-9876719.290000,-5358848.290000,3489556.830000
002715.SZ,20160430,20141231,4816462.640000,-30373634.360000,27293297.800000
002715.SZ,20151031,20140930,6019036.400000,-23734030.700000,55888855.670000
002715.SZ,20150828,20140630,-3724759.680000,-19293595.340000,36570196.170000
002715.SZ,20150423,20140331,-20680629.100000,-16365350.640000,152260613.990000
002715.SZ,20150418,20131231,25210728.740000,-35748981.310000,3828176.630000
002715.SZ,20141025,20130930,33774091.150000,-26206001.590000,-73333299.410000
002715.SZ,20140823,20130630,-347455.650000,-24637946.600000,-27669845.590000
002715.SZ,20140428,20130331,-15493296.170000,-10353775.500000,-30990189.260000
002715.SZ,20140422,20121231,29364985.990000,-88889416.220000,72400819.410000
002715.SZ,20140108,20120930,12230400.000000,-64938200.000000,27138900.000000
002715.SZ,20140108,20111231,37199798.160000,-88456344.140000,28930587.150000
002715.SZ,20140108,20101231,46358195.210000,-56288707.770000,67311923.440000
002715.SZ,20120323,20091231,27150281.260000,-23075153.430000,-2016976.460000
