fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002209.SZ,20251028,20250930,170727063.610000,-144257842.790000,143031964.170000
002209.SZ,20250822,20250630,60618153.630000,-77231558.950000,81028868.790000
002209.SZ,20250425,20250331,78989892.630000,-32335608.840000,33610070.460000
002209.SZ,20250410,20241231,167990363.270000,-51752649.970000,-138767487.140000
002209.SZ,20251028,20240930,195175011.680000,-27109654.440000,-97508262.500000
002209.SZ,20250822,20240630,136091399.430000,-19555866.000000,-111007204.050000
002209.SZ,20250425,20240331,86200251.430000,-5740315.340000,-76096559.910000
002209.SZ,20250410,20231231,218580277.790000,-26446500.870000,-73459551.600000
002209.SZ,20241029,20230930,150151837.240000,-16050363.060000,-6883089.900000
002209.SZ,20240822,20230630,147090702.720000,-13847425.200000,634547.700000
002209.SZ,20240429,20230331,29636632.530000,-6386452.050000,6562815.160000
002209.SZ,20240412,20221231,83509861.990000,-44396185.820000,10971853.180000
002209.SZ,20231027,20220930,11607793.830000,-27391911.690000,49979311.940000
002209.SZ,20230830,20220630,-27635196.800000,-13267770.710000,48882472.390000
002209.SZ,20230428,20220331,-43367172.630000,-6931653.530000,88134515.380000
002209.SZ,20230415,20211231,35466002.330000,-29522223.010000,-57784974.170000
002209.SZ,20221028,20210930,49653643.280000,-21441691.750000,-69108144.070000
002209.SZ,20220819,20210630,64851264.320000,-14076588.790000,-73010454.660000
002209.SZ,20220429,20210331,64555720.480000,-9111117.190000,-44844932.620000
002209.SZ,20220415,20201231,28135214.920000,-30167796.260000,-17136667.790000
002209.SZ,20211027,20200930,2183305.460000,-20182243.470000,-3964880.460000
002209.SZ,20210827,20200630,-47502413.880000,-14975006.380000,13892670.830000
002209.SZ,20210430,20200331,-7142240.040000,-9892345.670000,-8075833.850000
002209.SZ,20210416,20191231,-43386681.380000,-21810525.270000,67522838.020000
002209.SZ,20201030,20190930,-65726542.220000,-11963599.620000,25708173.170000
002209.SZ,20200825,20190630,-63622877.110000,-8626550.040000,36789392.280000
002209.SZ,20200430,20190331,-41283326.280000,-5493269.780000,23669500.450000
002209.SZ,20200428,20181231,32558014.130000,-3177218.940000,-10280658.910000
002209.SZ,20191030,20180930,-54909366.530000,-3674715.990000,27143266.610000
002209.SZ,20190827,20180630,-53560037.680000,-10019167.840000,53682100.400000
002209.SZ,20190429,20180331,-2642167.130000,-6962297.110000,19027787.750000
002209.SZ,20190429,20171231,127359150.940000,-8000402.350000,-124016776.930000
