fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
601658.SH,20251031,20250930,18605653000000.000000,17439778000000.000000,0,0,0
601658.SH,20250830,20250630,18190521000000.000000,17049715000000.000000,0,0,0
601658.SH,20250430,20250331,17689399000000.000000,16693006000000.000000,0,0,0
601658.SH,20251031,20241231,17084910000000.000000,16053261000000.000000,0,0,0
601658.SH,20241031,20240930,16746265000000.000000,15713397000000.000000,0,0,0
601658.SH,20240831,20240630,16413529000000.000000,15406730000000.000000,0,0,0
601658.SH,20240430,20240331,16331949000000.000000,15323248000000.000000,0,0,0
601658.SH,20250328,20231231,15726631000000.000000,14770015000000.000000,0,0,0
601658.SH,20231028,20230930,15315359000000.000000,14399885000000.000000,0,0,0
601658.SH,20230831,20230630,15123107000000.000000,14232416000000.000000,0,0,0
601658.SH,20230428,20230331,14697475000000.000000,13805964000000.000000,0,0,0
601658.SH,20240329,20221231,14067282000000.000000,13241468000000.000000,0,0,0
601658.SH,20221027,20220930,13523061000000.000000,12705054000000.000000,0,0,0
601658.SH,20220823,20220630,13426421000000.000000,12585183000000.000000,0,0,0
601658.SH,20220430,20220331,13274075000000.000000,12430546000000.000000,0,0,0
601658.SH,20230331,20211231,12587873000000.000000,11792324000000.000000,0,0,0
601658.SH,20211029,20210930,12221662000000.000000,11442541000000.000000,0,0,0
601658.SH,20210828,20210630,12217051000000.000000,11466666000000.000000,0,0,0
601658.SH,20210430,20210331,11961876000000.000000,11210895000000.000000,0,0,0
601658.SH,20220331,20201231,11353263000000.000000,10680333000000.000000,0,0,0
601658.SH,20201030,20200930,11133942000000.000000,10475700000000.000000,0,0,0
601658.SH,20200831,20200630,10966186000000.000000,10324470000000.000000,0,0,0
601658.SH,20200429,20200331,10798624000000.000000,10147563000000.000000,0,0,0
601658.SH,20210330,20191231,10216706000000.000000,9671827000000.000000,0,0,0
601658.SH,20191209,20190930,10110524000000.000000,9598929000000.000000,0,0,0
601658.SH,20191029,20190630,10067175000000.000000,9573116000000.000000,0,0,0
601658.SH,20190509,20190331,10143800000000.000000,9650109000000.000000,0,0,0
601658.SH,20200326,20181231,9516211000000.000000,9040898000000.000000,0,0,0
601658.SH,20181130,20180930,9350857000000.000000,8880921000000.000000,0,0,0
601658.SH,20180829,20180630,9326163000000.000000,8872665000000.000000,0,0,0
601658.SH,20180427,20180331,9227353000000.000000,8778251000000.000000,0,0,0
601658.SH,20191029,20171231,9012551000000.000000,8581194000000.000000,0,0,0
601658.SH,20171031,20170930,8764955000000.000000,8338711000000.000000,0,0,0
601658.SH,20170901,20170630,8543826000000.000000,8179044000000.000000,0,0,0
601658.SH,20170502,20170331,8486867000000.000000,8126724000000.000000,0,0,0
601658.SH,20191029,20161231,8265622000000.000000,7918734000000.000000,0,0,0
601658.SH,20161021,20160630,7974475000000.000000,7690801000000.000000,0,0,0
601658.SH,20161021,20151231,7296364000000.000000,7025533000000.000000,0,0,0
601658.SH,20151030,20150930,6767203310000.000000,6547617670000.000000,0,0,0
601658.SH,20150901,20141231,6298325000000.000000,6110416000000.000000,0,0,0
601658.SH,20140606,20131231,5574451000000.000000,5433404000000.000000,0,0,0
601658.SH,20150901,20121231,4903103000000.000000,4788234000000.000000,0,0,0
601658.SH,20150901,20111231,4107880000000.000000,4018601000000.000000,0,0,0
601658.SH,20150901,20101231,3390690000000.000000,3334749000000.000000,0,0,0
