fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002420.SZ,20251022,20250930,-117701304.920000,-68828384.790000,199695063.720000
002420.SZ,20250822,20250630,-89840650.940000,-64801457.270000,161666939.530000
002420.SZ,20250425,20250331,-69748381.400000,-56316048.790000,136307329.340000
002420.SZ,20250322,20241231,-39812266.820000,-23600657.520000,-89736079.410000
002420.SZ,20251022,20240930,-53280971.630000,-16346194.400000,-57932958.260000
002420.SZ,20250822,20240630,-36577099.410000,-7545542.680000,79293294.580000
002420.SZ,20250425,20240331,-42349840.660000,-14690314.740000,68319213.590000
002420.SZ,20250322,20231231,113712737.420000,-143779265.570000,168352552.430000
002420.SZ,20241025,20230930,75383014.640000,-135371725.030000,169182104.010000
002420.SZ,20240726,20230630,53665656.980000,-44757285.220000,81581595.040000
002420.SZ,20240415,20230331,9350837.020000,-20511355.310000,54455245.670000
002420.SZ,20240315,20221231,135279614.550000,-194308572.880000,23639165.380000
002420.SZ,20231026,20220930,111631034.320000,-114501618.440000,55400933.390000
002420.SZ,20230825,20220630,52520345.680000,-103268713.550000,56055717.780000
002420.SZ,20230427,20220331,18344989.780000,-33891230.190000,34181792.750000
002420.SZ,20230427,20211231,10685684.020000,-25466634.760000,-113906045.360000
002420.SZ,20221026,20210930,-48453304.390000,-22114911.310000,-27288417.290000
002420.SZ,20220831,20210630,-93833614.780000,-16154528.280000,-19904487.480000
002420.SZ,20220428,20210331,-88902230.320000,-12204142.130000,-44394720.250000
002420.SZ,20220315,20201231,-122463683.140000,-16094234.040000,230041872.920000
002420.SZ,20211022,20200930,-77024459.460000,-9501128.970000,73432442.790000
002420.SZ,20210827,20200630,-108928826.850000,-8250611.900000,85475248.870000
002420.SZ,20210427,20200331,-60322036.040000,-3998376.600000,46444654.270000
002420.SZ,20210305,20191231,-37396323.810000,324603561.280000,-287051899.610000
002420.SZ,20201024,20190930,-83506806.160000,-16509660.100000,31550123.950000
002420.SZ,20200827,20190630,49087544.520000,-5258390.790000,-52109839.600000
002420.SZ,20200430,20190331,106517458.630000,3590697.850000,-94020766.880000
002420.SZ,20200425,20181231,473331144.580000,-93941133.990000,-462919180.870000
002420.SZ,20191029,20180930,381124707.710000,-158395925.860000,-353654985.790000
002420.SZ,20190822,20180630,401071203.380000,-132476187.160000,-317030942.590000
002420.SZ,20190427,20180331,181310169.740000,-56392818.770000,-164559721.170000
002420.SZ,20190427,20171231,24078287.580000,-81157947.180000,42546804.880000
002420.SZ,20181030,20170930,-174700972.680000,-61880891.620000,224406248.870000
002420.SZ,20180828,20170630,-223905303.140000,-34625795.060000,248417968.560000
002420.SZ,20180425,20170331,270187962.990000,-22612880.940000,9402181.310000
002420.SZ,20180425,20161231,348022555.470000,-128086844.130000,-258044054.430000
002420.SZ,20171031,20160930,343742025.900000,-110315402.790000,-206835802.740000
002420.SZ,20170829,20160630,176561958.120000,-75106387.780000,-276488429.920000
002420.SZ,20170422,20160331,201013754.450000,-55570861.960000,-222512607.230000
002420.SZ,20170422,20151231,36671912.280000,-159820043.840000,180285722.000000
002420.SZ,20161027,20150930,51048377.330000,-125216958.860000,176918201.870000
002420.SZ,20160824,20150630,133803270.620000,-83620654.000000,155697698.300000
002420.SZ,20160422,20150331,109726192.270000,-37005936.250000,39759065.560000
002420.SZ,20160422,20141231,175295621.460000,-201927281.660000,-25718225.710000
002420.SZ,20151031,20140930,90585114.910000,-105914977.760000,-62530222.230000
002420.SZ,20150820,20140630,73709012.990000,-60747661.480000,-101107333.340000
002420.SZ,20150429,20140331,48748024.270000,-21212705.900000,-59639777.780000
002420.SZ,20150402,20131231,113873615.190000,-203031513.260000,-60619905.000000
002420.SZ,20141030,20130930,110418756.880000,-158956771.410000,-58637076.100000
002420.SZ,20140827,20130630,143864351.010000,-92271512.930000,-157891358.310000
002420.SZ,20140426,20130331,-75784.040000,-34524901.950000,-69087467.190000
002420.SZ,20140426,20121231,157124598.000000,-125269372.770000,-49245758.510000
002420.SZ,20131028,20120930,162848740.380000,-139719791.820000,-94347985.470000
002420.SZ,20130823,20120630,105553006.280000,-88141309.850000,-31424889.800000
002420.SZ,20130425,20120331,103077749.000000,-57245290.530000,76634806.620000
002420.SZ,20130402,20111231,-100378728.960000,-318566128.270000,217535879.280000
002420.SZ,20121023,20110930,-162552897.320000,-256654025.240000,151176898.260000
002420.SZ,20120820,20110630,-102721725.470000,-190752057.070000,161643643.770000
002420.SZ,20120421,20110331,-90515134.500000,-97470519.930000,90420803.880000
002420.SZ,20120410,20101231,-108893603.760000,-277353576.340000,738741117.180000
002420.SZ,20111027,20100930,-155305026.740000,-123183268.430000,803792223.810000
002420.SZ,20110829,20100630,-68439676.240000,-27774628.270000,824538138.310000
002420.SZ,20110415,20100331,-60838689.490000,-24530140.100000,56302166.880000
002420.SZ,20110331,20091231,191553464.920000,-116471674.790000,54886530.170000
002420.SZ,20101022,20090930,31577389.890000,-68198278.700000,39039629.270000
002420.SZ,20100827,20090630,54277029.600000,-11991486.980000,22729161.250000
002420.SZ,20100531,20090331,37463797.110000,-2822928.610000,-3378374.840000
002420.SZ,20100511,20081231,99272504.410000,-155296166.110000,79628223.160000
002420.SZ,20100511,20071231,86454399.810000,17590167.020000,-15704478.180000
