fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
601658.SH,20251031,20250930,349976000000.000000,-342448000000.000000,112830000000.000000
601658.SH,20250830,20250630,183699000000.000000,-38813000000.000000,66968000000.000000
601658.SH,20250430,20250331,75695000000.000000,49051000000.000000,-117768000000.000000
601658.SH,20250328,20241231,397276000000.000000,-480399000000.000000,-30778000000.000000
601658.SH,20251031,20240930,280989000000.000000,-292345000000.000000,-68224000000.000000
601658.SH,20250830,20240630,130932000000.000000,-197933000000.000000,-108600000000.000000
601658.SH,20250430,20240331,225146000000.000000,-65769000000.000000,-68646000000.000000
601658.SH,20250328,20231231,263337000000.000000,-242428000000.000000,192247000000.000000
601658.SH,20241031,20230930,-28418000000.000000,-287877000000.000000,333751000000.000000
601658.SH,20240831,20230630,83497000000.000000,-145086000000.000000,231708000000.000000
601658.SH,20240430,20230331,24216000000.000000,-3334000000.000000,47240000000.000000
601658.SH,20240329,20221231,474914000000.000000,-511507000000.000000,-37737000000.000000
601658.SH,20231028,20220930,129214000000.000000,-247409000000.000000,-36674000000.000000
601658.SH,20230831,20220630,146914000000.000000,-157257000000.000000,42954000000.000000
601658.SH,20230428,20220331,143558000000.000000,-119112000000.000000,43878000000.000000
601658.SH,20230331,20211231,109557000000.000000,-182917000000.000000,52263000000.000000
601658.SH,20221027,20210930,-49786000000.000000,-74929000000.000000,89686000000.000000
601658.SH,20220823,20210630,168077000000.000000,-75343000000.000000,52446000000.000000
601658.SH,20220430,20210331,112904000000.000000,-124558000000.000000,55135000000.000000
601658.SH,20220331,20201231,161772000000.000000,-122075000000.000000,16747000000.000000
601658.SH,20211029,20200930,23559000000.000000,-207109000000.000000,57684000000.000000
601658.SH,20210828,20200630,-10929000000.000000,-191514000000.000000,92402000000.000000
601658.SH,20210430,20200331,85756000000.000000,-140467000000.000000,81636000000.000000
601658.SH,20210330,20191231,26443000000.000000,-173714000000.000000,23857000000.000000
601658.SH,20201030,20190930,86570000000.000000,-202963000000.000000,6059000000.000000
601658.SH,20200831,20190630,113271000000.000000,-283967000000.000000,23437000000.000000
601658.SH,20200429,20190331,346421000000.000000,-218764000000.000000,-900000000.000000
601658.SH,20200326,20181231,184505000000.000000,-89325000000.000000,-16863000000.000000
601658.SH,20191209,20180930,76388000000.000000,-55566000000.000000,-13873000000.000000
601658.SH,20180829,20180630,79590000000.000000,-13121000000.000000,827000000.000000
601658.SH,20180427,20180331,-238941000000.000000,150989000000.000000,-421000000.000000
601658.SH,20191029,20171231,-399348000000.000000,479343000000.000000,59730000000.000000
601658.SH,20171031,20170930,-440688000000.000000,415288000000.000000,60726000000.000000
601658.SH,20170901,20170630,-380300000000.000000,356590000000.000000,19979000000.000000
601658.SH,20170502,20170331,-135539000000.000000,228892000000.000000,19975000000.000000
601658.SH,20191029,20161231,220457000000.000000,-335356000000.000000,69911000000.000000
601658.SH,20161021,20160630,420404000000.000000,-129203000000.000000,-9021000000.000000
601658.SH,20161021,20151231,931463000000.000000,-1311443000000.000000,70423000000.000000
601658.SH,20150901,20141231,680953000000.000000,-245570000000.000000,16831000000.000000
601658.SH,20140606,20131231,18037000000.000000,-88078000000.000000,-320000000.000000
601658.SH,20150901,20121231,192904000000.000000,-162544000000.000000,-1332000000.000000
601658.SH,20150901,20111231,101888000000.000000,-81254000000.000000,0.000000
601658.SH,20150901,20101231,-86555000000.000000,53370000000.000000,11000000000.000000
