fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
600519.SH,20251030,20250930,304738184929.860000,39033160057.010000,0,256587161700.860000,38763379268.530000
600519.SH,20250813,20250630,292257789095.510000,43122202832.760000,0,245478396729.470000,42842853450.650000
600519.SH,20250430,20250331,312368697395.050000,44178362224.660000,0,266506714239.540000,43870177560.850000
600519.SH,20251030,20241231,298944579918.700000,56933264798.100000,0,251726674636.660000,56515990618.960000
600519.SH,20241026,20240930,286770722957.690000,39082558719.520000,0,238419577361.930000,38723890549.120000
600519.SH,20240809,20240630,279207261166.630000,51162451517.350000,0,232257040097.430020,50806881664.470000
600519.SH,20240427,20240331,285524543268.380000,36987774717.850000,0,237376996384.720000,36626674015.390000
600519.SH,20250403,20231231,272699660092.249970,49043190797.430000,0,225172517821.280000,48697611501.200000
600519.SH,20231021,20230930,262076424771.470000,37057625012.060000,0,218472857114.409970,36663921439.780000
600519.SH,20230803,20230630,241604264016.340000,32356783924.380000,0,203032616169.810000,31955320013.260000
600519.SH,20230426,20230331,258390782822.050000,31927208619.420000,0,218200387403.569980,31428606894.510000
600519.SH,20240403,20221231,254500826096.020000,49562744832.160000,0,216611435672.920000,49065668798.380000
600519.SH,20221017,20220930,247756923862.350000,34310347852.500000,0,210606787131.830020,34000827381.280000
600519.SH,20220803,20220630,239849179963.430020,41392730000.970000,0,203518842998.230000,41131791086.980000
600519.SH,20220427,20220331,251301891385.480000,36393614935.700000,0,215797309125.980000,36106533211.540000
600519.SH,20230331,20211231,255168195159.900000,58210688454.560000,0,220765692846.310030,57914222254.820000
600519.SH,20211023,20210930,224702253941.129970,43887313587.770000,0,192577234676.120000,43447344284.500000
600519.SH,20210731,20210630,212868536822.670000,45304445091.200000,0,181850571719.480000,44877251117.200000
600519.SH,20210428,20210331,215218185984.610000,32728418219.030000,0,185849588402.370000,32328848499.100000
600519.SH,20220331,20201231,213395810527.460000,45675127426.180000,0,185652154956.940000,45673669912.950000
600519.SH,20201026,20200930,184579196650.800000,30407538525.410000,0,157489286162.460000,30405726088.500000
600519.SH,20200729,20200630,172197875165.580000,29679987489.440000,0,144835133749.260000,29605465608.970000
600519.SH,20200428,20200331,181624733882.270020,25889910825.910000,0,157924872304.760000,25817912405.470000
600519.SH,20210331,20191231,183042372042.500000,41165991813.850000,0,159024472009.080000,41093299212.840000
600519.SH,20191016,20190930,162550409174.430020,31728364035.100000,0,139949148533.900000,31679418410.100000
600519.SH,20190718,20190630,165121648977.729980,45514872823.370000,0,142545945754.470000,45437198103.530000
600519.SH,20190425,20190331,159888176447.280000,30566115048.510000,0,137873999999.820000,30566115048.510000
600519.SH,20200422,20181231,159846674736.009980,42438186813.480000,0,137861835307.570000,42438186813.480000
600519.SH,20181029,20180930,147147672376.160000,40990610327.230000,0,124830898967.330000,40975040327.230000
600519.SH,20180802,20180630,129914832498.210000,33410357927.630000,0,107738904150.330000,33394787927.630000
600519.SH,20180428,20180331,134404941948.300000,29255260792.920000,0,111781386018.610000,29239690792.920000
600519.SH,20190329,20171231,134610116875.080000,38590489400.000000,0,112249185961.600000,38574919400.000000
600519.SH,20171026,20170930,127780036133.200000,39399190859.070000,0,104803294790.200000,39383620859.070000
600519.SH,20170728,20170630,120382739967.950000,41319489297.490000,0,97397790192.990000,41303919297.490000
600519.SH,20170425,20170331,118978719020.080000,36524831704.500000,0,95889423066.320000,36509261704.500000
600519.SH,20180328,20161231,112934538280.410000,37035995425.690000,0,90180548805.570000,37020425425.690000
600519.SH,20161029,20160930,105146032285.130000,33862528824.060000,0,83502886329.660000,33846958824.060000
600519.SH,20160827,20160630,95546499172.840000,28193337489.460000,0,73953467032.620000,28177767489.460000
600519.SH,20160421,20160331,90690449521.880000,19749190532.260000,0,69113796117.440000,19733620532.260000
600519.SH,20170415,20151231,86301463422.770000,20067293001.480000,0,65004514023.590000,20051723001.480000
600519.SH,20151023,20150930,77559034189.140000,15640191631.060000,0,57297442072.050000,15622421631.060000
600519.SH,20150828,20150630,72337744204.930000,8675962015.390000,0,53239969447.100000,8658192015.390000
600519.SH,20150421,20150331,68769020638.420000,8838872511.460000,0,50453374101.900000,8821102511.460000
600519.SH,20160324,20141231,65873165224.630000,10561614383.510000,0,47570929074.320000,10543844383.510000
600519.SH,20141030,20140930,58651555116.650000,8310226545.140000,0,41990759893.730000,8292456545.140000
600519.SH,20140829,20140630,55218131505.510000,8593954624.290000,0,38638356940.880000,8576184624.290000
600519.SH,20140425,20140331,56029625704.110000,8576054059.480000,0,40446017445.100000,8558284059.480000
600519.SH,20150421,20131231,55454150677.050000,11325058403.790000,0,41931583434.230000,11307288403.790000
600519.SH,20131016,20130930,49274437880.710000,9454070178.520000,0,39840847167.610000,9436300178.520000
600519.SH,20130831,20130630,43620710381.690000,7841603198.170000,0,34682977069.900000,7823833198.170000
600519.SH,20130418,20130331,45902219986.090000,7306586930.670000,0,36856097770.570000,7288816930.670000
600519.SH,20140325,20121231,44998208953.460000,9544172556.210000,0,36225076613.880000,9526402556.210000
600519.SH,20121026,20120930,38834876462.710000,6843310993.930000,0,31485892751.190000,6825540993.930000
600519.SH,20120810,20120630,39711451965.360000,11306676731.730000,0,32424279454.540000,11288906731.730000
600519.SH,20120426,20120331,36407584735.600000,7876964333.570000,0,29232627192.330000,7859194333.570000
600519.SH,20130329,20111231,34900868975.410000,9497489364.120000,0,27829632180.430000,9480719364.120000
600519.SH,20111018,20110930,32894258255.330000,9810488139.050000,0,26986665072.700000,9790958139.050000
600519.SH,20110831,20110630,30920149101.430000,9375193214.280000,0,25469484324.530000,9355663214.280000
600519.SH,20110423,20110331,29161700183.570000,8621019159.310000,0,23756789428.890000,8611019159.310000
600519.SH,20120411,20101231,25587579940.690000,7038190246.070000,0,20300284828.310000,7028190246.070000
600519.SH,20101029,20100930,22810028763.640000,5088258570.200000,0,17955706671.400000,5078258570.200000
600519.SH,20100812,20100630,21333828715.530000,4596615419.310000,0,16583306141.050000,4586615419.310000
600519.SH,20100426,20100331,20430099477.790000,4434151285.770000,0,16206601570.330000,4424151285.770000
600519.SH,20110321,20091231,19769623147.720000,5118057753.510000,0,15655585363.390000,5108057753.510000
600519.SH,20091024,20090930,16737940329.300000,2522260598.270000,0,12844858380.950000,2512260598.270000
600519.SH,20090807,20090630,15973750015.480000,2806773646.400000,0,12216812426.320000,2796773646.400000
600519.SH,20090421,20090331,15625503484.210000,3017496005.170000,0,11896825659.310000,3007496005.170000
600519.SH,20100402,20081231,15754187836.350000,4250769540.400000,0,12240750882.840000,4250769540.400000
600519.SH,20081027,20080930,12989449921.360000,2182445187.520000,0,9250435650.360000,2182445187.520000
600519.SH,20080828,20080630,11276097082.700000,1421462106.230000,0,7750016910.270000,1421462106.230000
600519.SH,20080422,20080331,11556876926.480000,2270935661.450000,0,8218538025.950000,2270935661.450000
600519.SH,20090325,20071231,10481471840.450000,2112616070.010000,0,7904439590.620000,2112616070.010000
600519.SH,20071023,20070930,10194195529.990000,3241296205.660000,0,7108059526.750000,3241296205.660000
600519.SH,20070817,20070630,10226931689.690000,4007519794.200000,0,7273932144.620000,4007519794.200000
600519.SH,20070428,20070331,9883304613.250000,3994927819.660000,0,7038019760.260000,3994927819.660000
