fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
000868.SZ,20251025,20250930,-34433072.540000,-37952403.020000,22003683.330000
000868.SZ,20250826,20250630,-32198774.680000,-869428.810000,19480566.660000
000868.SZ,20250422,20250331,-45698442.100000,-50960269.170000,49137505.550000
000868.SZ,20250325,20241231,2582290.010000,103126457.950000,33628797.190000
000868.SZ,20251025,20240930,-208354615.360000,105146074.680000,6694174.980000
000868.SZ,20250826,20240630,-222915633.320000,103028204.610000,7413786.100000
000868.SZ,20250422,20240331,-158357530.820000,-2432091.130000,-878970.840000
000868.SZ,20250325,20231231,460310121.750000,-17697769.640000,-305318341.250000
000868.SZ,20241025,20230930,306615852.960000,-9855584.300000,-179235494.420000
000868.SZ,20240827,20230630,125335637.030000,-5366296.520000,-589123.450000
000868.SZ,20240423,20230331,-104115295.060000,-2921725.230000,79503757.480000
000868.SZ,20240423,20221231,324569781.970000,-9512705.740000,-284438561.110000
000868.SZ,20231024,20220930,416377457.960000,-3701986.250000,-239307843.070000
000868.SZ,20230822,20220630,370167450.540000,-6245993.600000,-400623239.570000
000868.SZ,20230425,20220331,315302371.010000,-5419049.100000,-237126954.850000
000868.SZ,20230425,20211231,-570484435.320000,-21245278.450000,127845182.790000
000868.SZ,20221025,20210930,-730987878.360000,-10001064.500000,286125314.950000
000868.SZ,20220823,20210630,-471905889.770000,-11873647.610000,103719250.870000
000868.SZ,20220426,20210331,12069936.540000,-11678868.480000,-401691557.010000
000868.SZ,20220322,20201231,400051723.110000,773277324.920000,-1075471331.290000
000868.SZ,20211026,20200930,-339366856.860000,632639542.510000,-476431930.700000
000868.SZ,20210817,20200630,-576235303.880000,485964893.490000,-146217472.640000
000868.SZ,20210422,20200331,-210752255.830000,-48496627.250000,26251381.370000
000868.SZ,20210323,20191231,522262692.440000,-198663004.480000,-210572605.490000
000868.SZ,20201026,20190930,-68673374.780000,49069482.630000,-91664931.260000
000868.SZ,20200820,20190630,218267824.950000,22635179.730000,-197669829.370000
000868.SZ,20200428,20190331,392669116.810000,-119091101.830000,-195606285.260000
000868.SZ,20200317,20181231,-345317349.450000,-100671643.340000,437395866.080000
000868.SZ,20191029,20180930,-210239471.720000,44788426.650000,53857083.150000
000868.SZ,20190813,20180630,-177917235.810000,-4842467.160000,181833223.030000
000868.SZ,20190427,20180331,-595022221.850000,3742301.730000,410809018.730000
000868.SZ,20190416,20171231,249401357.610000,-112686756.170000,-345981886.770000
000868.SZ,20181027,20170930,445929903.410000,-76392828.340000,-793107505.030000
000868.SZ,20180829,20170630,792287413.190000,-115978522.380000,-722728434.470000
000868.SZ,20180424,20170331,-253472295.450000,-22014002.110000,-84012956.050000
000868.SZ,20180321,20161231,-1256344896.820000,-77351357.170000,845072153.650000
000868.SZ,20171027,20160930,-1440455878.730000,-60972529.060000,1182706286.810000
