fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
002269.SZ,20251031,20250930,329163392.040000,0,-68984457.590000,0,0,0
002269.SZ,20250827,20250630,226944317.600000,0,9930288.740000,0,0,0
002269.SZ,20250429,20250331,143053736.810000,0,6389305.190000,0,0,0
002269.SZ,20250429,20241231,680718761.430000,0,-195378136.230000,0,0,0
002269.SZ,20251031,20240930,525070435.650000,0,51820575.970000,0,0,0
002269.SZ,20250827,20240630,414357593.720000,0,76780636.990000,0,0,0
002269.SZ,20250429,20240331,279079355.930000,0,68105028.850000,0,0,0
002269.SZ,20250429,20231231,1355728301.120000,0,31745830.830000,0,0,0
002269.SZ,20241029,20230930,837199210.280000,0,41637894.860000,0,0,0
002269.SZ,20240830,20230630,558403377.900000,0,10263873.310000,0,0,0
002269.SZ,20240430,20230331,406724117.610000,0,43835248.780000,0,0,0
002269.SZ,20240430,20221231,1439359494.560000,0,-817991982.360000,0,0,0
002269.SZ,20231031,20220930,967732537.570000,0,-759215564.380000,0,0,0
002269.SZ,20230825,20220630,723043466.770000,0,-689344009.840000,0,0,0
002269.SZ,20230429,20220331,469629946.590000,0,-151387441.830000,0,0,0
002269.SZ,20230429,20211231,2638678728.190000,0,-401569909.650000,0,0,0
002269.SZ,20221031,20210930,1932567881.890000,0,-197815834.250000,0,0,0
002269.SZ,20220829,20210630,1376877708.190000,0,-114629236.390000,0,0,0
002269.SZ,20220430,20210331,797378045.850000,0,121468967.540000,0,0,0
002269.SZ,20220430,20201231,3819038467.810000,0,-859366961.360000,0,0,0
002269.SZ,20211029,20200930,2689672745.160000,0,-705715842.220000,0,0,0
002269.SZ,20210826,20200630,1602194226.150000,0,-477869184.390000,0,0,0
002269.SZ,20210430,20200331,920798329.370000,0,-219223109.630000,0,0,0
002269.SZ,20210427,20191231,5463291976.580000,0,-825472850.540000,0,0,0
002269.SZ,20201030,20190930,4034398746.000000,0,-237793000.000000,0,0,0
002269.SZ,20200827,20190630,2698944804.000000,0,-137890210.000000,0,0,0
002269.SZ,20200430,20190331,1727614244.000000,0,38348040.000000,0,0,0
002269.SZ,20200430,20181231,7677369050.000000,0,40361571.000000,0,0,0
002269.SZ,20191029,20180930,5546879118.000000,0,40139494.000000,0,0,0
002269.SZ,20190824,20180630,3938056300.000000,0,53114425.000000,0,0,0
002269.SZ,20190430,20180331,2177946209.000000,0,50406670.000000,0,0,0
002269.SZ,20190409,20171231,6472359205.000000,0,-304799756.000000,0,0,0
002269.SZ,20181025,20170930,4442592348.000000,0,-124249556.000000,0,0,0
002269.SZ,20180829,20170630,2896390173.000000,0,-44750021.000000,0,0,0
002269.SZ,20180427,20170331,1673842454.000000,0,28934988.000000,0,0,0
002269.SZ,20180427,20161231,6519192145.000000,0,36158623.000000,0,0,0
002269.SZ,20171027,20160930,4710519499.000000,0,-154040525.000000,0,0,0
002269.SZ,20170830,20160630,3074473224.000000,0,-60190809.000000,0,0,0
002269.SZ,20170427,20160331,1921547396.000000,0,51373424.000000,0,0,0
002269.SZ,20170422,20151231,6294783764.000000,0,-431921501.000000,0,0,0
002269.SZ,20161028,20150930,4328375005.000000,0,-176513694.000000,0,0,0
002269.SZ,20160830,20150630,2777288031.000000,0,-94760210.000000,0,0,0
002269.SZ,20160425,20150331,1753874869.000000,0,38806412.000000,0,0,0
002269.SZ,20160425,20141231,6620767477.000000,0,145640513.000000,0,0,0
002269.SZ,20151028,20140930,4694483514.000000,0,225959059.000000,0,0,0
002269.SZ,20150828,20140630,2994144866.000000,0,178853498.000000,0,0,0
002269.SZ,20150430,20140331,1841419865.000000,0,106543343.000000,0,0,0
002269.SZ,20150401,20131231,7889618084.000000,0,405476364.000000,0,0,0
002269.SZ,20141030,20130930,5762692885.000000,0,382563722.000000,0,0,0
002269.SZ,20140826,20130630,3738022446.000000,0,222477721.000000,0,0,0
002269.SZ,20140429,20130331,2224050910.000000,0,125782818.000000,0,0,0
002269.SZ,20140425,20121231,9509550614.000000,0,849582393.000000,0,0,0
002269.SZ,20131019,20120930,7194407062.000000,0,751909562.000000,0,0,0
002269.SZ,20130830,20120630,4600343850.000000,0,432190476.000000,0,0,0
002269.SZ,20130419,20120331,2638877030.000000,0,237281225.000000,0,0,0
002269.SZ,20130228,20111231,9945057797.000000,0,1206007412.000000,0,0,0
002269.SZ,20121026,20110930,6793038950.000000,0,745541001.000000,0,0,0
002269.SZ,20120829,20110630,3795273566.000000,0,376362570.000000,0,0,0
002269.SZ,20120427,20110331,2075002047.000000,0,202979012.000000,0,0,0
002269.SZ,20120426,20101231,7500479103.000000,0,757852287.000000,0,0,0
002269.SZ,20111028,20100930,4851752602.000000,0,320608569.000000,0,0,0
002269.SZ,20110822,20100630,2541940199.000000,0,40336308.000000,0,0,0
002269.SZ,20110429,20100331,1418722525.000000,0,15345778.000000,0,0,0
002269.SZ,20110426,20091231,5217518137.000000,0,604228529.000000,0,0,0
002269.SZ,20101028,20090930,3079783850.000000,0,299183920.000000,0,0,0
002269.SZ,20100818,20090630,1822367127.000000,0,230812362.000000,0,0,0
002269.SZ,20100429,20090331,1089625723.000000,0,153746828.000000,0,0,0
002269.SZ,20100422,20081231,4473679912.000000,0,587395919.000000,0,0,0
002269.SZ,20091028,20080930,2854732640.610000,0,341484968.500000,0,0,0
002269.SZ,20090730,20080630,1637531186.000000,0,180172153.000000,0,0,0
002269.SZ,20090428,20080331,956181013.000000,0,140402675.000000,0,0,0
002269.SZ,20090327,20071231,3156516825.000000,0,363649301.000000,0,0,0
002269.SZ,20081021,20070930,2016452295.000000,0,112276472.000000,0,0,0
002269.SZ,20080827,20070630,1139078460.000000,0,31422333.000000,0,0,0
002269.SZ,20080804,20061231,1983689134.000000,0,67760576.000000,0,0,0
002269.SZ,20080804,20051231,916821961.000000,0,7336372.000000,0,0,0
