fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
001379.SZ,20251024,20250930,2638035525.880000,1112154019.460000,0,1964492904.450000,963817651.740000
001379.SZ,20250814,20250630,2436354713.880000,942681354.510000,0,1781622213.630000,796237013.560000
001379.SZ,20250425,20250331,2235281300.310000,750164217.210000,0,1588759260.660000,602037893.960000
001379.SZ,20251024,20241231,2157668309.030000,696592211.050000,0,1555165196.890000,561280247.500000
001379.SZ,20241025,20240930,2122063845.190000,670326797.140000,0,1602200988.530000,548197514.970000
001379.SZ,20240823,20240630,2132344603.870000,697959560.000000,0,1637690386.490000,574380704.590000
001379.SZ,20240429,20240331,1997199379.230000,559569814.310000,0,1548142588.370000,416086931.490000
001379.SZ,20250425,20231231,1417361302.940000,765150558.870000,0,979563464.700000,625539915.350000
001379.SZ,20231228,20230930,1529126045.630000,888051887.220000,0,1106117800.560000,752988843.150000
001379.SZ,20231228,20230630,1629651857.870000,1017780693.230000,0,1217078674.920000,899615111.830000
001379.SZ,20230516,20230331,1653196500.000000,,0,,
001379.SZ,20240419,20221231,1603508121.100000,1037110186.220000,0,1208637153.090000,924020042.150000
001379.SZ,20230113,20220630,1332561762.850000,838180646.610000,0,941255360.400000,581713905.720000
001379.SZ,20231228,20211231,1236419605.360000,747141071.900000,0,844864059.960000,492468848.050000
001379.SZ,20231228,20201231,852464633.980000,426897371.550000,0,459704509.140000,302601699.860000
001379.SZ,20230113,20191231,924001296.880000,551485356.550000,0,506447945.270000,457387546.240000
