fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
002115.SZ,20080806,20070630,107673863.990000,0,17466050.690000,0,0,0
002115.SZ,20080426,20070331,50822074.710000,0,9285578.950000,0,0,0
002115.SZ,20080320,20061231,210132413.350000,0,31481467.030000,0,0,0
002115.SZ,20071031,20060930,136042290.710000,0,21136503.560000,0,0,0
002115.SZ,20070828,20060630,90109888.560000,0,14622565.680000,0,0,0
002115.SZ,20070426,20060331,42069847.550000,0,8036934.340000,0,0,0
002115.SZ,20070406,20051231,192034721.370000,0,27323443.460000,0,0,0
002115.SZ,20070214,20050930,116255626.950000,0,17279759.970000,0,0,0
002115.SZ,20070124,20041231,164868305.660000,0,22152817.360000,0,0,0
002115.SZ,20070124,20031231,137119871.880000,0,15337463.760000,0,0,0
