fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
000926.SZ,20251031,20250930,1016133769.360000,0,-881856725.690000,0,0,0
000926.SZ,20250829,20250630,732700966.830000,0,-668233675.110000,0,0,0
000926.SZ,20250429,20250331,344468125.630000,0,-101962167.310000,0,0,0
000926.SZ,20250429,20241231,8757272650.930000,0,-2654149453.940000,0,0,0
000926.SZ,20251031,20240930,2280766830.470000,0,13964386.170000,0,0,0
000926.SZ,20250829,20240630,1673573859.590000,0,38068154.380000,0,0,0
000926.SZ,20250429,20240331,1085069936.250000,0,51653203.350000,0,0,0
000926.SZ,20250429,20231231,5508056880.140000,0,103292423.210000,0,0,0
000926.SZ,20241031,20230930,4437036336.350000,0,42065702.480000,0,0,0
000926.SZ,20240831,20230630,3405760272.900000,0,37630919.220000,0,0,0
000926.SZ,20240429,20230331,1380248202.620000,0,37641661.280000,0,0,0
000926.SZ,20240429,20221231,15142322202.810000,0,141551070.980000,0,0,0
000926.SZ,20231031,20220930,9188958369.880000,0,10228159.380000,0,0,0
000926.SZ,20230830,20220630,8136448393.870000,0,32675786.880000,0,0,0
000926.SZ,20230429,20220331,1655726417.910000,0,54484097.080000,0,0,0
000926.SZ,20230331,20211231,12543502445.540000,0,356349452.060000,0,0,0
000926.SZ,20221028,20210930,8408328198.830000,0,221252566.170000,0,0,0
000926.SZ,20220830,20210630,3195773768.340000,0,153896458.850000,0,0,0
000926.SZ,20220427,20210331,1870545057.570000,0,71885529.940000,0,0,0
000926.SZ,20220427,20201231,7501140799.280000,0,290854217.350000,0,0,0
000926.SZ,20211029,20200930,4087256026.640000,0,240139042.410000,0,0,0
000926.SZ,20210828,20200630,3168292042.310000,0,255242134.430000,0,0,0
000926.SZ,20210430,20200331,1311288572.070000,0,160562310.670000,0,0,0
000926.SZ,20210430,20191231,9566158360.700000,0,672708296.650000,0,0,0
000926.SZ,20201030,20190930,5715764133.990000,0,462867460.560000,0,0,0
000926.SZ,20200829,20190630,5162615504.840000,0,476777197.470000,0,0,0
000926.SZ,20200430,20190331,3503062616.710000,0,224213643.150000,0,0,0
000926.SZ,20200430,20181231,10735228263.060000,0,1185732623.360000,0,0,0
000926.SZ,20191029,20180930,7152740189.600000,0,718889552.970000,0,0,0
000926.SZ,20190828,20180630,5549523955.450000,0,625788636.280000,0,0,0
000926.SZ,20190427,20180331,2703748070.130000,0,266705926.320000,0,0,0
000926.SZ,20190427,20171231,11658511149.260000,0,1196202175.040000,0,0,0
000926.SZ,20181027,20170930,7057511354.780000,0,1106288105.480000,0,0,0
000926.SZ,20180825,20170630,5487741930.730000,0,735599022.440000,0,0,0
000926.SZ,20180421,20170331,3028762548.520000,0,390145789.990000,0,0,0
