fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
002746.SZ,20251028,20250930,585492663.320000,-535407568.860000,-221717369.570000
002746.SZ,20250826,20250630,336815516.510000,-487824218.530000,-14160818.580000
002746.SZ,20250422,20250331,125190139.360000,-203759358.150000,-146473279.430000
002746.SZ,20250422,20241231,155198304.300000,280406732.200000,140270366.950000
002746.SZ,20251028,20240930,-24420793.570000,20583907.770000,-264321484.570000
002746.SZ,20250826,20240630,-595704299.340000,574532246.960000,-132195440.510000
002746.SZ,20250422,20240331,-255331421.220000,450530486.920000,-465584291.420000
002746.SZ,20250422,20231231,329677482.520000,751005998.450000,-108344218.260000
002746.SZ,20241029,20230930,329032070.840000,621951665.240000,322743568.710000
002746.SZ,20240827,20230630,279607635.870000,381105421.910000,-112893977.680000
002746.SZ,20240423,20230331,11170943.920000,184712196.760000,16797347.220000
002746.SZ,20240423,20221231,349808936.840000,4503621.440000,-33887311.160000
002746.SZ,20231025,20220930,302311112.620000,-105284982.230000,-63502860.160000
002746.SZ,20230826,20220630,-104310418.590000,67395415.500000,-19811429.630000
002746.SZ,20230425,20220331,-122558360.590000,150343030.510000,56131248.620000
002746.SZ,20230425,20211231,-88039151.620000,-576489446.470000,-7796442.160000
002746.SZ,20221025,20210930,30303748.110000,-608411249.790000,-134368610.800000
002746.SZ,20220823,20210630,-48548475.230000,-615404966.490000,-104225660.790000
002746.SZ,20220426,20210331,56836867.820000,-798616365.150000,21869249.990000
002746.SZ,20220426,20201231,552559637.520000,-705756362.120000,709116171.180000
002746.SZ,20211026,20200930,489582886.000000,-364794329.450000,-319293604.400000
002746.SZ,20210828,20200630,339020304.270000,151355932.390000,-302120817.990000
002746.SZ,20210427,20200331,159948620.180000,-400439707.310000,14844595.540000
002746.SZ,20210330,20191231,1171556325.850000,-850254525.730000,145634790.770000
002746.SZ,20201015,20190930,823701792.180000,-763130442.010000,45370822.220000
002746.SZ,20200728,20190630,370933036.070000,-361025662.160000,3684744.080000
002746.SZ,20200428,20190331,120454651.170000,-40626448.190000,64877760.410000
002746.SZ,20200324,20181231,549427690.100000,-635585026.380000,22090894.410000
002746.SZ,20191029,20180930,186933146.560000,98122049.550000,-19507434.820000
002746.SZ,20190827,20180630,-18268413.270000,374125087.910000,741919.580000
002746.SZ,20190423,20180331,-2694760.580000,182157109.240000,-217500.010000
002746.SZ,20190423,20171231,242696723.390000,-392459384.660000,-34035942.980000
002746.SZ,20181030,20170930,184009787.450000,16368092.470000,-37272616.090000
002746.SZ,20180828,20170630,142957942.250000,34841817.360000,-59412271.640000
002746.SZ,20180424,20170331,15583754.500000,146498943.120000,-5088208.350000
002746.SZ,20180424,20161231,430115147.660000,-852129611.010000,730562383.160000
002746.SZ,20171025,20160930,256612589.470000,-120626073.760000,744900858.170000
002746.SZ,20170829,20160630,92359841.460000,-52363431.080000,-25837472.210000
002746.SZ,20170428,20160331,-22268852.230000,17523942.380000,-1068624.990000
002746.SZ,20170428,20151231,154129710.560000,-125005352.050000,-81190270.880000
002746.SZ,20161027,20150930,118293761.060000,-77183929.560000,-45807180.600000
002746.SZ,20160813,20150630,75881097.190000,46741487.870000,-34619062.550000
002746.SZ,20160425,20150331,23512322.040000,26219347.250000,-22147305.610000
002746.SZ,20160416,20141231,98112098.680000,-123570909.220000,-28525902.750000
002746.SZ,20151031,20140930,35069305.380000,-88295524.290000,26113666.700000
002746.SZ,20150827,20140630,17966479.380000,-146307325.100000,30377208.370000
002746.SZ,20150429,20140331,4397487.420000,-49194960.120000,6663500.010000
002746.SZ,20150202,20131231,102648450.190000,-245006169.400000,147818066.690000
002746.SZ,20150202,20121231,238357186.630000,-243782954.090000,32754188.000000
002746.SZ,20120330,20101231,15055726.310000,-86869501.310000,111850660.440000
002746.SZ,20120330,20091231,91228819.360000,-93595844.880000,4885558.720000
