fs_code,ann_date,report_date,operate_cashflow,invest_cashflow,finance_cashflow
601633.SH,20251025,20250930,21386307349.860000,-18144638598.590000,-9703554429.680000
601633.SH,20250830,20250630,9214751944.110000,-10108981168.450000,-4481476538.490000
601633.SH,20250426,20250331,-8980143836.110000,10050211176.690000,302946866.440000
601633.SH,20250329,20241231,27782626338.160000,-23295773724.820000,-12177923039.290000
601633.SH,20251025,20240930,14172525070.640000,-4617589861.240000,-7597517845.100000
601633.SH,20250830,20240630,9356889322.720000,-4938716172.260000,-4256217112.670000
601633.SH,20250426,20240331,-2634303567.260000,-2723110424.930000,2333728048.330000
601633.SH,20250329,20231231,17753789028.710000,-10450749296.730000,1052044013.170000
601633.SH,20241026,20230930,-1870532207.630000,-8819047891.900000,4974148360.010000
601633.SH,20240830,20230630,-2436189836.950000,-5109368895.070000,6379613823.870000
601633.SH,20240425,20230331,-8204257916.440000,848012129.340000,2245799940.610000
601633.SH,20240329,20221231,12311254519.440000,-10504887458.380000,-3132968026.330000
601633.SH,20231028,20220930,4587144690.090000,-9138044301.090000,3989246830.380000
601633.SH,20230831,20220630,8164218672.390000,-4809028540.780000,-3027669704.180000
601633.SH,20230422,20220331,-11472383039.040000,1335317432.850000,5550022396.400000
601633.SH,20230331,20211231,35315673246.130000,-11174745612.880000,-9632107664.530000
601633.SH,20221022,20210930,16676886634.580000,-7925968852.830000,-2815127575.320000
601633.SH,20220831,20210630,15109778752.150000,-4945518474.860000,-2640623661.440000
601633.SH,20220423,20210331,213153761.900000,2287237231.580000,-4068319492.840000
601633.SH,20220330,20201231,5181232925.840000,-11588320756.010000,11367524972.750000
601633.SH,20211030,20200930,-259665682.180000,-7357686370.190000,9537066777.250000
601633.SH,20210828,20200630,9516544165.590000,-7491540954.580000,7023606278.650000
601633.SH,20210422,20200331,524578239.050000,-610371103.040000,1460463067.800000
601633.SH,20210331,20191231,13972302434.790000,-15801684305.190000,3943947671.020000
601633.SH,20201024,20190930,9906193968.940000,-11472165426.240000,3789441644.030000
601633.SH,20200829,20190630,6112616730.970000,-9273781419.220000,4086275559.550000
601633.SH,20200425,20190331,-1735743530.510000,-2508724805.210000,4213570887.650000
601633.SH,20200425,20181231,19697825948.400000,-10040436458.330000,-6500837532.690000
601633.SH,20191026,20180930,16458677998.740000,-10868786789.240000,547298624.610000
601633.SH,20190827,20180630,14950829736.320000,-11817225654.630000,1302421317.230000
601633.SH,20190430,20180331,-978132975.550000,-3418258448.690000,5393737740.410000
601633.SH,20190323,20171231,-1059294783.950000,-3072997093.570000,6089261843.310000
601633.SH,20181027,20170930,7101215946.660000,-5385006470.920000,593474628.500000
601633.SH,20180831,20170630,8338899649.270000,-6086804994.030000,1621676582.120000
601633.SH,20180425,20170331,-5372436535.700000,-432903053.830000,6022895050.640000
601633.SH,20180324,20161231,8835406234.020000,-8367460548.390000,-1116326659.640000
601633.SH,20171027,20160930,6594119552.120000,-4289082152.400000,-1547692661.230000
601633.SH,20170826,20160630,4375700213.910000,-2787814946.680000,-841606382.080000
601633.SH,20170428,20160331,-165686386.240000,-932536803.730000,905899891.050000
601633.SH,20170325,20151231,10033690411.710000,-6516889077.710000,-4112054970.500000
601633.SH,20161026,20150930,10025742265.780000,-6251727249.720000,-2702098694.100000
601633.SH,20160827,20150630,7277045371.220000,-4846624151.110000,-2297802965.690000
601633.SH,20160423,20150331,1611167128.570000,-2096800297.380000,-201457788.880000
601633.SH,20160325,20141231,6095784407.400000,-7209952718.600000,-1309157089.950000
601633.SH,20151024,20140930,6604349560.790000,-5228890799.790000,-1650199546.310000
601633.SH,20150829,20140630,5162772458.710000,-3306473017.860000,-1798288948.190000
601633.SH,20150418,20140331,1578438193.040000,-1636487039.710000,-2344099.240000
601633.SH,20150321,20131231,9039043397.560000,-6696353291.180000,-2404718214.670000
601633.SH,20141024,20130930,7838876272.690000,-4066117130.000000,-1674586050.370000
601633.SH,20140823,20130630,4953260185.000000,-2179015190.800000,-1680104781.730000
601633.SH,20140418,20130331,1525546819.790000,-1115446426.670000,22752036.710000
601633.SH,20140322,20121231,4336970802.210000,-3936137742.940000,-1103872557.050000
601633.SH,20131025,20120930,4023586830.750000,-3447505337.060000,-601654954.030000
601633.SH,20130823,20120630,2432211432.140000,-2333459903.950000,-918400803.000000
601633.SH,20130426,20120331,503132021.550000,-1388603534.790000,127070830.500000
601633.SH,20130322,20111231,4448742617.370000,-3491001464.810000,3282772537.640000
601633.SH,20121026,20110930,4058194427.040000,-2462512958.780000,2987425700.490000
601633.SH,20120825,20110630,2906791233.240000,-1634129721.280000,-1191877478.520000
601633.SH,20120427,20110331,500490564.380000,-645637195.630000,69016849.180000
601633.SH,20120317,20101231,3191471980.180000,-2307469987.390000,-1212260287.940000
601633.SH,20111029,20100930,2505409354.890000,-1339295608.120000,-83359441.400000
601633.SH,20110928,20100630,570098000.000000,-897800000.000000,-108588000.000000
601633.SH,20110902,20091231,1303689044.450000,-676810914.160000,34481919.500000
601633.SH,20110902,20081231,826121759.580000,-1772312170.910000,-468253948.080000
